sourcenotation;sourcelabel;targetnotation
133.4;Demonology and witchcraft;BE 2560 - BE 2564
133.4;;BK 2155
133.42;Demnology;BK 2155
133.422;Satanism;BK 2155
133.422;;BE 9130
133.423;Evil spirits;BK 2155
133.425;The evil eye;BK 2155
133.426;Demoniac possession;BK 2155
133.427;Exorcism of demons;BK 2155
133.43;Magic and witchcraft;BE 2650 - BE 2564
133.43092;Cunning folk, ...;LC 41000
133.44;Spells, curses, charms;BE 2560 - BE 2564
133.44;;LC 40000
133.442;Love spells and charms;BE 2560 - BE 2564
133.443;Good luck spells and charms;BE 2560 - BE 2564
133.446;Therapeutic spells and charms;BE 2560 - BE 2564
133.5;Astrology;BE 2340 - BE 2344
133.50112;Forecasting and forecasts;AK 26800
133.50112;BM 9330
133.50112;QP 325
133.50112;QN 200
133.50882;Specific religious groups;BE 9200 - BE 9205
133.50882;BG 9600 - BG 9720
133.5089;Specific ethnic and national groups;BE 5000 - BE 5700
133.5092;Astrologers, ...;BE 2340
133.52;Signs of the zodiac;BE 2340
133.52-133.58;Specific aspects of western astrology;BE 2340
133.526;First six signs;BE 2340
133.526;BE 9120
133.5262;Aries;BE 2340
133.5262;BE 9120
133.5263;Taurus;BE 2340
133.5263;BE 9120
133.5264;Gemini;BE 2340
133.5264;BE 9120
133.5265;Cancer;BE 2340
133.5265;BE 9120
133.5266;Leo;BE 2340
133.5266;BE 9120
133.5267;Virgo;BE 2340
133.5267;BE 9120
133.527;Second six signs;BE 2340
133.527;BE 9120
133.5272;Libra;BE 2340
133.5272;BE 9120
133.5273;Scorpio;BE 2340
133.5273;BE 9120
133.5274;Sagittarius;BE 2340
133.5274;BE 9120
133.5275;Capricorn;BE 2340
133.5275;BE 9120
133.5276;Aquarius;BE 2340
133.5276;BE 9120
133.5277;Pisces;BE 2340
133.5277;BE 9120
133.53;Planets, sun, moon;BE 2340
133.53;BE 9190
133.53042;Houses;BE 9190
133.53044;Aspects;BE 9190
133.531;Sun;BE 2340
133.532;Moon;BE 2340
133.533;Mercury;BE 2340
133.534;Venus;BE 2340
133.535;Mars;BE 2340
133.536;Jupiter;BE 2340
133.537;Saturn;BE 2340
133.538;Uranus;BE 2340
133.539;Neptune, Pluto, asteroids, related bodies;BE 2340
133.5391;Neptune;BE 2340
133.5392;Pluto;BE 2340
133.5398;Asteroids;BE 2340
133.54;Horoscopes;BE 2340
133.5404;Special topics of horoscopes;BE 2340
133.54042;Daily guides and birthday books;BE 2340
133.542;Casting horoscopes;BE 2340
133.548;Horoscopes of individuals;BE 2340
133.55;Astrological ephemerides;BE 2340
133.56;Horary astrology;BE 9190
133.58;Application of astrology to specific topics;BE 9190
133.5861;Medical astrology, ...
133.59;BE 2340
133.59;BE 9190
133.592;Types or schools of astrology originating in or associated with a specific area;BE 2340
133.5945;Zorastrian astrology;BE 7903 - BE 7910
