sourcenotation;sourcelabel;targetnotation
155.911;Influence of sensory stimuli;CP 2000
155.911;Influence of sensory stimuli;CP 2500
155.91145;psychology of color;CP 2500
155.91145;psychology of color < CX 7500
155.9115;Noise--environmental psychology, ...;CP 2000
155.915;Influence of climate;CW 9500
155.916;Influence of injuries, diseases, physical disabilities, disfigurements;CW 6760
155.916;Influence of injuries, diseases, physical disabilities, disfigurements;CU 9500
155.916;Influence of injuries, diseases, physical disabilities, disfigurements;CW 6800
155.916;Influence of injuries, diseases, physical disabilities, disfigurements;CW 6730
155.916;Influence of injuries, diseases, physical disabilities, disfigurements;CW 6820
155.92;Influence of social environment;CV 9500
155.92;Influence of social environment;CV 6000
155.92;Influence of social environment;CV 8000
155.924;Birth order--environmental psychology, ...;CV 8000
155.924;Birth order--environmental psychology, ...;CQ 5000
155.924;Birth order--environmental psychology, ...;CQ 6000
155.924;Birth order--environmental psychology, ...;CR 4000
155.924;Birth order--environmental psychology, ...;MS 2600
155.924;Birth order--environmental psychology, ...;MS 1960
155.925;Friendship--psychological influence, ...;CV 4000
155.925;Friendship--psychological influence, ...;MS 1000
155.926;Work associates--psychological influence, ...;CV 4000
155.927;Strangers--psychological influence, ...;CV 4000
155.93;Influence of specific situations;
155.935;Catastrophic disasters;CU 3040
155.935;Catastrophic disasters;CW 9500
155.935;Catastrophic disasters;CV 7500
155.936;Accidents;CW 6500
155.937;Death and dying;CQ 7600
155.937;Death and dying;BQ 6010
155.937;Death and dying;MS 6300
155.93708;Groups of people;
155.937083;Bereavement--children, ...;
155.94;Influence of community and housing;
155.942;Urban communities;
155.942-155.944;Specific types of communities;
155.943;Suburban communities;
155.944;Rural communities;
155.945;Housing;
155.95;Influence of clothing;
155.96;Influence of restrictive environments;
155.962;Prisons;CW 8000
155.963;Submarine structures;
155.964;Subterranean structures;
155.965;Aircraft;
155.966;Spacecraft;
156;Comparative psychology;
156.2;Comparative psychology of sensory perception, movement, emotions, physiological drives of animals;WT 5503
156.2;Comparative psychology of sensory perception, movement, emotions, physiological drives of animals;CZ 8000
156.2;Comparative psychology of sensory perception, movement, emotions, physiological drives of animals;CS 3000
156.2;Comparative psychology of sensory perception, movement, emotions, physiological drives of animals;ES 178
156.2-156.5;Animals;
156.21;Sensory perception--comparative psychology, . .;
156.23224;Conditioned reflexes--comparative psychology, ...;
156.3;Comparative conscious mental processes and intelligence of animals;WT 5500 - WT 5539
156.315;Animal learning--comparative psychology, ...;WT 5500 - WT 5539
156.39;Animal intelligence--comparative psychology, ...;WT 5500 - WT 5539
156.4;Comparative subconscious and altered states and processes of animals;
156.5;Comparative differential and developmental psychology of animals;
156.9;Plants;
158;Applied psychology;CW
158.1;Personal improvement and analysis;BT 5410
158.1;Personal improvement and analysis;AL 43100
158.12;Personal improvement and analysis through meditation;CU 8580
158.125;Transcendental meditation;HT 1722
158.128;Meditations;CU 8580
158.128;Meditations;BQ 6680
158.128;Meditations;BQ 6650
158.2;Interpersonal relations;CV 4500
158.24;Interpersonal relations with family members;CV 8000
158.25;Interpersonal relations with friends and neighbors;
158.26;Interpersonal relations with work associates;CV 9500
158.26;Interpersonal relations with work associates;CW 4500
158.26;Interpersonal relations with work associates;CW 5500
158.26;Interpersonal relations with work associates;QP 342
158.27;Interpersonal relationships with strangers;CV 4000
158.3;Counseling and interviewing;CU 7000
158.3;Counseling and interviewing;BQ 8470
158.3;Counseling and interviewing;DS 5600
158.3;Counseling and interviewing;DL 4240
158.3092;Counseling psychologists, ...;CU 7000
158.35;Group counseling;
*158.39;Interviewing; (hier gibt es einen Treffer in AP 36160 Gespraech,  Interview, Diskussion)
158.4;Leadership;CW 4600
158.5;Negotiation;QP 300
158.6;Vocational interests;CW 5500
158.60287;Testing and measurement;CT 2000 - CT 2400
158.60287;Testing and measurement;CT 2000
158.60287;Testing and measurement;CT 2400
158.7;Industrial psychology;QV 020
158.7;Industrial psychology;CW 5500
158.7;Industrial psychology;CW 1500
158.7;Industrial psychology;CW 4800
158.7;Industrial psychology;QV 574
158.72;Job stress;CP 3900
158.72;Job stress;QP 413
158.72;Job stress;CW 3000
158.72;Job stress;XE 9300
158.72;Job stress;CW 2000
158.723;Job burnout;CP 3500
158.723;Job burnout;CP 3900
158.723;Job burnout;CW 2000
158.723;Job burnout;CW 3000
158.9;Systems and schools of applied psychology;CU 8000
16;Philosophical logic;CC 2000 - CC 2600
160;Philosophical logic;CC 2500
160.1;Philosophy and theory;
160.11;Systems;
160.119;Specific systems of classical and nonclassical logic;
160.1198;Nonclassical logic;
160.11984;Modal logic--philosophical logic, ...;
160.11987;Conditional logic--philosophical logic, ...;
160.11988;Probabilistic logic--philosophical logic, ...;
161;Induction;CC 3300
162;Deduction;AK 20200
165;Fallacies and sources of error;
166;Syllogisms;
167;Hypotheses;BG 2900
168;Argument and persuasion;
169;Analogy;BG 2820
18;Ancient, medieval & eastern philosophy
180;Ancient, medieval, eastern philosophy;CD 1600
180-190;History, geographic treatment, biography
180.937;Roman philosophy, ...;CD 3700 - CD 7467
181;Eastern philosophy;E 1150
181;Eastern philosophy;CI 8500 - CI 9599
181;Eastern philosophy;CI 9700 - CI 9750
181.04-181.09;Philosophies based on specific religions
181.043;Buddhist philosophy, ...;CI 8550
181.044;Jain philosophy, ...;
181.046;Sikh philosophy, ...;
181.05;Zoroastrian philosophy, ...;
181.06;Jewish philosophy, ...;CD 1400
181.07;Islamic philosophy, ...;CI 9700
181.09561;Shinto philosophy, ...;
181.1;Far East and South Asia;CI 9700 - CI 9750
181.1-181.9;Philosophy of specific places
181.11;China and Korea;CI 9100 - CI 9499
181.11;China and Korea;CI 9500 - CI 9530
181.112;Confucian philosophy;CI 8520
181.112;Confucian philosophy;CI 9114
181.112;Confucian philosophy;CI 9520
181.112;Confucian philosophy;CI 9524
181.112-181.115;Schools of Chinese phiLosophy;CI 9524
181.119;Korea;CI 9500 - CI 9530
181.12;Japan;CI 8900 - CI 9094
181.15;Pakistan and Bangladesh;CI 9599
181.16;Indonesia;CI 9599
181.17;Philippines;CI 9599
181.19;Southeast Asia;CI 9599
181.4;India;CI 8700 - CI 8884
181.41;Sankhya;CI 8720
181.42;Mimamsa;CI 8720
181.43;Nyaya;CI 8720
181.44;Vaiśeṣ;CI 8720
181.48;Vedanta;CI 8710
181.484;Dualistic school;
181.4841;Madhvāchārya (Dvaita);
181.4842;Bhedabheda;
181.5;Iran (Persia);
181.6;Iraq;
181.8;Syria and Lebanon;
181.9;Other eastern philosophy;
181.92;Arabia;CD 1300
182;Pre-Socratic Greek philosophies;CD 1600 - CD 3697
182-188;Ancient western philosophy;CD 1100 - CI 8000
182.1;Ionic philosophy;
182.2;Pythagorean philosophy;CD 3300
182.3;Eleatic philosophy;CD 2350 - CD 2367
182.4;Heraclitean philosophy;CD 2650 - CD 2667
182.5;Empedoclean philosophy;CD 2350 - CD 2367
182.7;Democritean philosophy;
182.8;Anaxagorean philosophy;CD 1900 - CD 1917
183;Sophistic, Socratic, related Greek philosophies
183.1;Sophistic philosophy;CD 1695 - CD 1700
183.2;Socratic philosophy;CD 3350 - CD 3367
183.4;Cynic philosophy;
183.5;Cyrenaic philosophy;
183.6;Megaric philosophy;
183.7;Elian and Eretrian philosophies;
184;Platonic philosophy;CD 3050 - CD 3067
185;Aristotelian philosophy;CD 2050 - CD 2067
186;Skeptic and Neoplatonic philosophies;CD 3845 - CD 3850
186.1;Pyrrhonic philosophy;
186.2;New Academy;
186.3;Eclectic philosophy;LH 67548
186.4;Neoplatonic philosophy;
187;Epicurean philosophy;CD 5250 - CD 5267
188;Stoic philosophy;CD 3795 - CD 3800
189;Medieval western philosophy;CE 1050 - CE 4977
189.2;Patristic philosophy;CE 1080 - CE 1090
189.4;Scholastic philosophy;CE 1095 - CE 1100
189.5;Mystic philosophy;BD 3980
19;Modern western philosophy;CE 5100 - CE 8501
190;Modern western and other noneastern philosophy
190.8827;Christian philosophy;BF 1530
190.8827;Christian philosophy;CC 8480 - CC 8500
190.8827;Christian philosophy;BF 8800
190.9031;Philosophie--16. Jahrhundert;CE 5100 - CE 8501
190.904;Modern philosophy, ...;CI 1000 - CI 8300
191;Philosophy of United States and Canada;CD 1250
191-199;Modern western and other noneastern philosophy by continent or country
191.08997354;Arapaho philosophy, ...;
191.08997385;Creek philosophy, ...;
192;Philosophy of British Isles;CD 1250
193;Philosophy of Germany and Austria;CD 1350
194;Philosophy of France;CD 1450
195;Philosophy of Italy;CD 1420
196;Philosophy of Spain and Portugal;CD 1470
196.1;Spain;CD 1470
196.9;Portugal;CD 1470
197;Philosophy of Russia;
198;Philosophy of Scandinavia and Finland;CI 8200 - CI 8300
198.5;Sweden;CI 8200 - CI 8300
198.8;Finland;CI 8200 - CI 8300
198.9;Denmark;CI 8200 - CI 8300
199;Philosophy in other geographic areas;
199.492;Modern philosophy--Netherlands, ...;
199.495;Greek philosophy--modern, ...;
199.81;Modern philosophy--Brazil, ...;
199.81089984;Cayapo philosophy, ...;
199.85;Candoshi philosophy, ...;
