sourcenotation;targetnotation
657;QP 800 - QP 890
657;QP 829
658;QP 300 - QP 390
659;QP 630 - QP 690
660;VN 7000 - VN 7359
661;VN 6000
661;QR 525
661;VN 5000 - VN 6109
661;ZM 6000 - ZM 6700
662;VN 5480 - VN 5489
663;VN 7190 - VN 7199
663;VN 8000
663;ZE 16000
664;VN 8000
665;ZP 3260
665;VN 5450 - VN 5459
666;ZS 3250
666;ZM 5000
666;VN 5750 - VN 5759
666;VN 5800 - VN 5809
666;UQ 8500
666;UQ 8520
667;UR 1000
668;VK 5000 - VK 8809
668;VN 5400 - VN 5879
669;UQ 7100
669;VE 9650 - VE 9659
669;ZK 7000 - ZK 8600
670;ZM 8000  - ZM 9850
670;QR 520 - QR 529
671;ZQ 6200
671;ZM 8000 - ZM 9850
671;ZQ 9930
671;ZM 4000 - ZM 4700
671;VE 9650
671;UQ 7000
671;ZS 3300 - ZS 3900
671;ZS 3210
671;QR 522
672;ZK 8000
672;ZM 4520
672;ZM 4570
672;ZM 8125
673;ZM 8127
674;ZS 5000 - ZS 5090
674;ZS 5100 - ZS 5160
674;ZS 5500 - ZS 5660
674;ZS 3230
675;ZS 7200
675;ZS 7250
675;ZE 32400 - ZE 32499
676;ZS 5500 - ZS 5660
676;ZS 3230
676;QR 526
677;ZE 30000
678;UV 9150
678;ZN 3475
678;VN 5900
679;ZN 3499
679;ZN 4300
679;ZM 7000 - ZM 7090
680;ZS 5700 - ZS 7500
680;ZS 7600 - ZS 8200
680;ZS 3250
680;ZM 7020
680;ZS 4400
680;ZS 4600
680;ZS 4700
680;ZS 5500 - ZS 5660
681;ZQ 3105 - ZQ 3190
681;ZQ 3200 - ZQ 3599
681;ZQ 5000 - ZQ 5090
681;ZQ 5400 - ZQ 5530
681;ZQ 5800 - ZQ 5895
681;ZQ 6000 - ZQ 6280
681;ZQ 7000 - ZQ 7050
681;ZI 9420
681;ZS 4000 - ZS 4800
681;ZN 3750
682;ZS 3700
682;ZM 8205
682;LH 79200 - LH 70208
683;ZE 74000 - ZE 74099
683;ZM 4510 - ZM 4570
683;ZS 3900
683;ZH 79620
684;ZH 8700
684;ZH 8660
684;ZH 8680
684;ZH 8900
684;ZH 8950
685;QR 526
685;ZE 32400 - ZE 32499
685;LC 12000 - LC 12695
686;AP 15000 - AP 15860
686;AN 24100 - AN 24800
686;AN 25000 - AN 27900
686;AN 28000 - AN 28900
686;AN 32000 - AN 33700
686;AN 33800 - AN 33950
686;AN 34000 - AN 35999
686;AN 46400 - AN 46900
687;ZS 6600
687;ZS 7250
687;QR 526
688;ZS 7500
688;ZO 9710
688;AR 21140
688;QR 529
690;ZC 80600 
690;ZI                       
690;ZH 4000 - ZH 4680
690;ZH 5000 - ZH 5960
690;ZH 7000 - ZH 7985
691;ZH 7100
691;ZI 3500
691;ZI 4000 - ZI 4960
692;ZI 2270
692;ZI 2600
692;ZI 3600
692;ZI 3800
692;ZH 3550
692;ZH 3940
693;ZI 3000 - ZI 3600
693;ZI 4060
693;ZI 4300
693;ZI 4400
693;ZI 7000 - ZI 7705
693;ZL 3230
694;ZI 7400
694;ZH 4400
694;ZC 81000 - ZC 81710
694;ZC 74321
695;ZH 7600
695;ZI 3430
695;ZI 5200
695;ZI 6930
696;ZI 8000 - ZI 8860
697;ZI 8600 - ZI 8780
698;ZI 8000 - ZI 8860
698;ZI 7700
700;LC 50000-LC 96730
701;CC 6700-CC 6900
701;LH 61000-LH 61360
702;LH 61380
703;LH 12990-LH 29910
704;LG
704;LH 67000-LH 84995
705;LD 3000
705;AZ 70000
706;LH 60000-LH 60100
707;LH 61200-LH 61290
708;LH 29912-LH 39910
710;ZH 9605-ZH 9800
710;ZH 9610
711;AR 27260
711;RB 10903
711;ZH 9000-ZH 9600
711;ZB 57600
712;ZH 9605-ZH 9800
712;ZI 6440
713;AR 27720
714;ZH 9800
714;ZI 6700-ZI 6889
714;ZD 75100-ZD 75199
715;ZH 5950
715;ZH 9800
715;ZH 9640
715;ZH 9660
715;ZC 53100
715;LH 6770-67785
716;ZC 67800-ZC 67899
716;ZC 53100
716;ZH 3056
716;ZH 5950
717;ZH 7700
718;ZC 53300-ZC 53399
719;RC 10915
719;LH 67780-LH 67785
719;AR 12700-AR 13999
720;ZH
720;LH 67000-LH 68090
721;ZH 7000-ZH 7985
722;LH 67445-LH 67560
723;ZH 4720
723;LH 67742
724;LH 67743
724;LH 67745
725;LH 67740-LH 67745
726;ZH 6300
726;ZH 6330
726;LH 67570
726;LH 67690-LH 67695
727;ZH 6100
727;ZH 6140
727;ZH 6150
727;ZH 6200
727;ZH 6215
728;ZH 5000-ZH 5960
728;LH 67755-LH 67759
729;ZH 3150
729;ZH 3450             
729;ZH 8000-ZH 8985
730;ZH 7975
730;LG 2300-LG 2900
730;LH 13350
730;LH 65350
730;LH 69000 - LH 69610
730;LH 81000 - LH 84995
730;LC 93000 - LC 93695
731;LH 67880 - LH 68090
731;LH 61040
731;LG 9300
732;LG 1200
733;LG 1500 - LG 1750
733;LG 2300 - LG 2900
733;LH 69000 - LH 69610
734;LH 69365 - LH 69480
735;LH 69365
736;LH 65350
736;LG 5300
737;LG 6600 - LG 6300
738;LG 4000 - LG 4500
738;LH 78610 - LH 78618
739;LG 5050
739;LH 78370 - LH 78477
740;LH 71000 - LH 71700
741;LH 71000 - LH 71700
741;LG 3500 - LG 3650
742;LH 61342
742;ZH 3520
743;LG 3500 -  LG 3650
743;LH 70000 - LH 70530
743;LH 72000 - LH 72370
743;LH 74000 - LH 74190
745;LH 79230 - LH 79238
746;LH 78960 - LH 78968
747;ZH 8000 - ZH 8985
747;LH 77000 - LH 77510
748;LH 64260
748;LH 78730 - LH 78738
748;LH 74000 - LH 74190
748;LG 5600
749;LH 79500 - LH 79680
749;LH 78930 - LH 78938
750;LH 70000 - LH 70530
750;LH 71000 - LH 71700
750;LH 72000 - LH 72370
750;LH 74000 - LH 74190
750;LH 75000
751;LH 70200 - LH 70270
752;LH 61346
753;LC 32000
754;LH 70440
755;LH 75000
757;LH 75000
758;LH 70420
759;LH 70295 - LH 70411
760;AC 88000 - AC 88990
760;LH 71000 - LH 71700
761;AN 28000 - AN 28900
761;LH 71290
763;LH 71240
764;LH 71240
764;LH 71290
764;LH 71299
765;LH 71220
766;LH 71230
767;LH 71140
769;LH 71130 - LH 71299
770;AP 90000 - AP 99099
771;AP 96000 - AP 96400
772;AP 96400
773;AP 96400
774;UH 5450
775;AP 96960
776;ST 320
777;AP 18200
777;AP 18400a
777;AP 40000 - AP 59900
777;WC 3500
778;AP 90000 - AP 99099
779;AP 95500 - AP 95980
779;AP 94850
779;AP 27420
780;AP 29700
780;AL 42100
780;AN 97400
780;AP 14900
780;AP 47500
780;LC 85000 - LC 94730
780;ﾏﾁD, LP - LY
780;LC 85000 - LC 94730
781;LP 10000 - LS 49950
782;LC 86000 - LC 86695
782;LC 87000 - LC 87695
782;LR 12520 - LR 12668
783;LR 11000 - LR 11048
783;LR 12600 - LR 12648
784;LR 11080 - LR 12238
784;LR 12700 - LR 12708
784;LR 12720 - LR 12728
784;LT 11080 - LT 12238
785;LR 12500 - LR 12828
786;LH 11750 - LR 11758
786;LR 11530 - LR 11538
786;LR 11880 - LR 11888
786;LR 11340 - LR 11348
786;LT 11750 - LT 11758 
786;LR 11360 - LR 11368
786;LR 11370 - LR 11378
786;LR 11250 - LR 11258
786;LR 11350 - LR 11358
786;LT 11350 - LT 11358
786;LT 11250 - LT 11258
786;LT 11360 - LT 11368
786;LT 11370 - LT 11378
787;LR 11310
787;LT 11310
788;LT 11260
787;LR 11260
787;LR 11240 - LR 11248
789;LP 38050 - LP 42980
789;LP 38050 - LP 42980
789;LP 63070 - LP 67100
789;LP 91135 - LP 95900
789;LU 63070 - LU 67100
790;AP 16300
790;AP 60000 - AP 79900
790;AP 84580
790;AP 99500 - AP 99920
790;LB 61000 - LB 61695
790;LS 50000 - LS 79800
791;LR 53000 - LR 54708
792;LH 65830
792;AP 70000 - AP 71900
793;LH 79330 - LH 79338
793;LB 61000 - LB 61695
793;AP 99500 - AP 99920
793;AP 16300
793;ST 324
794;LH 79330 - LH 79338
794;AP 15963
794;SU 500
794;AP 99550
795;LB 61000
796;ZX - ZY
797;ZY 6000 - ZY 6849
797;ZY 9600 - ZY 9709
798;ZY 7600 - ZY 7859
799;ZY 8100 - ZY 8119
799;ZY 8200 - ZY 8019
799;ZY 8000 - ZY 8429
800;E
801;EC 1820 - EC 2280
802;EC 3000 - EC 4760b
802;EC 2400 - EC 2500
803;EC 1000 - EC 1110
805;EC 1050
806;EC 1000 - EC 1110
807;EC 1400 - EC 1462
808;EC 4100 - EC 4150
808;ED 2000
809;EC 5000 - EC 8804
810;HR - HU
811;HU 9800
811;HU 2100
811;HR 1150 - HR 1445
811;HR 1750
811;HR 1760 - HR 1769
812;HU 9800
812;HU 2200
812;HR 1770 - HR 1778
813;HU 9800
813;HU 2501
814;HU 1910 - HU 2530
814;HR 1854
815;HU 9800
815;HR 1854
816;HU 9800
816;HR 1855
817;HU 9800
817;HR 1352
817;HR 1355
818;HR 1010
818;HR 1460 - HR 1500
819;HR 1080 - HR 1445
820;HG -HN
821;HG 105 - HG 220
821;HG 140 - HG 153
821;HG 505
821;HG 510
821;HG 530
822;HG 105 - HG 220
822;HG 570 - HG 620
823;HG 420 - HG 439
824;HG 770 - HG 880
825;HL 1070 - HL 4990
826;HL 1070 - HL 4990
827;HL 1397
827;HG 702
828;HN 9990
829;HH
830;GE 3003 - GT 1500
831;GE 7200 - GE 7499
831;GE 6733 - GE 6799
831;GG 3925 - GG 4141
831;GG 4576
831;GI 1321
832;GG 4607
832;GE 6801 - GE 6819
833;GG 4401
834;GG 4840 - GG 4960
834;GB 1750
834;GE 6911
835;GE 6501
835;GE 6911
836;GE 6916
837;GE 6824
838;GE 6917
839;GE 6918
839;GE 6919
839;GE 6920 - GE 6940
840;ID
841;IE 2980
841;IE 2998
841;IE 3016 - IE 3034
842;IE 3052 - IE 3142
843;IE 3502
844;IE 2275
845;IE 3502
846;IE 3502
847;IE 3502
848;IF
848;IG
848;IH
848;IJ
849;IK
850;IS - IV
851;IT 2800
851;IT 2818
851;IT 2836 - IT 2854
852;IT 2872 - IT 2962
852;IT 2975 - IT 2979
853;IT 3335
854;IT 3330
855;IT 3335
856;IT 3232
857;IT 3335
858;IT 3160 - IT 3335
859;IW 1000 - IW 3000
859;IW 4000 - IW 9991
859;IX
860;IL
860;IM
860;IN
860;IO - IP
860;IQ
860;IR
860;IZ 7000 - IZ 9999
861;IN 2800
861;IN 2818
861;IN 2836 - IN 2854
862;IN 2872 - IN 2962
862;IN 2970 - IN 2978
863;IN 3502
864;IN 3448
865;IN 3502
866;IN 3412
867;IN 3502
868;IN 3160 - IN 3502
869;IR
870;FX
870;FN - FS
870;FT
870;FU
870;FV
870;FX
870;FY
870;FZ
871;FT 13800 - FT 20850
871;FT 20900 - FT 70200
871;FV 2620
872;FV 2700
873;FV 2800
873;FV 2400 - FV 2580
874;FV 2620
875;FV 2900
876;FV 2900
877;FV 2900
878;FX
878;FY
879;FN
879;FP
879;IS 1725 - IS 2380
879;EX 300 - EX 970
880;FB 5001 - FB 6275
881;FB 5425 - FB 5555
882;FB 5975
883;FB 6035
883;FB 6075
883;FB 6085
884;FB 5925
885;FB 6101
886;FB 6101
887;FB 6101
888;FB 6225
888;FB 6275
889;FE
891;EW
891;EY
892;EP
893;EO 1000 - EO 4060
894;EI 1000 - EI 4350
894;EI 4500 - EI 7990
894;EI 8000 - EI 9999
894;EK 6000 - EK 8200
894;EH                                                                                                                     
895;EG
896;EP
897;EE 2100 - EE 4711
898;EE 7200 - EE 9346
899;EE 1760 - EE 1795
899;EE 1800 - EE 1840
899;EE 1850
900;N
900;R
901;NB 3000 - NB 4899
901;CC 8000 - CC 8300
902;ND 6900 - ND 7150
902;ND 3900 - ND 3960
902;ND 4000 - ND 4440
902;ND 8700 - ND 8780
903;NC
904;NK 1000 - NK 4700
905;NA 1000
906;NB
907;NB
908;NK
909;NK
910;R
910;TF 4300 - TF 4600
910;RB 10026
910;RB 10029
911;RB 10023 - RB 10035
911;ND 8040 - ND 8570
912;RB 10190 - RB 10239
913;RB 10826
913;ND 8120
914;NF 1230
914;RC 10000
915;RR 10000
916;RS 10000
917;RT 10000
918;RW 20000
919;RX 10000
919;RY 20000
919;RX 60000
920;ND 7240 - ND 7900
920;NC 2200
920;AP 23000 - AP 23399
920;AP 64000 - AP 65000
920;AF
920;BT 1930
920;BT 1940
920;BU 1600
920;DD 5000ff
920;DX 4800 - DX 4801
921;BO 6850 - BO 6860
923;MP 8000
924;FB 1025 - FB 3790
925;XB 2340
925;AK 1600 - AK 18600
925;XB 2340
925;XB 2350
925;TB 2510 - TB 2799
925;TB 2510 - TB 2799
925;TB 2810 - TB 3099
925;TB 3100
925;TB 3110 - TB 3399
925;TB 3410 - TB 3699
925;AK 1600 - AK 18600
926;ZG 8000
926;ZG 8100
926;ZG 8300
926;AK 16100
927;AP 44200
927;ZH 4800
927;LI
929;BO 1490
929;ND 1210
929;ND 7240 - ND 7900
929;AM 96000
930;NG
931;NG 9700 - NG 9780
931;NK 3400
931;NW 2621
932;NG 3000 - NG 3080
932;NK 4110
932;NW 2602
933;NG 5300
933;NH 7980
934;NG 9800 - NG 9880
934;NK 3350 - NK 3830
934;NW 2580
935;NG 6000
935;NK 4125
935;NW 2647
936;NK 2473
936;NK 2300
936;NW 2250 - NW 2455
937;NF 6920 - NF 6935
937;LE 8500 - LE 9399
937;NK 2300
938;LE 7500 - LE 8399
938;NK 2430
938;NW 2345
938;NH 5350 - NH 6890
938;FB 4011
939;NH
940;NK 1500 - NK 2485
941;NK 2100
942;NK 2100
943;NK 1800
943;NK 1900
943;NK 2405
943;NK 2410
943;NK 2415
944;NK 2000
945;NK 2300
946;NK 2200
947;NK 4700
948;NK 2473
949;NK 2485
950;NK 3350 - NK 3830
951;NK 3400
952;NK 3500
953;NK 3950 - NK 4200
954;NK 3600
955;NK 4125
956;NK 4110 - NK 4170
956;NY 7000
957;NK 4700
958;NK 3350 - NK 3830
959;NK 3350 - NK 3830
960;NK 4300 - NK 4510
961;NK 4140
961;NK 4157
962;NK 4110
962;NK 4453
963;NK 4305
964;NK 4145
964;NK 4170
965;NK 4115
966;NK 4300
967;NK 4510
968;NK 4455
969;NK 4550
970;NK 4590
971;NK 4610
972;NK 2950 - NK 3090
973;NK 4600 - NK 4609
974;NK 4602
975;NK 4602
976;NK 4602
977;NK 4602
978;NK 4602
979;NK 4602
980;NK 3100 - NK 3290
981;NK 3220
982;NK 3200
983;NK 3230
984;NK 3210
985;NK 3270
986;NK 3255
986;NK 3250
987;NK 3290
988;NK 3253
989;NK 3260
989;NK 3280
990;NK 4550
993;NK 4550
994;NK 4550
995;NK 4550
996;NK 4550
997;NK 4550
998;NK 4550
999;US 9800
