uri,created,toNotation,fromNotation,type
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345637055,2024-10-21,800007668,4028495-5,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345637098,2024-10-21,800576224,4028808-0,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345637144,2024-10-21,800675552,4114087-4,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345637209,2024-10-21,800501459,4028859-6,≈
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345637306,2024-10-21,800579762,4029002-5,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345637470,2024-10-21,800391549,4029456-0,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345637659,2024-10-21,800547962,4029783-4,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345637969,2024-10-21,800363047,4163417-2,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345638213,2024-10-21,800694098,4030550-8,≈
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345638515,2024-10-21,800147772,4030702-5,≈
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345638795,2024-10-21,800416302,4073436-5,≈
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345639090,2024-10-21,800008603,4031883-7,≈
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345639317,2024-10-21,800144697,4130470-6,≈
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345639554,2024-10-21,800334505,4033114-3,≈
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345639767,2024-10-21,800550176,4033229-9,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345639961,2024-10-21,800014226,4125698-0,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345741995,2024-10-22,800113253,4114333-4,≈
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345743416,2024-10-22,800030869,4034402-2,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345744722,2024-10-22,800505228,4114364-4,≈
https://coli-conc.gbv.de/api/mappings/gnd-etiras-134574658X,2024-10-22,800145392,4074032-8,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-134574787X,2024-10-22,800449290,4074111-4,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345749031,2024-10-22,800581068,4074250-7,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345750420,2024-10-22,800252667,4035964-5,≈
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345753527,2024-10-22,800571350,4036871-3,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-134575454X,2024-10-22,800480644,4037220-0,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345754825,2024-10-22,800578809,4037278-9,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-134575499X,2024-10-22,800410149,4037589-4,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345755236,2024-10-22,800018477,4037877-9,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345756704,2024-10-22,800616698,4037944-9,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345757158,2024-10-22,800168934,4038243-6,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345757484,2024-10-22,800076917,4038971-6,≈
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345758596,2024-10-22,800191293,4039305-7,≈
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345758758,2024-10-22,800696171,4040802-4,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345759037,2024-10-22,800544978,4041316-0,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1345759266,2024-10-22,800592261,4041421-8,=
