sourcenotation;sourcepreflabel;targetnotation;targetpreflabel
GN 4751;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 4753;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 4755;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 4766;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 4795;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 4801;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 4827;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GN 4828;Einzelausgaben;17.97;Texte eines einzelnen Autors
GN 4829;Übersetzungen;17.97;Texte eines einzelnen Autors
GN 4832;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 4835;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 4855;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 4870;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 4880;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 4884;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 4909;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 4939;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 4946;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 4948;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 4975;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 4999;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 5049;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GN 5050;Einzelausgaben;17.97;Texte eines einzelnen Autors
GN 5051;Übersetzungen;17.97;Texte eines einzelnen Autors
GN 5053;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 5079;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 5083;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 5091;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 5110;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 5120;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 5126;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 5134;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 5136;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 5140;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 5144;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 5150;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 5156;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 5160;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 5162;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 5168;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 5186;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 5273;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 5277;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GN 5278;Einzelausgaben;17.97;Texte eines einzelnen Autors
GN 5279;Übersetzungen;17.97;Texte eines einzelnen Autors
GN 5300;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 5420;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 5435;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 5500;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 5551;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 5575;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 5596;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 5605;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GN 5606;Einzelausgaben;17.97;Texte eines einzelnen Autors
GN 5607;Übersetzungen;17.97;Texte eines einzelnen Autors
GN 5631;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 5635;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 5641;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 5648;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 5651;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 5661;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 5699;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 5716;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GN 5717;Einzelausgaben;17.97;Texte eines einzelnen Autors
GN 5718;Übersetzungen;17.97;Texte eines einzelnen Autors
GN 5732;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 5740;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 5751;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 5771;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 5775;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 5805;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 5820;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 5824;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 5828;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 5834;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 5839;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 5843;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 6031;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 6049;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GN 6050;Einzelausgaben;17.97;Texte eines einzelnen Autors
GN 6051;Übersetzungen;17.97;Texte eines einzelnen Autors
GN 6111;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 6151;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 6274;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 6384;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GN 6385;Einzelausgaben;17.97;Texte eines einzelnen Autors
GN 6386;Übersetzungen;17.97;Texte eines einzelnen Autors
GN 6495;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 6499;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 6501;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 6505;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 6511;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 6513;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 6515;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 6538;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 6540;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 6544;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 6561;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 6576;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 6581;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 6587;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 6591;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 6595;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 6606;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GN 6607;Einzelausgaben;17.97;Texte eines einzelnen Autors
GN 6608;Übersetzungen;17.97;Texte eines einzelnen Autors
GN 6621;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 6631;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 6640;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 6667;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 6671;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 6681;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 6688;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 6691;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 6705;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 6707;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 6709;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 6711;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 6713;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 6715;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 6720;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 6726;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 6740;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 6750;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 6764;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 6771;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 6829;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GN 6930;Einzelausgaben;17.97;Texte eines einzelnen Autors
GN 6931;Übersetzungen;17.97;Texte eines einzelnen Autors
GN 6935;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 6841;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 6880;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 6891;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 6901;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 6911;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 6921;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 6941;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GN 6942;Einzelausgaben;17.97;Texte eines einzelnen Autors
GN 6943;Übersetzungen;17.97;Texte eines einzelnen Autors
GN 6948;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GN 6949;Einzelausgaben;17.97;Texte eines einzelnen Autors
GN 6950;Übersetzungen;17.97;Texte eines einzelnen Autors
GN 6960;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7030;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7034;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7044;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7050;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7054;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7058;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7164;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7168;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7172;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7174;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7176;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7181;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7183;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7189;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7191;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7193;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7201;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7216;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7240;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7250;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7263;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7267;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7269;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7271;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7273;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7275;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7382;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7384;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7386;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7390;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7392;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7396;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7411;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7451;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7461;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7475;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7486;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7496;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GN 7497;Einzelausgaben;17.97;Texte eines einzelnen Autors
GN 7498;Übersetzungen;17.97;Texte eines einzelnen Autors
GN 7551;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7581;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7607;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GN 7608;Einzelausgaben;17.97;Texte eines einzelnen Autors
GN 7609;Übersetzungen;17.97;Texte eines einzelnen Autors
GN 7615;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7632;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7635;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7647;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7650;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7653;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7655;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7657;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7659;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7661;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7669;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7673;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7693;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7700;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7715;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7718;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GN 7719;Einzelausgaben;17.97;Texte eines einzelnen Autors
GN 7720;Übersetzungen;17.97;Texte eines einzelnen Autors
GN 7730;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7732;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7741;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7745;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7751;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7758;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7760;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7770;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7776;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7778;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7780;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7782;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7785;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7789;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7791;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7818;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7822;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7826;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7830;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7832;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7836;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7838;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7840;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7842;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7844;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7848;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7850;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7852;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7858;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7862;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7876;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7880;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7882;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7884;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7888;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GN 7889;Einzelausgaben;17.97;Texte eines einzelnen Autors
GN 7890;Übersetzungen;17.97;Texte eines einzelnen Autors
GN 7892;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7896;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7900;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7908;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7910;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7913;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GN 7914;Einzelausgaben;17.97;Texte eines einzelnen Autors
GN 7915;Übersetzungen;17.97;Texte eines einzelnen Autors
GN 7918;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7924;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7970;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7972;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7975;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7977;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7981;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7987;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7989;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 7991;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 8000;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 8006;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 8024;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 8027;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 8030;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 8032;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 8030;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 8039;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 8049;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 8059;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 8064;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 8071;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 8080;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 8082;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 8086;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 8091;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 8093;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 8095;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 8101;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 8145;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 8256;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 8291;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 8295;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 8366;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 8478;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 8490;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 8561;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 8584;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 8589;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 8610;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 8631;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 8639;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 8641;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 8646;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 8651;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 8655;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 8660;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 8683;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 8687;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 8691;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 8700;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 8795;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GN 8796;Einzelausgaben;17.97;Texte eines einzelnen Autors
GN 8797;Übersetzungen;17.97;Texte eines einzelnen Autors
GN 8810;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 8816;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 8830;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 8851;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 8854;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 8856;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 8858;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 8861;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 8865;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 8871;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 8877;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 8881;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 8887;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 8889;Primärliteratur;17.97;Texte eines einzelnen Autors
Gn 8891;Primärliteratur;17.97;Texte eines einzelnen Autors
Gn 8894;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 8897;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 8899;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9001;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9013;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9097;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9124;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9126;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9128;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9130;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9132;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9135;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9137;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9146;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9150;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9154;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9158;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9162;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9173;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9175;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9183;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9187;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9189;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9191;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9193;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9195;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9197;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9201;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9205;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9213;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9217;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9221;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9237;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9251;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9281;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9283;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9285;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9287;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9291;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GN 9292;Einzelausgaben;17.97;Texte eines einzelnen Autors
GN 9293;Übersetzungen;17.97;Texte eines einzelnen Autors
GN 9297;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9301;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9447;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9450;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9453;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9455;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9461;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9470;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9478;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9481;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9500;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9505;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9513;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9521;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9525;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9531;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9533;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9535;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9537;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9541;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9543;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9545;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9547;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9549;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9551;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9553;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9555;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9557;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GN 9558;Einzelausgaben;17.97;Texte eines einzelnen Autors
GN 9559;Übersetzungen;17.97;Texte eines einzelnen Autors
GN 9566;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9570;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9572;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9574;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9577;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9581;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9607;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9611;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9640;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9648;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9656;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9668;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GN 9669;Einzelausgaben;17.97;Texte eines einzelnen Autors
GN 9670;Übersetzungen;17.97;Texte eines einzelnen Autors
GN 9674;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9780;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9790;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9851;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9855;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9871;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9891;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9906;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9908;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9912;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9914;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9916;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9920;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9927;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9931;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9935;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9939;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9941;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9943;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9947;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9949;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9952;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9957;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9959;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9961;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9963;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9967;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9971;Primärliteratur;17.97;Texte eines einzelnen Autors
GN 9979;Primärliteratur;17.97;Texte eines einzelnen Autors
