sourcenotation;targetnotation;type
4122137-0;sh85149022;close
4057884-7;sh85128595;close
4056608-0;sh85127097;close
4147957-9;sh85025337;close
4299952-2;sh85136962;close
4223965-5;sh85009304;close
4173599-7;sh85111547;close
4057583-4;sh85144229;close
4130295-3;sh85038523;close
4157737-1;sh85055399;close
4125512-4;sh85042132;close
4144254-4;sh85005034;close
4240334-0;sh85005058;close
4008619-7;sh85015733;close
4134688-9;sh85017033;close
4134288-4;sh85028967;close
4032147-2;sh85046251;close
4140069-0;sh85083552;close
4038544-9;sh85111833;close
4153848-1;sh85061453;close
4002158-0;sh85050842;close
4172944-4;sh85025581;close
4149163-4;sh85037114;close
4189434-0;sh85020400;close
4317581-8;sh85038717;close
4182356-4;sh85126776;close
4163941-8;sh85025597;close
4077314-0;sh85098561;close
4141157-2;sh85000254;close
4163230-8;sh85071542;close
4112647-6;sh85010057;close
4311663-2;sh85066450;close
4024466-0;sh85128425;close
4122061-4;sh85010631;close
4131110-3;sh85101160;close
4037026-4;sh85079780;close
4185145-6;sh85134789;close
4021153-8;sh85055144;close
4125205-6;sh85014119;close
4150989-4;sh85040717;close
4151879-2;sh85042227;close
4183126-3;sh85088126;close
4424600-6;sh85084195;close
4277253-9;sh85110596;close
4017036-6;sh85048030;close
4158686-4;sh85060209;close
4221178-5;sh85046421;close
4137831-3;sh85126789;close
4213323-3;sh85074260;close
4139339-9;sh85088793;close
4132849-8;sh85092750;close
4148201-3;sh85027690;close
4152479-2;sh85044226;close
4180536-7;sh85068064;close
4038666-1;sh85083604;close
4167958-1;sh85077618;close
4170531-2;sh85087196;close
4069109-3;sh85011345;close
4008345-7;sh85017070;close
4137128-8;sh85056228;close
4170432-0;sh85040737;close
4179141-1;sh85117635;close
4258821-2;sh85058421;close
4154818-8;sh85049407;close
4162579-1;sh85068678;close
4132459-6;sh85060043;close
4057819-7;sh85110669;close
4142013-5;sh85003816;close
4176829-2;sh85110620;close
4146176-9;sh85124334;close
4002145-2;sh85023017;close
4464850-9;sh85022928;close
4146020-0;sh85014919;close
4122246-5;sh85034144;close
4222044-0;sh85030747;close
4165034-7;sh85030725;close
4179595-7;sh85090355;close
4138941-4;sh85026262;close
4029509-6;sh85019780;close
4131189-9;sh85024772;close
4131189-9;sh85024698;close
4126228-1;sh85116385;close
4076475-8;sh85110378;close
4136852-6;sh85015149;close
4184795-7;sh85134086;close
4207501-4;sh85042195;close
4176785-8;sh85021932;close
4189214-8;sh85145596;close
4301956-0;sh85084230;close
4142524-8;sh85133722;close
4273117-3;sh85066764;close
4160680-2;sh85016139;close
4429905-9;sh85083389;close
4251191-4;sh85111300;close
4241315-1;sh85046048;close
4007275-7;sh85014936;close
4076737-1;sh85021295;close
4177973-3;sh92004498;close
4140948-6;sh85056315;close
4139279-6;sh85051053;close
4033215-9;sh85034495;close
4141134-1;sh85038500;close
4113580-5;sh85049146;close
4150105-6;sh85038223;close
4009857-6;sh85022955;close
4158116-7;sh85056559;close
4178528-9;sh85112059;close
4168499-0;sh85079590;close
4210359-9;sh85110574;close
4169926-9;sh85085376;close
4217435-1;sh85003606;close
4344626-7;sh85085568;close
4200129-8;sh85100415;close
4140085-9;sh85085716;close
4127897-5;sh85047856;close
4428865-7;sh85122117;close
4121252-6;sh85098261;close
4177352-4;sh85112225;close
4058271-1;sh85128401;close
4147491-0;sh85022086;close
4157689-5;sh85055409;close
4176209-5;sh85052883;close
4031602-6;sh85015255;close
4203521-1;sh85097972;close
4356528-1;sh85002773;close
4149232-8;sh85037322;close
4163610-7;sh85092984;close
4125988-9;sh85093111;close
4254737-4;sh85103059;close
4135572-6;sh85124550;close
4019251-9;sh85053051;close
4125953-1;sh85084938;close
4343588-9;sh85086896;close
4143246-0;sh85008885;close
4132325-7;sh85050679;close
4176879-6;sh85110853;close
4127756-9;sh85134578;close
4375267-6;sh85143331;close
4132981-8;sh85117241;close
4114159-3;sh85021262;close
4157376-6;sh85074986;close
4125508-2;sh85010874;close
4009874-6;sh85022897;close
4159550-6;sh85060294;close
4176387-7;sh85109136;close
4161072-6;sh85063704;close
4125136-2;sh85005345;close
4179578-7;sh85121555;close
4654233-4;sh85147806;close
4139358-2;sh85092228;close
4148010-7;sh85025422;close
4151795-7;sh85042036;close
4288675-2;sh85057352;close
4186953-9;sh85059968;close
4176842-5;sh85110804;close
4184455-5;sh85033527;close
4124979-3;sh96010921;close
4020285-9;sh85040475;close
4152669-7;sh85040477;close
4127526-3;sh85086587;close
4021100-9;sh85057830;close
4162679-5;sh85048313;close
4336552-8;sh85005780;close
4210504-3;sh85001181;close
4078861-1;sh85073746;close
4208182-8;sh85111634;close
4178901-5;sh85066037;close
4070221-2;sh85067586;close
4129844-5;sh85117991;close
4151750-7;sh85042094;close
4133242-8;sh85146878;close
4184138-4;sh85130585;close
4040284-8;sh85087342;close
4153695-2;sh85028624;close
4147907-5;sh85030805;close
4006891-2;sh85014253;close
4128909-2;sh85123040;close
4141652-1;sh85034246;close
4052739-6;sh85123395;close
4139574-8;sh2009102782;close
4620244-4;sh85124512;close
4163881-5;sh85053402;close
4162498-1;sh85068632;close
4162565-1;sh85068672;close
4163525-5;sh85021547;close
4186356-2;sh85138298;close
4156259-8;sh85082732;close
4120186-3;sh85055678;close
4185936-4;sh85137024;close
4004692-8;sh85017698;close
4183526-8;sh85043123;close
4127983-9;sh85134102;close
4181836-2;sh85126421;close
4186811-0;sh85110601;close
4160091-5;sh85060683;close
4160091-5;sh85060685;close
4064302-5;sh85129645;close
4134790-0;sh85112202;close
4070047-1;sh85027513;close
4139944-4;sh85110583;close
4223187-5;sh85005549;close
4137419-8;sh85145961;close
4611379-4;sh85100033;close
4140143-8;sh96000104;close
4122953-8;sh85039566;close
4036582-7;sh85002589;close
4174891-8;sh85041510;close
4043370-5;sh85094897;close
4072819-5;sh85067271;close
4191333-4;sh85014361;close
4172688-1;sh85095162;close
4128328-4;sh85017266;close
4180252-4;sh85057943;close
4145189-2;sh85078433;close
4054135-6;sh85119269;close
4007367-1;sh85124341;close
4180783-2;sh85119447;close
4013208-0;sh85117191;close
4019416-4;sh85053352;close
4150921-3;sh85040311;close
4060051-8;sh85015858;close
4325831-1;sh85041861;close
4171660-7;sh85091218;close
4164925-4;sh85009286;close
4033651-7;sh85057917;close
4133461-9;sh85112294;close
4078299-2;sh85078650;close
4003949-3;sh85079392;close
4113456-4;sh85040490;close
4120291-0;sh85092722;close
4143296-4;sh85009108;close
4344715-6;sh85088951;close
4034538-5;sh85078180;close
4016454-8;sh85028654;close
4120164-4;sh85110829;close
4015799-4;sh85045914;close
4173114-1;sh85097105;close
4074195-3;sh85076269;close
4179118-6;sh85117531;close
4127402-7;sh85037253;close
4143140-6;sh85008150;close
4184308-3;sh85131814;close
4217436-3;sh88002246;close
4170389-3;sh85086570;close
4133483-8;sh85086581;close
4060540-1;sh85136327;close
4152703-3;sh85100398;close
4279959-4;sh85048613;close
4238112-5;sh85126646;close
4138373-4;sh85145985;close
4124439-4;sh85145647;close
4006311-2;sh85087557;close
4248223-9;sh85127065;close
4127627-9;sh85124133;close
4141578-4;sh85056264;close
4127920-7;sh85000262;close
4142731-2;sh85005734;close
4176774-3;sh85110314;close
4157662-7;sh85055355;close
4138764-8;sh85147501;close
4166957-5;sh85075099;close
4141121-3;sh85000240;close
4130652-1;sh85000584;close
4194064-7;sh85007500;close
4603123-6;sh85136515;close
4074317-2;sh85029253;close
4158087-4;sh85015601;close
4245103-6;sh85056193;close
4264035-0;sh85139492;close
4130409-3;sh85067833;close
4163517-6;sh85115653;close
4146877-6;sh85026371;close
4146877-6;sh85104428;close
4138463-5;sh85033858;close
4056006-5;sh85128707;close
4140818-4;sh85074218;close
4121642-8;sh85056572;close
4047105-6;sh85106614;close
4143535-7;sh85133792;close
4213623-4;sh96004297;close
4175441-4;sh85105392;close
4179052-2;sh85117259;close
4174491-3;sh85101164;close
4113981-1;sh85063471;close
4136017-5;sh85085465;close
4128669-8;sh85057370;close
4154906-5;sh85045018;close
4184374-5;sh85141858;close
4147793-5;sh85024536;close
4171239-0;sh85124249;close
4381820-1;sh85059844;close
4006020-2;sh85085246;close
4154371-3;sh85048229;close
4006347-1;sh85027190;close
4474749-4;sh85062446;close
4284558-0;sh85042763;close
4230857-4;sh85035947;close
4200632-6;sh85038119;close
4263733-8;sh85102949;close
4161788-5;sh85067281;close
4136702-9;sh85007466;close
4157015-7;sh85120565;close
4178966-0;sh85007479;close
4170267-0;sh85028883;close
4058921-3;sh85131929;close
4054596-9;sh85120206;close
4190824-7;sh85149790;close
4121218-6;sh85048586;close
4147454-5;sh85021705;close
4167660-9;sh85076945;close
4162684-9;sh85137235;close
4124926-4;sh85060546;close
7540615-9;sh85082481;close
4002594-9;sh85073757;close
4203329-9;sh86004796;close
4163246-1;sh85022583;close
4175411-6;sh85104985;close
4008836-4;sh85018348;close
4390611-4;sh85082694;close
4231499-9;sh85031217;close
4157339-0;sh86002965;close
4120317-3;sh85059289;close
4171413-1;sh85126782;close
4131523-6;sh85095326;close
4188049-3;sh85034033;close
4129277-7;sh85008513;close
4191880-0;sh85099315;close
4193041-1;sh85079451;close
4145818-7;sh85017397;close
4143037-2;sh88022324;close
4149716-8;sh85037791;close
4191397-8;sh85035220;close
4016852-9;sh85133437;close
4178174-0;sh85021343;close
4147748-0;sh85024541;close
4264174-3;sh85128395;close
4128311-9;sh85019859;close
4144255-6;sh85040742;close
4172093-3;sh85127463;close
4184117-7;sh85130637;close
4076573-8;sh85112019;close
4121084-0;sh85022931;close
4120469-4;sh85063538;close
4157312-2;sh85135265;close
4121121-2;sh85035850;close
4173038-0;sh85096391;close
4071279-5;sh85077357;close
4152184-5;sh85043091;close
4190702-4;sh85021858;close
4012008-9;sh85036195;close
4169982-8;sh85085407;close
4173798-2;sh85099949;close
4101112-0;sh85086500;close
4458726-0;sh85094815;close
4134147-8;sh85002564;close
4096673-2;sh85149494;close
4173252-2;sh85040949;close
4435344-3;sh85028604;close
4245779-8;sh85127936;close
4183543-8;sh85110345;close
4228489-2;sh85055114;close
4426555-4;sh85005466;close
4129455-5;sh85129118;close
4028779-8;sh85070745;close
4020532-0;sh85061248;close
4177700-1;sh85074366;close
4050016-0;sh85120513;close
4472258-8;sh85041558;close
4157344-4;sh85103938;close
4171476-3;sh85090897;close
4112549-6;sh85001184;close
4067892-1;sh85149919;close
4127234-1;sh85007583;close
4190450-3;sh85149510;close
4364844-7;sh85047096;close
4147903-8;sh85024750;close
4041071-7;sh85062297;close
4009836-9;sh85023033;close
4121429-8;sh85095156;close
4162301-0;sh85067803;close
4206484-3;sh85076865;close
4187479-1;sh85101009;close
4162456-7;sh85068338;close
4121005-0;sh85119490;close
4058275-9;sh85128394;close
4141067-1;sh85065813;close
4142411-6;sh85066510;close
4196530-9;sh85044425;close
4504967-1;sh85132176;close
4327028-1;sh85002186;close
4529735-6;sh85014144;close
4014670-4;sh85043097;close
4031222-7;sh87002400;close
4248783-3;sh89003176;close
4133962-9;sh85034252;close
4133962-9;sh85102868;close
4171578-0;sh85091115;close
4033450-8;sh85059736;close
4140707-6;sh85059739;close
4394875-3;sh85124444;close
4056433-2;sh85009147;close
4184386-1;sh85132075;close
4131432-3;sh85101108;close
4199644-6;sh85025330;close
4122043-2;sh85004595;close
4124238-5;sh85081889;close
4035634-6;sh85101417;close
4678575-9;sh85145562;close
4207415-0;sh85021644;close
4234987-4;sh85022510;close
4368795-7;sh85121170;close
4178274-4;sh85026910;close
4020433-9;sh85094110;close
4173389-7;sh85099926;close
4162007-0;sh85067261;close
4157720-6;sh85055392;close
4126502-6;sh85128059;close
4490940-8;sh85036860;close
4300705-3;sh85094598;close
4200510-3;sh85076873;close
4009892-8;sh85102715;close
4165153-4;sh85031556;close
4425419-2;sh85099662;close
4306823-6;sh85147834;close
4023493-9;sh85141421;close
4272621-9;sh85137464;close
4170007-7;sh85040188;close
4354753-9;sh85005604;close
7684056-6;sh85048959;close
4131177-2;sh85147966;close
4121281-2;sh85110480;close
4655876-7;sh85029494;close
4197700-2;sh85037815;close
4145563-0;sh85014090;close
4125311-5;sh85023013;close
4185169-9;sh85134821;close
4011306-1;sh85128454;close
4153410-4;sh85046551;close
4145861-8;sh85015114;close
4139167-6;sh85129196;close
4197824-9;sh85053704;close
4132368-3;sh85126426;close
4158874-5;sh85058508;close
4637631-8;sh85036850;close
4151020-3;sh85053403;close
4000345-0;sh85000470;close
4122252-0;sh85103196;close
4122252-0;sh85104678;close
4260307-9;sh85043237;close
4158620-7;sh85058134;close
4183148-2;sh85127422;close
4123783-3;sh85086435;close
4115701-1;sh85123681;close
4139324-7;sh85103064;close
4174982-0;sh85104141;close
4179387-0;sh85041607;close
4163618-1;sh85093019;close
4321480-0;sh85122562;close
4004910-3;sh85002388;close
4141916-9;sh85085723;close
4007575-8;sh85114662;close
4131789-0;sh85085544;close
4127615-2;sh85068376;close
4194368-5;sh85134871;close
4041365-2;sh85090270;close
4033125-8;sh85145175;close
4134037-1;sh85145116;close
4131100-0;sh85044215;close
4029551-5;sh85022579;close
4163378-7;sh85105656;close
4159652-3;sh85042832;close
4132624-6;sh85009290;close
4477170-8;sh85009494;close
4170932-9;sh85089246;close
4182787-9;sh85044942;close
4129948-6;sh86005432;close
4174912-1;sh85103492;close
4132116-9;sh85042228;close
4152356-8;sh85044112;close
4138994-3;sh85071686;close
4239646-3;sh85071090;close
4016843-8;sh85133515;close
4057825-2;sh85123179;close
4377227-4;sh85124778;close
4271150-2;sh85003643;close
4185910-8;sh85136978;close
4010163-0;sh85025385;close
4122328-7;sh85068314;close
4047000-3;sh85106375;close
4137788-6;sh85015259;close
4310572-5;sh85067221;close
4294610-4;sh85035243;close
4437756-3;sh92006306;close
4272750-9;sh85126841;close
4007279-4;sh85014964;close
4128838-5;sh85088932;close
4234435-9;sh85052378;close
4112784-5;sh85011499;close
4473512-1;sh85035648;close
4197874-2;sh85104995;close
4701007-1;sh85097826;close
4380204-7;sh85038311;close
4405479-8;sh85066523;close
4121183-2;sh85042343;close
4185082-8;sh85072738;close
4165687-8;sh85145174;close
4135662-7;sh85072664;close
4262595-6;sh85068259;close
4277879-7;sh85112143;close
4209634-0;sh85039468;close
4064508-3;sh85114891;close
4051266-6;sh85000532;close
4144090-0;sh85012058;close
4143418-3;sh85036221;close
4187634-9;sh85038027;close
4128636-4;sh85077342;close
4001223-2;sh85039589;close
4225652-5;sh85056345;close
4154512-6;sh85015298;close
4137280-3;sh97008479;close
4245192-9;sh85116677;close
4189543-5;sh85093907;close
4478152-0;sh85077841;close
4150727-7;sh85044721;close
4410203-3;sh85146389;close
4517169-5;sh85098998;close
4194129-9;sh95006931;close
4224191-1;sh85004720;close
4112591-5;sh85006483;close
4161227-9;sh92001064;close
4116387-4;sh85135167;close
4155496-6;sh85052097;close
4323030-1;sh85036710;close
4012517-8;sh85038327;close
4293663-9;sh85006232;close
4123206-9;sh85047967;close
4332360-1;sh85104513;close
4181127-6;sh85121066;close
7523948-6;sh85135235;close
4174101-8;sh85105065;close
4133438-3;sh85022058;close
4027286-2;sh85106540;close
4136453-3;sh85083156;close
4125623-2;sh85063824;close
4189415-7;sh85031189;close
4179127-7;sh85117504;close
4015934-6;sh97005034;close
4182630-9;sh85038442;close
4182630-9;sh85098387;close
4279002-5;sh85020181;close
4137581-6;sh85114080;close
4162089-6;sh85075134;close
4134965-9;sh85085363;close
4022498-3;sh85139704;close
4043568-4;sh85094847;close
4288126-2;sh85135784;close
4427544-4;sh85052497;close
4125260-3;sh85137120;close
4067547-6;sh85021642;close
4256684-8;sh85090910;close
4181427-7;sh85122538;close
4123274-4;sh85025386;close
4121487-0;sh85071136;close
4460929-2;sh85104821;close
4305233-2;sh85039707;close
4302415-4;sh88005350;close
4189505-8;sh85142367;close
4129501-8;sh85081801;close
4261462-4;sh85114628;close
4113219-1;sh85095542;close
4226436-4;sh85057237;close
4436177-4;sh85039805;close
4310936-6;sh85095140;close
4168580-5;sh85079774;close
4182316-3;sh85126655;close
7728203-6;sh85138356;close
4477224-5;sh85129405;close
4247241-6;sh85090216;close
4261911-7;sh85089126;close
4142771-3;sh85006138;close
4168272-5;sh85002670;close
4216707-3;sh85115467;close
4261941-5;sh85067537;close
4273579-8;sh85111416;close
4259393-1;sh85111414;close
4040211-3;sh85087489;close
4138008-3;sh85033804;close
4135966-5;sh85134797;close
4138390-4;sh85029230;close
4189175-2;sh85102822;close
4409345-7;sh85114661;close
4642127-0;sh85060982;close
4157119-8;sh85046810;close
4346567-5;sh85134518;close
4063089-4;sh85044938;close
4142472-4;sh85002191;close
4135772-3;sh85048700;close
4172911-0;sh85095932;close
4002639-5;sh85070573;close
4135167-8;sh85044168;close
4123608-7;sh96001507;close
4039429-3;sh85085612;close
4161358-2;sh85005198;close
4143132-7;sh85095960;close
4020967-2;sh85056029;close
4173758-1;sh85099849;close
4333665-6;sh85135587;close
4113746-2;sh85000524;close
4203709-8;sh85001182;close
4161242-5;sh85064210;close
4161582-7;sh85059727;close
4038626-0;sh85083557;close
4172330-2;sh85093752;close
4037440-3;sh85080916;close
4034036-3;sh85078296;close
4178058-9;sh85113834;close
4133928-9;sh85033921;close
4026309-5;sh85063460;close
4152191-2;sh85043100;close
4137610-9;sh85143794;close
4131629-0;sh85059765;close
4315599-6;sh85144036;close
4170355-8;sh85097569;close
4170355-8;sh85104900;close
4185790-2;sh85136339;close
4138575-5;sh85096338;close
4161372-7;sh85064559;close
4172945-6;sh85040599;close
4165893-0;sh85008308;close
4117388-0;sh85067125;close
4186917-5;sh85141079;close
4412924-5;sh85115894;close
4198921-1;sh85006048;close
4127125-7;sh85142938;close
4322509-3;sh85058776;close
4571733-3;sh85141945;close
4144336-6;sh85025834;close
4001735-7;sh85004538;close
4284495-2;sh95005116;close
4481441-0;sh85051715;close
4141244-8;sh85000462;close
4238812-0;sh93001518;close
4296418-0;sh90002033;close
4122115-1;sh96006990;close
4032237-3;sh85031457;close
4155087-0;sh85047988;close
4385093-5;sh85102651;close
4038397-0;sh85088386;close
4046865-3;sh85137992;close
4242467-7;sh85011845;close
4185707-0;sh85136069;close
4164228-4;sh85056273;close
4743861-7;sh85044152;close
4567283-0;sh85092382;close
4300107-5;sh85040629;close
4259887-4;sh85065991;close
4225817-0;sh85012012;close
7747767-4;sh86002168;close
4060976-5;sh85137975;close
4163350-7;sh85035173;close
4190579-9;sh85039423;close
4001977-9;sh85004947;close
4202596-5;sh85045840;close
4026509-2;sh85059909;close
4221913-9;sh85000176;close
4193754-5;sh85079324;close
4272861-7;sh85059036;close
4134337-2;sh85005031;close
4014363-6;sh85042368;close
4120712-9;sh85082093;close
4294734-0;sh85147706;close
4322738-7;sh85073428;close
4142846-8;sh85006365;close
4145632-4;sh85014175;close
4308402-3;sh85014225;close
4183909-2;sh85056330;close
4123071-1;sh85035853;close
4037223-6;sh85147670;close
4168603-2;sh85079794;close
4053256-2;sh85015450;close
4121504-7;sh85106325;close
4058634-0;sh85130644;close
4022771-6;sh85058212;close
4140044-6;sh95005080;close
4129935-8;sh88002425;close
4049534-6;sh90004869;close
4185727-6;sh85136123;close
4120111-5;sh85003868;close
4149032-0;sh85036226;close
4000497-1;sh85056261;close
4191574-4;sh85056262;close
4157372-9;sh85057846;close
4130414-7;sh85073911;close
4139277-2;sh85095750;close
4310867-2;sh85020548;close
4069807-5;sh85018769;close
4114633-5;sh85108967;close
4319328-6;sh85060231;close
4154338-5;sh85048190;close
4200122-5;sh85029279;close
4481574-8;sh85075800;close
4340333-5;sh85083723;close
4174012-9;sh85099669;close
4197432-3;sh88003772;close
4205410-2;sh85073975;close
4167383-9;sh85076134;close
4342274-3;sh85096077;close
4050863-8;sh85113386;close
4182921-9;sh98005979;close
4134699-3;sh85105092;close
4179452-7;sh85010244;close
4054388-2;sh85119714;close
4056929-9;sh85078282;close
4170403-4;sh85035439;close
4169927-0;sh85035451;close
4170561-0;sh85087350;close
4253299-1;sh85109329;close
4130645-4;sh87007318;close
4015248-0;sh85046340;close
4254086-0;sh85113336;close
4011134-9;sh85035859;close
4323434-3;sh85059958;close
4170818-0;sh85147655;close
4178225-2;sh85073633;close
4073512-6;sh85027041;close
4532267-3;sh87005642;close
4318033-4;sh85105151;close
4142389-6;sh88003494;close
4200089-0;sh85005856;close
4066880-0;sh85058909;close
4200518-8;sh85000126;close
4115604-3;sh85105557;close
4124175-7;sh85098951;close
4045920-2;sh85101275;close
4156694-4;sh85054028;close
4160271-7;sh85060750;close
4071808-6;sh85059598;close
4196923-6;sh85005044;close
4136041-2;sh92006450;close
4289278-8;sh99003398;close
4208419-2;sh85056325;close
4065972-0;sh85112916;close
4998165-1;sh85112917;close
4165888-7;sh85007506;close
4738565-0;sh85093295;close
4221059-8;sh85130311;close
4132785-8;sh85121413;close
4134615-4;sh85045195;close
4048754-4;sh85075292;close
4454368-2;sh85072310;close
4002394-1;sh85005905;close
4170188-4;sh85086294;close
4247624-0;sh85066447;close
4268603-9;sh85084774;close
4183516-5;sh85110767;close
4142487-6;sh85067798;close
4172318-1;sh95009020;close
4063584-3;sh85143658;close
4477793-0;sh85084329;close
4169298-6;sh85079982;close
4305719-6;sh85084331;close
7514592-3;sh85144434;close
4122801-7;sh95001014;close
4309343-7;sh89004560;close
4563051-3;sh85005219;close
4031657-9;sh85020082;close
4461959-5;sh85131913;close
4001840-4;sh85101299;close
4128998-5;sh85145149;close
4475549-1;sh85021689;close
4113758-9;sh85088760;close
4113758-9;sh85136334;close
4052835-2;sh85021000;close
4122098-5;sh85024659;close
4006533-9;sh85012857;close
4034879-9;sh85028698;close
4148620-1;sh85035100;close
4160318-7;sh85118990;close
4127637-1;sh85064565;close
4153761-0;sh85085547;close
4178281-1;sh85005957;close
4162457-9;sh2003010924;close
4003086-6;sh85008141;close
4159957-3;sh85085398;close
4176716-0;sh85128719;close
4005088-9;sh85012679;close
4334380-6;sh85058822;close
4157331-6;sh85099201;close
4235873-5;sh85037948;close
4308191-5;sh85045104;close
4215758-4;sh85120776;close
4180677-3;sh85127400;close
4121096-7;sh85035108;close
4187442-0;sh85000552;close
4199235-0;sh85089875;close
4041505-3;sh85097934;close
4172525-6;sh85098268;close
4067544-0;sh85021658;close
4124425-4;sh85050565;close
4200510-3;sh85124538;close
4140173-6;sh85063859;close
4196860-8;sh85063844;close
4128442-2;sh85021487;close
4158038-2;sh85056417;close
4044512-4;sh85098302;close
4021893-4;sh85001727;close
4045159-8;sh85052097;close
4069213-9;sh85005328;close
4069120-2;sh85126698;close
4633607-2;sh85099723;close
4022813-7;sh86001298;close
4232110-4;sh85066800;close
4249996-3;sh85122215;close
4161120-2;sh85063783;close
4415807-5;sh93000101;close
4074259-3;sh85014996;close
4040785-8;sh85014492;close
4128144-5;sh85130580;close
4169964-6;sh85108395;close
4367323-5;sh85057373;close
4046188-9;sh85102546;close
4186946-1;sh85099945;close
4255087-7;sh85028846;close
4317285-4;sh85145980;close
4180784-4;sh85062855;close
4225943-5;sh85090892;close
4504683-9;sh85107555;close
4182718-1;sh85040701;close
4041648-3;sh85090937;close
4135539-8;sh85034487;close
4114155-6;sh85038295;close
4019306-8;sh97004767;close
4294611-6;sh85059591;close
4033628-1;sh85007479;close
4381638-1;sh85009571;close
4276413-0;sh85142927;close
4174792-6;sh85102649;close
4274142-7;sh85147631;close
4464421-8;sh2007003733;close
4186241-7;sh85137934;close
4332237-2;sh85027628;close
4334180-9;sh85032413;close
4164618-6;sh85027625;close
4122401-2;sh85014308;close
4142298-3;sh85053597;close
4138225-0;sh85002507;close
4349329-4;sh85042831;close
4160155-5;sh85087774;close
4183899-3;sh92003611;close
4200268-0;sh85124337;close
4333991-8;sh85119546;close
4714940-1;sh85092757;close
4181050-8;sh85120306;close
4115340-6;sh85113696;close
4078081-8;sh85130697;close
4136447-8;sh85130353;close
4047521-9;sh85107685;close
4049714-8;sh85039761;close
4060010-5;sh85135147;close
4167587-3;sh85074772;close
4338045-1;sh85053871;close
4729894-7;sh85055938;close
4282806-5;sh85109358;close
4170283-9;sh85138135;close
4381357-4;sh85090394;close
4058912-2;sh85018381;close
4714525-0;sh85068119;close
4146069-8;sh85014982;close
4112726-2;sh85129589;close
4134790-0;sh85103441;close
4259550-2;sh85032170;close
4293730-9;sh85102783;close
4156623-3;sh85050590;close
4135369-9;sh85029376;close
4214704-9;sh85133072;close
4225578-8;sh85111851;close
4173975-9;sh85056373;close
4223832-8;sh85067371;close
4035396-5;sh85076124;close
4175049-4;sh85104347;close
4009303-7;sh85022364;close
4158244-5;sh85074712;close
4127871-9;sh85127535;close
4125218-4;sh85057001;close
4013956-6;sh85020624;close
4223208-9;sh85009343;close
4171063-0;sh85087552;close
4033439-9;sh85008200;close
4138389-8;sh85079330;close
4185321-0;sh85134929;close
4177382-2;sh85111203;close
4038337-4;sh85057793;close
4188447-4;sh85143987;close
4184737-4;sh85133984;close
4455155-1;sh85123199;close
4024697-8;sh85096422;close
4180713-3;sh85133841;close
4054548-9;sh85129531;close
4200075-0;sh2008004984;close
4137692-4;sh85126977;close
4151430-0;sh85082422;close
4513846-1;sh88022696;close
4474133-9;sh85112217;close
4285862-8;sh85112010;close
4145833-3;sh85040695;close
4016065-8;sh87006336;close
4268280-0;sh85004156;close
4175992-8;sh85050213;close
4379493-2;sh85027254;close
4125629-3;sh85044147;close
4147817-4;sh85024579;close
4302683-7;sh85020968;close
4125110-6;sh85036477;close
4159691-2;sh85020177;close
4051949-1;sh85100293;close
4014667-4;sh85064644;close
4562973-0;sh85127966;close
4204129-6;sh85083839;close
4130554-1;sh85104683;close
4155801-7;sh85005473;close
4156095-4;sh85096966;close
4115609-2;sh85014191;close
4156069-3;sh85053494;close
4028423-2;sh85020382;close
4184971-1;sh85134464;close
4171186-5;sh85122938;close
4150983-3;sh85040686;close
4061312-4;sh85139085;close
4156787-0;sh85095822;close
4141978-9;sh85003718;close
4398966-4;sh85117515;close
4189928-3;sh85025977;close
4189928-3;sh85066336;close
4031463-7;sh85018616;close
4168128-9;sh89004498;close
4137553-1;sh85056307;close
4076878-8;sh85007355;close
4150969-9;sh85103244;close
4166524-7;sh85040508;close
4136965-8;sh85128547;close
4136965-8;sh85128547;close
4198788-3;sh86007858;close
4246493-6;sh85028596;close
4202594-1;sh2006005781;close
4178169-7;sh85016141;close
4258860-1;sh85110787;close
4011784-4;sh85064128;close
4133810-8;sh85048937;close
4156601-4;sh85053818;close
4233047-6;sh90006048;close
4208654-1;sh85037649;close
4284824-6;sh85052502;close
4146114-9;sh85021992;close
4165564-3;sh85019539;close
4631398-9;sh85146442;close
4173322-8;sh85097918;close
4173646-1;sh85052490;close
4173763-5;sh85099863;close
4449809-3;sh85105029;close
4490503-8;sh85141385;close
4174416-0;sh85101111;close
4045895-7;sh85101195;close
4151542-0;sh85068240;close
4125604-9;sh85062256;close
4128757-5;sh85027043;close
4318611-7;sh87003620;close
4154905-3;sh85082690;close
4188814-5;sh85144505;close
4136998-1;sh85022422;close
4190555-6;sh85149696;close
4674422-8;sh85017948;close
4112852-7;sh85017946;close
4158632-3;sh85058317;close
4139951-1;sh85105060;close
4387561-0;sh85112544;close
4246079-7;sh85038511;close
4321088-0;sh85017028;close
4189455-8;sh85060057;close
4332622-5;sh85138062;close
4455077-7;sh86005993;close
4154279-4;sh85049132;close
4290134-0;sh85051127;close
4153852-3;sh85048146;close
4137123-9;sh85060454;close
4171185-3;sh85097869;close
4175552-2;sh85106459;close
4135745-0;sh85014827;close
4112504-6;sh91005638;close
4137467-8;sh85114692;close
4026215-7;sh85063093;close
4129238-8;sh85023341;close
4155983-6;sh85076251;close
4256325-2;sh88021854;close
4189884-9;sh85146728;close
4038525-5;sh85083394;close
4191616-5;sh85122105;close
4129007-0;sh85053490;close
4128936-5;sh85053876;close
