sourcenotation;targetnotation;type
4017102-4;sh85026014;close
4056723-0;sh85026130;close
4056754-0;sh85026282;close
4069720-4;sh85026344;close
4146877-6;sh85026371;close
4043169-1;sh85026387;close
4125698-0;sh85026423;close
4067906-8;sh85026423;close
4030958-7;sh85026719;close
4031790-0;sh85028562;close
4128651-0;sh85028571;close
4023222-0;sh85028901;close
4023249-9;sh85028940;close
4003841-5;sh85028953;close
4031883-7;sh85029027;close
4031892-8;sh85029120;close
4037764-7;sh85029120;close
4047394-6;sh85029524;close
4055382-6;sh85029534;close
4062801-2;sh85031329;close
4004811-1;sh85031360;close
4031445-5;sh2010008400;close
4020646-4;sh85032912;close
4157055-8;sh85032928;close
4031011-5;sh85033238;close
4034309-1;sh85033462;close
4025453-7;sh85033582;close
4226334-7;sh85033582;close
4166043-2;sh85033827;close
4167882-5;sh85033827;close
4057799-5;sh85033993;close
4057795-8;sh85034058;close
4058881-6;sh85036577;close
4033229-9;sh85034149;close
4036020-9;sh85034149;close
4059657-6;sh85034152;close
4114328-0;sh85034273;close
4033581-1;sh85034748;close
4059028-8;sh85035659;close
4011152-0;sh85035857;close
4011119-2;sh86007767;close
4073883-8;sh85036316;close
4011413-2;sh85036647;close
4012040-5;sh85037489;close
4113303-1;sh85037489;close
4015332-0;sh85037853;close
4192877-5;sh86005508;close
4194747-2;sh85038362;close
4032844-2;sh85038411;close
4012656-0;sh85038731;close
4026181-5;sh85038796;close
4012899-4;sh85039316;close
4067453-8;sh85039408;close
4127900-1;sh85039408;close
4060747-1;sh85039483;close
4066749-2;sh85040193;close
4066768-6;sh85040193;close
4043207-5;sh85040752;close
4043212-9;sh85040762;close
4076602-0;sh85040778;close
4066438-7;sh85040804;close
4066493-4;sh85040837;close
4063885-6;sh85040850;close
4078943-3;sh85040850;close
4015482-8;sh85040989;close
4044302-4;sh85040989;close
4123868-0;sh85041091;close
4072562-5;sh85041065;close
4022354-1;sh85041077;close
4064286-0;sh85041557;close
4014346-6;sh85042383;close
4120730-0;sh85042782;close
4120744-0;sh87002489;close
4002623-1;sh87002489;close
4248043-7;sh85042896;close
4014715-0;sh85043147;close
4137304-2;sh85043176;close
4059205-4;sh85043176;close
4113357-2;sh85043995;close
4121726-3;sh85043995;close
4003524-4;sh85044032;close
4078523-3;sh85044197;close
4061644-7;sh85044203;close
4015602-3;sh85045096;close
4033552-5;sh85045182;close
4220764-2;sh85045187;close
4153096-2;sh85045187;close
4078931-7;sh85045198;close
4071034-8;sh85045926;close
4047609-1;sh85046079;close
4129464-6;sh85046105;close
4318315-3;sh85046105;close
4016020-8;sh87004892;close
4153591-1;sh85046816;close
4016397-0;sh85047009;close
4073995-8;sh85047299;close
4016494-9;sh85047355;close
4222126-2;sh85047741;close
4154198-4;sh85047932;close
4050479-7;sh85048050;close
4017182-6;sh85048256;close
4017214-4;sh85048256;close
4017214-4;sh85048270;close
4078937-8;sh85050104;close
4047390-9;sh85050485;close
4017966-7;sh85050707;close
4064354-2;sh85050707;close
4069225-5;sh85050919;close
4018348-8;sh85051718;close
4056218-9;sh85052948;close
4443908-8;sh85053089;close
4020097-8;sh85053742;close
4020216-1;sh85053986;close
4020227-6;sh85054037;close
4079262-6;sh85056036;close
4021845-4;sh85056474;close
4140349-6;sh85057485;close
4023299-2;sh85058715;close
4064566-6;sh85060322;close
4072428-1;sh85060322;close
4128972-9;sh85060402;close
4064532-0;sh85060793;close
4004973-5;sh85061097;close
4020531-9;sh85061211;close
4020517-4;sh85061212;close
4073091-8;sh85061515;close
4025783-6;sh85061725;close
4045503-8;sh85062160;close
4032786-3;sh85062285;close
4025922-5;sh85062487;close
4066768-6;sh85062603;close
4204496-0;sh85062603;close
4074725-6;sh85026379;close
4026140-2;sh85062902;close
4027955-8;sh85063117;close
4072712-9;sh85064138;close
4027041-5;sh85064810;close
4006179-6;sh85065889;close
4136450-8;sh85065977;close
4026860-3;sh85065977;close
4002617-6;sh85065928;close
4133849-2;sh85065960;close
4026779-9;sh85065960;close
4150383-1;sh85066157;close
4063173-4;sh85066802;close
4274490-8;sh85067165;close
4027249-7;sh85067169;close
4072819-5;sh85067272;close
4075092-9;sh85067372;close
4120503-0;sh85067385;close
4065468-0;sh85067395;close
4027447-0;sh85067417;close
4063693-8;sh85067417;close
4072885-7;sh85067435;close
4065365-1;sh87004890;close
4005227-8;sh85067703;close
4003772-1;sh85067736;close
4027743-4;sh85068390;close
4002764-8;sh85070579;close
4028779-8;sh85070736;close
4114087-4;sh85070835;close
4048737-4;sh85071088;close
4076570-2;sh85071088;close
4076570-2;sh85071088;close
4029081-5;sh85071120;close
4024600-0;sh85072413;close
4031516-2;sh85072413;close
4070914-0;sh85072732;close
4070914-0;sh85072732;close
4002747-8;sh89000874;close
4002769-7;sh85073691;close
4002581-0;sh89000876;close
4072130-9;sh85074312;close
4056486-1;sh85074574;close
4077732-7;sh85074564;close
4048737-4;sh85075119;close
4177234-9;sh85075126;close
4115710-2;sh85075126;close
4048821-4;sh85075139;close
4035028-9;sh85075780;close
4020682-8;sh85075801;close
4008240-4;sh85076220;close
4035582-2;sh85076443;close
4006439-6;sh85076502;close
4074250-7;sh85077222;close
4035964-5;sh85077507;close
4167885-0;sh85077572;close
4019990-3;sh85077923;close
4130370-2;sh85077932;close
4036202-4;sh85078106;close
4037174-8;sh85079443;close
4037278-9;sh85080336;close
4008017-1;sh85080593;close
4204494-7;sh85080593;close
4005982-0;sh85080626;close
4023287-6;sh85080672;close
4121857-7;sh85081333;close
4037589-4;sh85081333;close
4013657-7;sh85081416;close
4037877-9;sh85081863;close
4045998-6;sh85082059;close
4001865-9;sh85082116;close
4114528-8;sh85082124;close
4037944-9;sh85082139;close
4038168-7;sh85082767;close
4113743-7;sh85083002;close
4040233-2;sh85083031;close
4024076-9;sh85083063;close
4038243-6;sh85083064;close
4038241-2;sh85083220;close
4038936-4;sh85084286;close
4169977-4;sh85085132;close
4065004-2;sh85085264;close
4752223-9;sh85085792;close
4039567-4;sh85086032;close
4019902-2;sh85086787;close
4019889-3;sh85086790;close
4127284-5;sh85086790;close
4011453-3;sh85087089;close
4017102-4;sh85088084;close
4019956-3;sh85088454;close
4019990-3;sh85088468;close
4040795-0;sh85088723;close
4040802-4;sh85088762;close
4040851-6;sh85088961;close
4041005-5;sh85089371;close
4130377-5;sh85089606;close
4045285-2;sh85089622;close
4063886-8;sh85090018;close
4041316-0;sh85090131;close
4041282-9;sh85090150;close
4041421-8;sh85090222;close
4041382-2;sh85090280;close
4041382-2;sh85090300;close
4078599-3;sh85091252;close
4000464-8;sh85092138;close
4043421-7;sh85093821;close
4005871-2;sh85093855;close
4005857-8;sh85093862;close
4075660-9;sh85094833;close
4043582-9;sh85094900;close
4040600-3;sh85095251;close
4037215-7;sh85096653;close
4037220-0;sh85096661;close
4044375-9;sh85097123;close
4044631-1;sh85108405;close
4004763-5;sh85099061;close
4129566-3;sh85099818;close
4076000-5;sh85100143;close
4045798-9;sh85100845;close
4045791-6;sh85100849;close
4045830-1;sh85101053;close
4045893-3;sh85101179;close
4045895-7;sh85101206;close
4045956-1;sh85101653;close
4045981-0;sh85101679;close
4045539-7;sh85102839;close
4046449-0;sh85103703;close
4036774-5;sh85103704;close
4046595-0;sh85104183;close
4044737-6;sh85104371;close
4257314-2;sh85104376;close
4076230-0;sh85104422;close
4115590-7;sh85104440;close
4076229-4;sh85104440;close
4076226-9;sh88004669;close
4046517-2;sh85104461;close
4036023-4;sh85104470;close
4137400-9;sh85104470;close
4046514-7;sh85104466;close
4063849-2;sh85104904;close
4006287-9;sh85104910;close
4006298-3;sh85104913;close
4006627-7;sh85105182;close
4046886-0;sh85105472;close
4030270-2;sh85105729;close
4253993-6;sh85105729;close
4036824-5;sh85105976;close
4070814-7;sh85105992;close
4078951-2;sh85080302;close
4047150-0;sh85106500;close
4047097-0;sh85106622;close
4150781-2;sh85106751;close
4124801-6;sh85106751;close
4071628-4;sh85106996;close
4073137-6;sh85106996;close
4064324-4;sh85107090;close
4076362-6;sh85107216;close
4005937-6;sh85107250;close
4047667-4;sh85108381;close
4047689-3;sh85108411;close
4047704-6;sh85108459;close
4005298-9;sh85108611;close
4063317-2;sh85108611;close
4139691-1;sh85108638;close
4043152-6;sh85108736;close
4055776-5;sh85108846;close
4138343-6;sh85108871;close
4063004-3;sh85108871;close
4047968-7;sh85109440;close
4076527-1;sh85110266;close
4014015-5;sh85110904;close
4018382-8;sh85111945;close
4048946-2;sh85112228;close
4048590-0;sh85112367;close
4173923-1;sh85112383;close
4182884-7;sh85112383;close
4049396-9;sh85112549;close
4049396-9;sh85112599;close
4049450-0;sh85112806;close
4017894-8;sh85113021;close
4049594-2;sh85113249;close
4127747-8;sh85113295;close
4035854-9;sh85114076;close
4050164-4;sh85114211;close
4202787-1;sh85118582;close
4066562-8;sh85118553;close
4046277-8;sh85119004;close
4117346-6;sh85119819;close
4054490-4;sh85119870;close
4054498-9;sh85119950;close
4012183-5;sh85120347;close
4055260-3;sh85123314;close
