fromNotation;toNotation
CU 6050 ;614.4
CU 7000 ;158.3
CU 7000 ;361.06
CU 7000 ;371.713
CU 7500 ;155.24
CU 7500 ;158
CU 7550 ;362.22
CU 8000 - CU 8590;616.8914
CU 8010 ;616.8914
CU 8010 ;158.2
CU 8030 ;616.891
CU 8040 ;658.12
CU 8100 ;618.928914
CU 8100 ;616.89140835
CU 8150 ;615.851550846
CU 8200 ;616.89156
CU 8200 ;616.8915
CU 8300 ;616.891523
CU 8400 - CU 8590;616.8914
CU 8400 ;616.8914
CU 8500 ;616.89142
CU 8500 ;616.891425
CU 8510 ;615.8515
CU 8520 ;615.851
CU 8530 ;615.8515
CU 8540 ;615.5
CU 8550 ;615.85153
CU 8550 ;615.85155
CU 8550 ;615.85156
CU 8550 ;615.85158
CU 8580 ;615.85153
CU 8580 ;158.9
CU 8580 ;204.3
CU 8580 ;615.851
CU 8650 ;158.3
CV ;158.2
CV 2500 ;302.12
CV 3500 ;153.6
CV 3700 ;153.852
CV 4000 ;302
CV 4500 ;302.3
CV 4600 ;155.232
CV 4700 ;152.47
CV 5000 ;152.4
CV 5500 ;303.385
CV 6000 ;303.32
CV 6500 ;155.2
CV 6800 ;303.37
CV 7000 ;158.1
CV 7500 ;155.8
CV 9000 ;155.9
CW ;158
CW 1500 ;158.7
CW 2000 ;658.314
CW 2000 ;153.9
CW 3000 ;352.64
CW 3000 ;620.8
CW 3000 ;331.257
CW 3000 ;331.256
CW 4000 ;331.215
CW 4500 ;158.7
CW 4600 ;158.4
CW 4700 ;352.6
CW 4700 ;658.3
CW 4700 ;658.301
CW 4800 ;158.7
CW 5000 ;658.46
CW 5000 ;352.66
CW 5000 ;352.669
CW 5500 ;158.6
CW 5500 ;331.702
CW 5500 ;371.425
CW 5800 ;658.407125
CW 5800 ;658.3125
CW 6500 ;331.59
CW 6600 - CW 6660; 616.1-616.903 
CW 6600 ;362.1786
CW 6630 ;616.9803
CW 6660 ;615.82
CW 6730 ;305.908
CW 6760 ;204.42
CW 6820 ;155.916
CW 6820 ;362.4
CW 6840 ;305.9081
CW 6860 ;362.42
CW 6880 ;305.9084
CW 6900 ;365.42
CW 6900 ;362.61
CW 6900 ;361
CW 6900 ;365.6
CW 6900 ;364.086927
CW 6920 ;179.7
CW 6920 ;345.02522
CW 6920 ;364.1522
CW 6920 ;394.88
CW 6920 ;616.858445
CW 6940 ;201.76229
CW 6940 ;204.42
CW 6940 ;362.29
CW 6940 ;613.8
CW 7500 ;659.1019
CW 8000 ;347.066019
CW 8000 ;614.15
CW 8100 ;364
CW 8500 ;320.014
CX 1000 - CX 6000;370.15
CX 3000 ;370.1523
CX 3500 ;370.154
CX 4500 ;371.713
CX 5000 ;371.1022
CX 5500 ;371.1022
CX 6000 ;372.21
CX 7000 - CX 9500;
CX 7000;200.1
CX 7500 ;701.15
CZ 1000 ;152
CZ 1100 ;612
CZ 1200 ;300
CZ 1300 - CZ 1390 ;616.8
CZ 1370 ;616.8
CZ 1380 ;616.8
CZ 2000 ;615.78
CZ 3000 ;616.89
CZ 8000 ; 156.2-156.5
