sourcenotation;targetnotation;type
4147271-8;547.042;broad
4147277-9;547.596;broad
4147279-2;541.39;broad
4147280-9;541.39;broad
4147281-0;547.412;broad
4147282-2;615.3295654;broad
4147284-6;547.05;broad
4147285-8;547.05;broad
4147287-1;546.6812;broad
4147288-3;661.0681;broad
4147291-3;572.79;broad
4147292-5;615.71;broad
4147292-5;616.12061;related
4147294-9;547.1372;close
4147295-0;572.549;broad
4147297-4;615.329378;broad
4147298-6;549.72;broad
4147300-0;549.78;close
4147301-2;552.58;close
4147302-4;620.137;broad
4147310-3;547.038;broad
4147314-0;541.39;related
4147314-0;547.2;broad
4147321-8;546.6712;broad
4147324-3;579.3;broad
4147328-0;572.793;broad
4147329-2;541.39;related
4147329-2;547.2;broad
4147331-0;572.76;broad
4147332-2;572.76;broad
4147334-6;547.08;broad
4147335-8;579.49;broad
4147337-1;616.994075;related
4147338-3;616.994;related
4147340-1;584.84;broad
4147341-3;584.84;broad
4147342-5;299.925;broad
4147343-7;584.84174;broad
4147344-9;796.07943;broad
4147345-0;599.545;broad
4147354-1;782.28;broad
4147357-7;547.71;broad
4147358-9;612.133;related
4147359-0;617.413;broad
4147360-7;616.1207547;broad
4147364-4;149.7;broad
4147365-6;1--0207;broad
4147365-6;070.444;related
4147365-6;741.5;close
4147369-3;572.68;broad
4147369-3;637;related
4147372-3;583.771464;broad
4147372-3;634.573;close
4147373-5;515.724;broad
4147374-7;621.3824;broad
4147375-9;583.749;broad
4147376-0;593.53;broad
4147377-2;799.12;broad
4147378-4;320.5323097291;close
4147378-4;335.4347;broad
4147379-6;415.5;broad
4147381-4;005.133;broad
4147383-8;025.3;broad
4147386-3;547.633;broad
4147388-7;573.84;broad
4147389-9;572.792;broad
4147391-7;387.742;related
4147391-7;642.4;broad
4147392-9;247.1;broad
4147393-0;730;related
4147399-1;515.782;broad
4147400-4;516.36;broad
4147404-1;515.35;broad
4147405-3;475.54;broad
4147409-0;516.9;broad
4147410-7;005.133;broad
4147411-9;004.165;broad
4147412-0;004.165;broad
4147413-2;004.165;broad
4147414-4;004.165;broad
4147415-6;004.165;broad
4147416-8;004.165;broad
4147418-1;004.165;broad
4147419-3;004.165;broad
4147421-1;004.165;broad
4147422-3;621.3815324;broad
4147423-5;004.53;broad
4147424-7;004.125;broad
4147425-9;005.133;broad
4147426-0;005.133;broad
4147427-2;005.133;broad
4147429-6;005.446;broad
4147433-8;511.4;broad
4147435-1;515.243;broad
4147437-5;515.55;broad
4147440-5;514.23;broad
4147441-7;514.23;broad
4147443-0;615.32924;broad
4147444-2;615.32924;broad
4147445-4;615.32924;broad
4147447-8;726.12;broad
4147450-8;572.756;close
4147452-1;668.44;broad
4147453-3;579.37;broad
4147454-5;547.78;broad
4147454-5;572.56682;close
4147456-9;668.44;broad
4147456-9;661.802;related
4147460-0;668.44;broad
4147461-2;677.02832;broad
4147461-2;677.4;related
4147467-3;677.46;related
4147467-3;661.802;broad
4147467-3;623.4526;related
4147467-3;662.26;broad
4147469-7;668.44;broad
4147469-7;661.802;related
4147471-5;786.4193;broad
4147471-5;786.4146;close
4147472-7;551.77;broad
4147473-9;937;related
4147475-2;781.237;broad
4147476-4;937;related
4147480-6;546.412;close
4147481-8;617.695;broad
4147483-1;579.87;broad
4147484-3;579.567;broad
4147485-5;583.53;broad
4147488-0;616.83;broad
4147490-9;616.836;close
4147490-9;618.92836;broad
4147491-0;614.5981;broad
4147492-2;615.78;broad
4147494-6;539.2;broad
4147495-8;539.77;broad
4147498-3;546.412588;close
4147498-3;539.723;broad
4147500-8;539.7232;broad
4147503-3;666.042;broad
4147505-7;546.4122;close
4147506-9;617.56;broad
4147506-9;617.57;related
4147507-0;546.412588;broad
4147508-2;546.412588;broad
4147512-4;338.512;broad
4147514-8;356.150949;broad
4147516-1;615.783;broad
4147517-3;2--99;broad
4147524-0;793.33;broad
4147525-2;984.051;broad
4147525-2;989.20716;close
4147527-6;781.827;broad
4147528-8;593.6;broad
4147531-8;592.53;broad
4147533-1;614.533;broad
4147533-1;616.9363;close
4147534-3;299.51436;broad
4147536-7;281.5;broad
4147538-0;938.06;broad
4147539-2;546.72;close
4147540-9;549.4;broad
4147541-0;546.72;broad
4147550-1;572.792;broad
4147551-3;571.844;related
4147551-3;572.68;broad
4147556-2;579.6;broad
4147557-4;635.8;broad
4147560-4;530.416;broad
4147564-1;782.43;broad
4147566-5;595.772;broad
4147568-9;002;broad
4147570-7;234.16;related
4147572-0;370.114;close
4147572-0;372.0114;broad
4147574-4;515.8;broad
4147576-8;155.2;broad
4147576-8;158;related
4147578-1;616.858;broad
4147579-3;738.83;broad
4147581-1;616.858;broad
4147584-7;784.189;close
4147585-9;792.8;broad
4147586-0;660.281;broad
4147587-2;541.226;broad
4147589-6;297.83;broad
4147590-2;280.4;close
4147590-2;269;broad
4147592-6;392.5;broad
4147593-8;391.7;related
4147596-3;539.72162;broad
4147597-5;152.1;broad
4147597-5;612.8;related
4147598-7;573.88;broad
4147600-1;343.096;related
4147601-3;331.80941;broad
4147603-7;296.834;broad
4147603-7;296.67;related
4147604-9;362.11023;broad
4147605-0;070.41092;broad
4147606-2;547.59044242;broad
4147607-4;547.59044242;related
4147609-8;616.136061;broad
4147610-4;615.32335;broad
4147610-4;615.7;related
4147616-5;338.476774;related
4147617-7;668.494;broad
4147617-7;620.1923;related
4147619-0;540.711;close
4147621-9;344.0424;close
4147623-2;541.35;broad
4147623-2;660.295;close
4147624-4;543.56;broad
4147631-1;576.83;broad
4147635-9;660.283;close
4147637-2;628.161;broad
4147638-4;573.877;close
4147642-6;541.392;close
4147643-8;671.73;broad
4147649-9;616.0756;broad
4147651-7;512.482;broad
4147653-0;615.852;broad
4147655-4;572.877;broad
4147656-6;808;broad
4147660-8;720.973;broad
4147662-1;307.76;broad
4147664-5;583.99;broad
4147664-5;635.54;close
4147664-5;641.6554;related
4147665-7;573.35;related
4147666-9;342.0852;related
4147671-2;236.9;broad
4147671-2;901;related
4147678-5;583.77;broad
4147680-3;547.86;broad
4147681-5;635.3;broad
4147681-5;641.353;close
4147681-5;641.653;related
4147681-5;583.64;broad
4147684-0;615.32393;broad
4147684-0;615.7;related
4147690-6;583.952;broad
4147691-8;583.685;broad
4147693-1;599.356;broad
4147699-2;547.596;broad
4147705-4;572.549;broad
4147707-8;667.256;related
4147707-8;547.636;broad
4147713-3;547.86;broad
4147719-4;646.11;broad
4147719-4;677.6;related
4147723-6;006.246;exact
4147723-6;004.568;broad
4147726-1;519.56;broad
4147732-7;541.223;broad
4147733-9;547.08;broad
4147734-0;571.8642;related
4147736-4;787.8219;broad
4147737-6;573.774;close
4147738-8;573.774793;broad
4147740-6;561.9;broad
4147741-8;573.774;broad
4147743-1;547.7;broad
4147746-7;579.832;broad
4147747-9;597.3;broad
4147747-9;567.3;related
4147748-0;546.732;close
4147748-0;547.02;broad
4147748-0;553.95;close
4147748-0;661.0732;related
4147752-2;615.782;broad
4147762-5;547.042;related
4147763-7;615.329;broad
4147767-4;547.511;broad
4147776-5;631.89;related
4147776-5;668.6;broad
4147779-0;632.9517;related
4147779-0;668.651;broad
4147781-9;615.782;broad
4147782-0;579.833;broad
4147783-2;579.833;broad
4147786-8;547.08;broad
4147795-9;546.732588;close
4147795-9;539.723;broad
4147796-0;539.7232;broad
4147798-4;615.766;broad
4147801-0;547.02;broad
4147808-3;579.38;broad
4147809-5;579.38;broad
4147812-5;617.962;broad
4147815-0;579.83;broad
4147817-4;572.46;close
4147817-4;547.593;broad
4147818-6;547.593;broad
4147820-4;572.46;broad
4147821-6;571.6592;close
4147824-1;615.7;related
4147824-1;616.723061;broad
4147825-3;616.152;broad
4147831-9;547.512;related
4147833-2;615.7882;broad
4147834-4;615.7882;broad
4147838-1;615.761;broad
4147839-3;615.329378;broad
4147841-1;547.62;broad
4147842-3;632.954;related
4147842-3;668.654;broad
4147845-9;628.1662;broad
4147845-9;628.32;related
4147848-4;546.7322;broad
4147852-6;612.399;close
4147852-6;615.328;broad
4147853-8;616.365061;broad
4147855-1;614.514;close
4147856-3;615.73;broad
4147857-5;512.9434;broad
4147858-7;616.36;broad
4147860-5;572.57954;close
4147860-5;612.397;broad
4147860-5;616.3997;related
4147861-7;530.429;broad
4147861-7;541.04229;close
4147862-9;617.5565;broad
4147863-0;616.36507572;broad
4147866-6;573.84;broad
4147867-8;573.84;close
4147867-8;612.8042;broad
4147874-5;573.38379;broad
4147874-5;612.01577;related
4147875-7;523.51;broad
4147876-9;560.43;broad
4147877-0;616.99374;broad
4147878-2;616.77;broad
4147879-4;616.99374;related
4147881-2;780.148;broad
4147883-6;782.27;broad
4147883-6;784.189925;close
4147886-1;784.18992;close
4147886-1;786.518992;broad
4147887-3;782.27;broad
4147888-5;784.18992;broad
4147889-7;786.518992;close
4147889-7;784.18992;broad
4147890-3;618.34;broad
4147891-5;782.43;broad
4147892-7;782.22;broad
4147893-9;571.865;related
4147893-9;573.7616;close
4147894-0;571.865;broad
4147895-2;596;exact
4147896-4;616.99471;broad
4147897-6;782.51872;close
4147898-8;782.5;close
4147900-2;247.1;broad
4147901-4;726.593;broad
4147902-6;255.08;close
4147903-8;573.6374;broad
4147906-3;572.79;broad
4147907-5;782.5145;close
4147908-7;247.1;broad
4147910-5;731.54;broad
4147913-0;726.597;broad
4147914-2;726.593;broad
4147923-3;289.9;broad
4147928-2;289.5;exact
4147930-0;331.808827;close
4147931-2;331.88;broad
4147938-5;144;broad
4147939-7;320.5312;broad
4147939-7;335.7;close
4147941-5;232;broad
4147942-7;3C--351;broad
4147944-0;546.532;close
4147944-0;572.52532;broad
4147944-0;669.734;close
4147944-0;620.18934;broad
4147945-2;573.435;broad
4147946-4;546.5322;broad
4147951-8;781.26;related
4147953-1;780.148;broad
4147955-5;579.38;broad
4147956-7;546.532;broad
4147957-9;573.536;broad
4147958-0;546.6812;broad
4147959-2;546.5322;broad
4147959-2;546.72;related
4147964-6;616.973;broad
4147970-1;546.5322;broad
4147972-5;621.38804;broad
4147973-7;546.532;broad
4147974-9;546.532588;close
4147974-9;539.723;broad
4147975-0;549.526;broad
4147980-4;572.65;broad
4147981-6;615.329378;broad
4147985-3;547.860152332;broad
4147986-5;547.05532;close
4147987-7;572.87;broad
4147988-9;572.87;broad
4147989-0;572.8733;broad
4147990-7;572.87;close
4147991-9;546.5322;broad
4147992-0;546.53222;broad
4147995-6;620.17;broad
4147996-8;572.52532;close
4147996-8;612.3924;broad
4147998-1;571.9452532;broad
4148000-4;546.5322;broad
4148001-6;546.532588;broad
4148002-8;546.532588;broad
4148008-9;907.2;broad
4148009-0;413.1;broad
4148010-7;522.5;broad
4148010-7;681.118;close
4148012-0;583.99;broad
4148015-6;547.615;broad
4148016-8;745.6;broad
4148018-1;595.774;broad
4148019-3;579.86;close
4148021-1;549.67;broad
4148022-3;726.8;related
4148025-9;297.37;broad
4148026-0;573.3774;broad
4148028-4;372.19;broad
4148031-4;615.781;broad
4148033-8;791.43612;close
4148036-3;547.595;broad
4148039-9;005.133;broad
4148041-7;415;broad
4148043-0;571.82;broad
4148044-2;616.994061;broad
4148045-4;787.85;broad
4148046-6;541.223;broad
4148054-5;572.79;broad
4148055-7;579.34;broad
4148058-2;572.475;close
4148059-4;634.304;broad
4148061-2;937;related
4148067-3;612.35;related
4148068-5;617.695;broad
4148069-7;332.12;broad
4148069-7;332.15;related
4148070-3;415;broad
4148075-2;615.784;broad
4148076-4;615.778;broad
4148077-6;615.739;broad
4148077-6;616.3997061;related
4148078-8;738.42;close
4148080-6;750;related
4148081-8;615.7882;broad
4148081-8;616.853061;related
4148083-1;615.71;broad
4148084-3;615.7882;broad
4148085-5;579.364;close
4148085-5;616.931;related
4148086-7;579.364;broad
4148087-9;579.364;broad
4148088-0;579.364;broad
4148089-2;579.364;broad
4148089-2;616.9315;related
4148090-9;579.364;broad
4148091-0;579.364;broad
4148092-2;636.0896969061;broad
4148093-4;615.3295654;broad
4148094-6;155.41393;broad
4148099-5;271.14;broad
4148100-8;595.772;broad
4148102-1;595.772;broad
4148104-5;781.252;related
4148107-0;539.74;broad
4148109-4;593.95;broad
4148111-2;621.38152;broad
4148114-8;158.3;related
4148114-8;658.46;close
4148114-8;1--0684;broad
4148119-7;546.71524;broad
4148135-5;539.723;broad
4148136-7;546.623588;close
4148136-7;539.723;broad
4148138-0;539.7232;broad
4148141-0;669.733;close
4148141-0;620.18933;broad
4148144-6;547.05623;close
4148159-8;546.6232;close
4148160-4;546.623588;broad
4148161-6;546.623588;broad
4148162-8;546.623588;broad
4148164-1;546.623588;broad
4148167-7;796.3522;broad
4148168-9;572.792;broad
4148170-7;005.453;broad
4148171-9;514.72;broad
4148175-6;394.14;broad
4148175-6;615.785;related
4148176-8;571.978;broad
4148178-1;583.79;broad
4148181-1;579.56;broad
4148184-7;005.13;related
4148184-7;005.754;broad
4148185-9;362.293;broad
4148186-0;002;broad
4148198-7;340.54;broad
4148200-1;621.381537;broad
4148201-3;572.7;close
4148201-3;612.0151;broad
4148202-5;572.7;broad
4148203-7;572.7;broad
4148204-9;576.87;exact
4148205-0;121.5;related
4148205-0;194;broad
4148208-6;615.32435;broad
4148210-4;616.1075;broad
4148211-6;615.739;broad
4148211-6;616.3997061;related
4148214-1;579.26;broad
4148215-3;579.26;broad
4148217-7;378.1542;close
4148218-9;796.043;close
4148220-7;612.8264;broad
4148221-9;612.8264;broad
4148223-2;573.379;broad
4148224-4;617.554;broad
4148225-6;614.59994347;close
4148226-8;614.59994347;broad
4148232-3;651.58;related
4148232-3;686.43;broad
4148233-5;616.849;broad
4148234-7;681.6;broad
4148237-2;571.9645;broad
4148239-6;782.292;broad
4148243-8;414.8;broad
4148248-7;005.453;close
4148251-7;539.7232;broad
4148252-9;539.756;broad
4148256-6;338.47004;close
4148256-6;381.45004;broad
4148257-8;004;broad
4148259-1;1--0113;close
4148262-1;005.133;broad
4148265-7;784.24;broad
4148266-9;387.73340423;related
4148266-9;387.73349;broad
4148266-9;629.133340423;related
4148266-9;629.133349;broad
4148267-0;475.54;broad
4148269-4;340.54;broad
4148270-0;345.04;related
4148271-2;782;related
4148279-7;621.392;broad
4148280-3;415;broad
4148283-9;937;related
4148288-8;425.54;broad
4148290-6;387.153;broad
4148290-6;387.164;related
4148299-2;782.86;close
4148300-5;793.34;broad
4148303-0;781.655;broad
4148309-1;549.64;broad
4148316-9;492.711;broad
4148319-4;340.54;broad
4148320-0;340.54;broad
4148321-2;340.54;broad
4148324-8;709.04084;broad
4148329-7;573.459374;broad
4148330-3;572.68;broad
4148330-3;612.63;related
4148331-5;615.364;broad
4148332-7;573.464;broad
4148333-9;579.373;close
4148337-6;615.72;broad
4148349-2;543.4;broad
4148350-9;320.83;broad
4148351-0;347.42021;close
4148352-2;027.5;broad
4148354-6;741.652;broad
4148357-1;634.117;broad
4148358-3;617.581;broad
4148360-1;2--99;broad
4148362-5;620.1126;broad
4148364-9;435.54;related
4148364-9;264.36;broad
4148366-2;615.19;broad
4148370-4;579.42;broad
4148375-3;584.38;broad
4148376-5;615.72;broad
4148376-5;616.97061;related
4148381-9;572.869;broad
4148382-0;579.55;broad
4148385-6;547.5;broad
4148395-9;615.321;related
4148397-2;547.86;broad
4148404-6;546.442;close
4148405-8;539.723;broad
4148407-1;539.723;broad
4148409-5;375.00072;close
4148410-1;375.001;close
4148411-3;375.006;close
4148416-2;937;related
4148418-6;616.45;broad
4148424-1;547.044;broad
4148431-9;547.616;broad
4148442-3;572.5672;related
4148443-5;541.39;related
4148443-5;547.2;broad
4148452-6;541.39;broad
4148453-8;549.526;broad
4148456-3;547.593;broad
4148460-5;587.3;broad
4148473-3;572.8533;broad
4148483-6;541.39;broad
4148484-8;547.511;close
4148484-8;661.815;broad
4148488-5;547.512;close
4148488-5;661.815;broad
4148489-7;547.513;close
4148490-3;547.5;related
4148491-5;547.593;broad
4148501-4;547.511;broad
4148512-9;547.512;broad
4148519-1;541.39;related
4148519-1;547.2;broad
4148524-5;547.512;broad
4148525-7;547.512;broad
4148526-9;547.512;broad
4148527-0;547.78;broad
4148528-2;547.78;broad
4148532-4;547.595;broad
4148541-5;547.54;broad
4148544-0;547.511;broad
4148553-1;547.512;broad
4148554-3;547.512;broad
4148557-9;547.593;broad
4148560-9;547.593;broad
4148561-0;547.593;broad
4148565-8;547.513;broad
4148572-5;547.513;broad
4148573-7;547.513;broad
4148584-1;541.39;related
4148584-1;547.2;broad
4148589-0;547.594;related
4148590-7;547.594;related
4148612-2;572.6533;broad
4148613-4;547.604425;close
4148615-8;616.994061;broad
4148617-1;616.994061;broad
4148620-1;595.34;broad
4148621-3;618.172061;related
4148622-5;547.511;broad
4148625-0;547.511;broad
4148630-4;547.512;broad
4148632-8;547.512;related
4148635-3;547.512;related
4148641-9;541.39;broad
4148659-6;595.34;broad
4148660-2;615.329378;broad
4148669-9;547.5;broad
4148673-0;547.7;broad
4148673-0;547.5;related
4148677-8;2--99;broad
4148679-1;2--99;broad
4148680-8;2--99;broad
4148682-1;2--99;broad
4148683-3;615.32393;broad
4148683-3;616.1061;related
4148685-7;615.766;broad
4148685-7;616.8583061;related
4148686-9;615.766;broad
4148686-9;616.8583061;related
4148687-0;572.65;broad
4148687-0;615.7;related
4148693-6;617.462;broad
4148701-1;572.69;broad
4148702-3;572.69;broad
4148703-5;572.69;broad
4148704-7;572.69;broad
4148705-9;572.69;related
4148705-9;572.791;broad
4148707-2;572.791;broad
4148708-4;572.791;broad
4148709-6;571.742;broad
4148710-2;571.6028;broad
4148711-4;616.91061;broad
4148713-8;616.994061;close
4148716-3;571.936;related
4148716-3;571.95;broad
4148716-3;611.01815;related
4148716-3;615.9;broad
4148719-9;616.994061;broad
4148720-5;759.33634;broad
4148721-7;635.9671;broad
4148721-7;721.5;related
4148722-9;721.5;broad
4148722-9;690.15;related
4148723-0;690.15;broad
4148724-2;721.5;close
4148724-2;690.15;broad
4148725-4;721.5;broad
4148726-6;599.7672;close
4148727-8;599.767;close
4148729-1;694.2;broad
4148730-8;338.7629222;broad
4148730-8;629.28722;related
4148733-3;808.1;broad
4148735-7;617.962;broad
4148736-9;525.7;close
4148736-9;551.566;broad
4148737-0;551.566;broad
4148737-0;525.7;related
4148738-2;573.88;broad
4148739-4;202.16;broad
4148739-4;235.4;related
4148740-0;133.42;close
4148740-0;202.16;broad
4148741-2;641.73;close
4148742-4;621.3822;related
4148753-9;943.084;broad
4148754-0;937.07;broad
4148755-2;363.258;broad
4148757-6;620.17;broad
4148758-8;551.442096;broad
4148760-6;595.789;broad
4148761-8;646.724092;broad
4148764-3;391.2;broad
4148765-5;794.2;close
4148766-7;340.54;broad
4148769-2;613.41;broad
4148775-8;621.18;close
4148777-1;541.361;broad
4148779-5;697.507;related
4148779-5;621.183;broad
4148783-7;697.3;broad
4148784-9;786.519;broad
4148785-0;688.728;broad
4148792-8;615.732;broad
4148792-8;616.3428061;related
4148796-5;004.357;broad
4148801-5;616.544;broad
4148803-9;573.37;broad
4148803-9;616.34;related
4148804-0;617.554;broad
4148805-2;573.37;broad
4148805-2;579.34;related
4148805-2;612.33;broad
4148806-4;616.35;broad
4148808-8;616.342;broad
4148810-6;616.34;broad
4148811-8;616.891523;related
4148813-1;616.891523;broad
4148816-7;515.7223;exact
4148823-4;111.85;broad
4148825-8;202.11;close
4148828-3;236;broad
4148834-9;3C--15;close
4148835-0;701.17;broad
4148836-2;3C--162;close
4148847-7;111;broad
4148849-0;700.455;related
4148856-8;700.47;related
4148856-8;3C--15;broad
4148859-3;111;related
4148859-3;150.192;broad
4148861-1;150.192;broad
4148864-7;005.74;close
4148865-9;005.72;close
4148866-0;025.04;broad
4148866-0;338.76102504;close
4148867-2;004.76;close
4148868-4;004.7;broad
4148869-6;004.75;close
4148870-2;005.12028;broad
4148871-4;005.72;broad
4148872-6;621.382;broad
4148875-1;1--021;close
4148877-5;342.0858;close
4148877-5;343.0999;related
4148884-2;004.7;broad
4148885-4;621.39;close
4148886-6;658.4038;related
4148897-0;004.66;broad
4148898-2;004.66;broad
4148899-4;004.66;broad
4148902-0;584.5;broad
4148902-0;634.62;close
4148903-2;344.012;broad
4148904-4;796.54;broad
4148905-6;345.02;broad
4148906-8;346.018;broad
4148909-3;155.9115;related
4148909-3;363.74;broad
4148909-3;617.8;related
4148911-1;621.3133;broad
4148913-5;621.46;broad
4148915-9;620.11297;broad
4148917-2;340;related
4148919-6;620.1126;close
4148921-4;621.38485;broad
4148922-6;346.0433;broad
4148923-8;617.575044;broad
4148925-1;615.329;broad
4148926-3;599.65;broad
4148930-5;005.7585;broad
4148933-0;363.1792;related
4148933-0;363.738498;broad
4148952-4;808.53;close
4148952-4;3A--5;broad
4148953-6;616.8588;broad
4148954-8;004.24;broad
4148954-8;005.14;close
4148954-8;621.392;broad
4148957-3;548.83;broad
4148964-0;572.792;broad
4148966-4;621.4025;broad
4148967-6;150.1952;broad
4148967-6;153.123;related
4148970-6;639.1;broad
4148971-8;346.02;broad
4148973-1;347.077;broad
4148974-3;346.02;broad
4148975-5;346.02;broad
4148976-7;005.72;related
4148978-0;720.942;broad
4148983-4;537.622;broad
4148985-8;623.4;broad
4148987-1;615.32937;broad
4148988-3;4--0143;broad
4148989-5;4--0143;broad
4148990-1;551.372;broad
4148992-5;306.70835;broad
4148992-5;392.6;related
4148992-5;612.62;broad
4148994-9;624.17;broad
4148995-0;620.1125;broad
4148995-0;532.0535;close
4148996-2;539.75;broad
4148999-8;355.8241;broad
4149000-9;796.86;broad
4149001-0;657.73;broad
4149003-4;620.1123;broad
4149004-6;417.7;broad
4149005-8;621.8672;broad
4149008-3;547.23;broad
4149012-5;572.5795;broad
4149014-9;572.791;broad
4149017-4;334.682742;broad
4149018-6;346.046917;broad
4149019-8;338.09;broad
4149020-4;211.5;close
4149021-6;572.791;broad
4149022-8;737.4;broad
4149026-5;660.2842;broad
4149027-7;938.05;broad
4149028-9;808.54;close
4149030-7;4--592;broad
4149031-9;616.98022;related
4149032-0;149.97;broad
4149033-2;745.594;broad
4149034-4;262.91;broad
4149036-8;616.545;close
4149039-3;621.3815364;broad
4149042-3;345.04;broad
4149043-5;616.861;broad
4149044-7;516.204;broad
4149046-0;797.21;broad
4149047-2;292.38;broad
4149048-4;2--146;broad
4149048-4;551.456;close
4149048-4;910.9146;broad
4149049-6;2--99;broad
4149053-8;543.62;broad
4149055-1;627.54909492;close
4149057-5;213;broad
4149058-7;621.381536;close
4149059-9;577.88;broad
4149060-5;304.6092;broad
4149062-9;321.8;broad
4149063-0;370.115;broad
4149064-2;690;related
4149065-4;670.42;broad
4149067-8;572.33;broad
4149070-8;660.284298;broad
4149072-1;529;broad
4149072-1;634.9;related
4149072-1;930.10285;broad
4149073-3;593.99;broad
4149074-5;582.16;close
4149075-7;614.58852;broad
4149075-7;616.91852;close
4149076-9;153.42;broad
4149076-9;128.3;related
4149079-4;153.42;broad
4149081-2;153.42;broad
4149089-7;737.4;broad
4149091-5;616.8;broad
4149092-7;153.42;broad
4149092-7;371.30281;related
4149093-9;808.1;broad
4149095-2;415.92;broad
4149096-4;4--0143;broad
4149097-6;616.07572;broad
4149098-8;414.8;broad
4149100-2;617.695;broad
4149102-6;345.0256;related
4149102-6;364.156;broad
4149103-8;177.3;broad
4149107-5;738.3820938;broad
4149111-7;332.1752;close
4149111-7;346.0821752;broad
4149112-9;332.1752;broad
4149116-6;1--0874;broad
4149116-6;616.85270092;close
4149117-8;362.25;broad
4149127-0;704.947;broad
4149158-0;616.398;broad
4149159-2;153.42;broad
4149160-9;512.42;broad
4149162-2;616.5;broad
4149163-4;297.48;broad
4149164-6;297.48;exact
4149168-3;541.39;broad
4149169-5;516.154;broad
4149171-3;573.655;broad
4149173-7;745.4092;close
4149173-7;741.6092;related
4149174-9;121;related
4149175-0;547.2;broad
4149176-2;614.48;broad
4149178-6;322;related
4149179-8;516.6;close
4149180-4;511.322;broad
4149181-6;370.1;broad
4149182-8;414.8;broad
4149184-1;150.198;broad
4149185-3;4--018;broad
4149187-7;615.783;broad
4149188-9;616.33075;related
4149191-9;615.329;broad
4149195-6;572.567;broad
4149198-1;572.786;close
4149198-1;572.86;related
4149204-3;547.78;broad
4149206-7;321.9;broad
4149207-9;641.2226;broad
4149210-9;150.1952;broad
4149210-9;152.47;related
4149210-9;153.8;broad
4149211-0;547.27;broad
4149213-4;621.38418;broad
4149214-6;668.14;close
4149215-8;155.234;broad
4149217-1;4--0143;broad
4149218-3;123;close
4149219-5;519.7;broad
4149220-1;519.23;broad
4149224-9;212.6;broad
4149226-2;546.212;close
4149227-4;535.2;broad
4149228-6;546.22;broad
4149229-8;535.2;broad
4149231-6;539.73;broad
4149232-8;539.7232;broad
4149274-2;943.076;broad
4149275-4;621.3815422;broad
4149276-6;371.82931;broad
4149284-5;636.43;broad
4149291-2;615.1143;broad
4149294-8;595.62;broad
4149296-1;830.79;broad
4149302-3;363.69079;broad
4149303-5;943;related
4149306-0;636.752;broad
4149307-2;571.659;exact
4149309-6;798.24;broad
4149310-2;929.8143;broad
4149311-4;929.8143;broad
4149316-3;796.07943;broad
4149317-5;551.766;broad
4149318-7;797.2307943;broad
4149321-7;584.9;broad
4149321-7;635.9642;related
4149321-7;633.2;broad
4149323-0;282.43;broad
4149324-2;430.71;broad
4149327-8;005.18;broad
4149340-0;512.62;broad
4149360-6;938;related
4149365-5;616.936;broad
4149368-0;671.73;broad
4149373-4;688.8;broad
4149406-4;155.284;close
4149407-6;491.1;broad
4149410-6;415.92;broad
4149416-7;332.45;close
4149417-9;332.45;broad
4149424-6;615.364;broad
4149424-6;615.7;related
4149425-8;572.756;broad
4149427-1;547.78;broad
4149428-3;372.218091734;close
4149429-5;513.55;exact
4149430-1;142.78;related
4149430-1;340.11;broad
4149433-7;328.3347;broad
4149435-0;011.37;broad
4149437-4;616.47;broad
4149439-8;621.3815287;broad
4149453-2;547.5;related
4149455-6;331.28132833;broad
4149456-8;660.284245;broad
4149458-1;620.004;related
4149462-3;371.262;broad
4149467-2;253;broad
4149468-4;234.164;broad
4149469-6;411;broad
4149470-2;370.1;close
4149482-9;547.065;broad
4149484-2;160;broad
4149486-6;616.614;related
4149486-6;616.716;broad
4149487-8;538.42;exact
4149489-1;739.27;broad
4149490-8;615.7;related
4149493-3;547.042;broad
4149497-0;547.037;broad
4149499-4;615.7;related
4149499-4;616.9362061;broad
4149514-7;547.5;broad
4149515-9;541.223;broad
4149530-5;615.7882;broad
4149535-4;547.593;broad
4149540-8;547.593;broad
4149554-8;541.39;related
4149554-8;547.2;broad
4149556-1;541.39;related
4149556-1;547.2;broad
4149557-3;547.04;broad
4149564-0;547.616;broad
4149583-4;594.5;broad
4149596-2;547.616;broad
4149598-6;547.62;broad
4149602-4;668.4237;close
4149624-3;530.12;broad
4149626-7;530.44;broad
4149629-2;691.99;broad
4149629-2;624.1899;related
4149629-2;668.38;broad
4149630-9;583.72;broad
4149631-0;616.993347;broad
4149632-2;617.5547;close
4149633-4;616.3447;close
4149634-6;930.10283;related
4149637-1;599.6497;exact
4149639-5;634.9;broad
4149640-1;688.8;broad
4149641-3;621.2;related
4149643-7;615.3295654;broad
4149651-6;371.102;broad
4149652-8;371.3;broad
4149654-1;371.3;broad
4149655-3;371.3;broad
4149656-5;371.3;broad
4149711-9;345.0262;broad
4149712-0;700.482945;related
4149713-2;368.82;close
4149714-4;512.2;broad
4149716-8;537.24;close
4149719-3;537.24;broad
4149723-5;621.381332;related
4149724-7;621.3813;broad
4149726-0;543.4;broad
4149728-4;547.412;broad
4149729-6;305.964;broad
4149732-6;342.068;related
4149735-1;346.0435;close
4149735-1;341.4;broad
4149736-3;346.048;broad
4149737-5;342.068;broad
4149738-7;342.0684;related
4149739-9;342.068;related
4149740-5;342.0686;related
4149741-7;342.0684;related
