sourcenotation;targetnotation;type
2011462-X;2--4341665;broad
2012256-1;2--4341665;broad
2012718-2;2--434717;broad
2012748-0;2--43332;broad
2012787-X;2--431849;broad
2012935-X;2--4346242;broad
2012942-7;2--4347382;broad
2012960-9;2--435954;broad
2013135-5;2--434714;broad
2013169-0;2--4341668;broad
2013228-1;2--4355167;broad
2013259-1;2--4347182;broad
2013300-5;2--4356384;broad
2013313-3;2--434147;broad
2013378-9;2--434125;broad
2015372-7;2--435959;broad
2015380-6;2--434713;broad
2015813-0;2--435513;broad
2016627-8;2--4346418;broad
2016900-0;2--4341668;broad
2017909-1;2--434717;broad
2018324-0;2--435613;broad
2018651-4;2--4346456;broad
2018737-3;2--4343535;close
2018790-7;2--4347187;broad
2019098-0;2--434128;broad
2019336-1;2--4341665;broad
2019353-1;2--434713;broad
2019380-4;2--434125;broad
2019406-7;2--434714;broad
2019516-3;2--4347382;broad
2019757-3;2--4347325;broad
2019767-6;2--4346245;broad
2019869-3;2--435931;broad
2019977-6;2--431823;broad
2020169-2;2--434165;broad
2020175-8;2--434716;broad
2020257-X;2--434717;broad
2020286-6;2--4341698;broad
2020322-6;2--434168;broad
2020348-2;2--4341662;broad
2020439-5;2--4355337;broad
2020500-4;2--4346268;broad
2020536-3;2--434717;broad
2020600-8;2--4355398;broad
2020614-8;2--4341665;broad
2020675-6;2--433638;broad
2020857-1;2--434714;broad
2021099-1;2--43421;close
2021157-0;2--4346264;broad
2021215-X;2--4351224;broad
2021239-2;2--435656;broad
2021327-X;2--434717;broad
2021995-7;2--434713;broad
2022033-9;2--4341612;broad
2022193-9;2--4341665;broad
2022856-9;2--434147;broad
2022920-3;2--4341665;broad
2022936-7;2--435954;broad
2022999-9;2--43424;broad
2023054-0;2--4347325;broad
2023610-4;2--434168;broad
2023963-4;2--4347382;broad
2024611-0;2--43826;broad
2024622-5;2--434712;broad
2024990-1;2--4346438;broad
2025022-8;2--434714;broad
2025638-3;2--434145;broad
2025984-0;2--435634;broad
2026120-2;2--4356384;broad
2026146-9;2--4341665;broad
2026224-3;2--4341618;broad
2026236-X;2--435536;broad
2026298-X;2--434147;broad
2026463-X;2--4341665;broad
2026578-5;2--433595;broad
2026985-7;2--4341618;broad
2027317-4;2--4346438;broad
2027363-0;2--435637;broad
2027397-6;2--43332;broad
2027444-0;2--4347193;broad
2027484-1;2--43425;broad
2027512-2;2--4347352;broad
2027517-1;2--435958;broad
2027666-7;2--435935;broad
2027766-0;2--4347355;broad
2027893-7;2--4346252;broad
2027901-2;2--435631;broad
2027926-7;2--435958;broad
2027928-0;2--434127;broad
2027944-9;2--4346228;broad
2027983-8;2--435958;broad
2028057-9;2--434713;broad
2028278-3;2--4347328;broad
2028289-8;2--434145;broad
2028356-8;2--4346418;broad
2028399-4;2--4346228;broad
2028418-4;2--4346438;broad
2028422-6;2--434716;broad
2028545-0;2--434147;broad
2028550-4;2--4347388;broad
2028589-9;2--4347328;broad
2028591-7;2--4346262;broad
2028626-0;2--435634;broad
2028777-X;2--4355392;broad
2028967-4;2--434713;broad
2028991-1;2--434147;broad
2029053-6;2--4347325;broad
2029056-1;2--4341662;broad
2029076-7;2--4346456;broad
2029112-7;2--4341665;broad
2029122-X;2--4346222;broad
2029349-5;2--434714;broad
2029384-7;2--4347185;broad
2029436-0;2--434325;broad
2029484-0;2--4347193;broad
2029645-9;2--4347187;broad
2029650-2;2--4355;broad
2029747-6;2--43373;broad
2029755-5;2--43373;broad
2030112-1;2--4347385;broad
2030602-7;2--434612;broad
2031488-7;2--435937;broad
2031812-1;2--4355337;broad
2032269-0;2--434713;broad
2032610-5;2--4346412;broad
2032688-9;2--4341665;broad
2032748-1;2--4346228;broad
2032777-8;2--4346222;broad
2032888-6;2--4346456;broad
2033017-0;2--434316;broad
2033312-2;2--4359793;broad
2033345-6;2--4355122;broad
2033490-4;2--43826;broad
2033787-5;2--435519;broad
2033898-3;943.081;broad
2034331-0;2--4346438;broad
2034370-X;2--4341612;broad
2034607-4;2--435612;broad
2034800-9;2--4355337;broad
2034805-8;2--4359176;broad
2035525-7;2--4341612;broad
2035541-5;2--4341612;broad
2036195-6;2--4347183;broad
2036203-1;2--4347183;broad
2036719-3;2--4337;exact
2036720-X;2--435654;broad
2037251-6;2--435519;broad
2037417-3;2--434713;broad
2037425-2;2--434713;broad
2037566-9;2--4346412;broad
2037969-9;2--434713;broad
2038351-4;2--4347385;broad
2038360-5;2--434713;broad
2038366-6;2--4347385;broad
2038544-4;2--4346412;broad
2038546-8;2--434319;broad
2038830-5;2--43816;broad
2039103-1;2--4347388;broad
2039104-3;2--4347388;broad
2039145-6;2--4346456;broad
2039164-X;2--434143;broad
2039248-5;2--4347382;broad
2039646-6;2--4341662;broad
2039651-X;2--4341662;broad
2040007-X;2--434127;broad
2040505-4;2--434164;broad
2040832-8;2--435611;broad
2041277-0;2--434147;broad
2041310-5;2--4341665;broad
2042000-6;2--434168;broad
2042015-8;2--434168;broad
2042023-7;2--434168;broad
2043565-4;2--434713;broad
2044566-0;2--435532;broad
2044568-4;2--435532;broad
2044878-8;2--4346434;broad
2045770-4;2--434145;broad
2045778-9;2--434147;broad
2045883-6;2--4346245;broad
2045959-2;2--4355122;broad
2045960-9;2--435977;broad
500156-0;2--433591;broad
501527-3;2--43734;broad
514834-0;2--4341665;broad
516382-1;2--434145;broad
2046424-1;2--435653;broad
2048440-9;2--4341668;broad
2049523-7;2--435615;broad
2049671-0;2--431823;broad
2049687-4;2--4356384;broad
2050726-4;2--4355337;broad
2050729-X;2--43373;broad
2051402-5;2--4347328;broad
2052968-5;2--4343585;broad
2053125-4;2--4343588;broad
2053311-1;2--435636;broad
2054459-5;2--4346432;broad
2055251-8;2--435615;broad
2055606-8;2--434314;broad
2055722-X;2--4346242;broad
2056243-3;2--43462;exact
2057643-2;2--4346268;broad
2058228-6;2--4356388;broad
2058244-4;2--435613;broad
2058536-6;2--4355167;broad
2060243-1;2--4346268;broad
2061852-9;2--43427;broad
2063517-5;2--4346412;broad
2065037-1;2--43348;broad
2065328-1;2--435126;broad
2066148-4;2--432148;broad
2067995-6;2--434141;broad
2068898-2;2--432147;broad
2069165-8;2--435614;broad
2070840-3;2--4341698;broad
2075409-7;2--4359132;broad
2077438-2;2--4343585;broad
2077468-0;2--4355398;broad
2077564-7;2--4355398;broad
2077572-6;2--4355398;broad
2078035-7;2--435971;broad
2078078-3;2--435971;broad
2081281-4;2--4346248;broad
2081508-6;2--432141;broad
