fromNotation;x;y;z;toNotation
WG 1700 - WG 1940;100;1;100;572.8
WG 1700;100;2;50;572.8
WG 1750 - WG 1790;100;1;100;572.86
WG 1750;100;2;50;572.86
WG 1770;100;1;100;572.86293
WG 1790;100;2;50;572.86
WG 1800 - WG 1840;100;2;50;572.865
WG 1800;100;2;50;572.865
WG 1820;100;2;50;572.865293
WG 1840;100;2;50;572.865
WG 1850 - WG 1890;100;2;50;572.645
WG 1850;100;2;50;572.645
WG 1870;100;2;50;572.645293
WG 1890;100;2;50;572.645
WG 1900 - WG 1940;100;2;50;572.865
WG 1900;100;2;50;572.865
WG 1920;100;2;50;572.865293
WG 1940;100;2;50;572.865
WG 2000;100;2;50;572.8
WG 2100;100;2;50;571.84
WG 2100;50;3;100;571.844
WG 2100;25;4;25;571.845
WG 2300;100;1;100;572.869
WG 2350;100;2;25;572.869
WG 2500;100;2;50;572.877
WG 2600 - WG 2800;100;1;100;576.544
WG 2600 - WG 2800;50;4;50;631.523
WG 2700;;;;
WG 2710;;;;
WG 2730;;;;
WG 2750;;;;
WG 2790;;;;
WG 2800;;;;
WG 2850;;;;
WG 2900;100;1;100;572.877
WG 2920;100;2;50;572.869
WG 3000 - WG 3380;100;1;100;576.549
WG 3000;100;2;50;576.549
WG 3200;100;2;50;572.838
WG 3210;100;2;25;572.838
WG 3220;100;2;25;572.8382
WG 3225;100;2;25;572.8381
WG 3230;100;2;50;576.542
WG 3250;100;2;50;576.542
WG 3260;;;;
WG 3270;100;1;100;572.86459
WG 3290;100;2;25;571.6
WG 3292;100;2;25;571.62
WG 3295;100;2;25;571.61
WG 3300;100;2;50;572.877
WG 3320;100;2;25;572.877
WG 3340;100;2;25;572.87
WG 3360;100;2;25;572.877
WG 3400;100;2;25;572.86
WG 3440;50;4;50;571.948
WG 3450;100;1;100;660.65
WG 3500 - WG 3900;100;2;50;571.8
WG 3500;100;2;50;571.8
WG 3540;100;2;25;572.87
WG 3560;100;1;100;571.89
WG 3580;50;4;50;571.8429
WG 3600;100;2;50;576.58
WG 3700;50;4;25;571.8
WG 3900;100;1;100;576.542
WG 4000 - WG 6975;;;;
WG 4000;100;1;100;581.35
WG 4050;100;1;100;579.135
WG 4100;100;2;50;579.3135
WG 4130;100;1;100;579.39135
WG 4150;;;;
WG 4180;100;1;100;579.52135
WG 4200;100;1;100;579.8135
WG 4380;100;1;100;579.5135
WG 4400;100;1;100;579.7135
WG 4420;100;1;100;588.135
WG 4440;100;2;50;581.35
WG 4450;100;1;100;587.135
WG 4460;100;2;50;581.35
WG 4470;100;1;100;585.135
WG 4490;100;2;50;581.35
WG 4500;100;1;100;583.135
WG 5030;100;1;100;584.135
WG 5200;100;1;100;591.35
WG 5300;100;1;100;592.135
WG 5320;100;1;100;579.4135
WG 5380;100;1;100;593.4135
WG 5390;100;2;50;592.135
WG 5400;100;1;100;592.3135
WG 5600;50;3;100;592.6135
WG 5600;50;3;100;595.135
WG 5650;100;1;100;595.3135
WG 5800;100;1;100;595.7135
WG 5850;100;1;100;595.76135
WG 5900;100;1;100;595.77135
WG 6000;100;1;100;595.78135
WG 6100;100;1;100;595.79135
WG 6300;100;2;50;594.135
WG 6350;100;1;100;594.3135
WG 6400;100;1;100;594.4135
WG 6600;100;1;100;593.9135
WG 6700;100;1;100;596.135
WG 6710;100;2;50;596.135
WG 6730;100;1;100;597.135
WG 6780;100;1;100;597.8135
WG 6800;100;1;100;597.9135
WG 6850;100;1;100;598.135
WG 6900;100;1;100;599.135
WG 6905;100;1;100;599.8135
WG 6908;100;2;25;599.935
WG 6920;100;1;100;599.7135
WG 6925;100;1;100;599.77135
WG 6930;100;1;100;599.75135
WG 6940;100;1;100;599.63135
WG 6945;100;2;50;599.63135
WG 6960;100;1;100;599.66135
WG 6970;100;1;100;599.32135
WG 6975;100;1;100;599.35135
WG 6990;50;4;50;155.444
WG 6990;50;4;50;306.875
WG 7000 - WG 7400;100;1;100;599.935
WG 7000;100;2;50;599.935
WG 7200;100;2;50;611.01816
WG 7300;50;4;50;363.92
WG 7300;50;4;50;613.94
WG 7300;50;4;50;616.042
WG 7400;100;2;50;615.895
WG 8000 - WG 8739;100;1;100;576.58
WG 8000;100;2;50;576.58
WG 8100 - WG 8199;100;2;25;576.58
WG 8200;100;1;100;576.580151
WG 8350;100;2;50;577.88
WG 8400;100;1;100;576.582
WG 8500;100;1;100;576.581
WG 9000 - WG 9600;;;;
WG 9000;;;;
WG 9100;100;2;25;572.86
WG 9300;100;2;50;631.523
WG 9300;100;1;100;631.5233
WG 9500;100;2;50;636.082
WG 9500;100;1;100;636.0821
WG 9600;100;2;50;636
WG 9600;100;2;50;639
WH;100;1;100;576.8
WH 1000 - WH 1099;100;2;50;576.8
WH 1000 - WH 1099;50;3;100;576.803
WH 1100 - WH 1199;100;2;25;576.8
WH 1200;100;2;25;576.8
WH 1400;100;2;50;576.8209033
WH 1500;100;1;100;576.827
WH 2000;100;1;100;576.82
WH 2100;100;1;100;576.8201
WH 2200 - WH 2400;50;4;50;231.7652
WH 2200 - WH 2400;50;4;50;296.34
WH 2200 - WH 2400;50;4;50;297.242
WH 2200;25;4;25;576.809034
WH 2300;25;4;25;576.80904
WH 2400;25;4;25;576.80905
WH 2500;100;1;100;576.80151
WH 2600;100;1;100;576.83
WH 2700;100;1;100;579.2138
WH 2800;50;3;100;576.839
WH 3000 - WH 3739;100;1;100;576.85
WH 3000 - WH 3739;50;4;50;578.4
WH 3000;50;3;100;576.86
WH 3050;;;;
WH 3100;25;4;25;578.4
WH 3200;;;;
WH 3300;;;;
WH 3400;100;1;100;576.87
WH 3500;;;;
WH 3600;100;2;25;578.47
WH 3700 - WH 3739;100;1;100;578.47
WH 3700;100;1;100;578.47
WH 3701 - WH 3704;;;;
WH 3702;100;1;100;581.47
WH 3703;100;1;100;591.47
WH 4000;100;2;50;576.8
WH 4200 - WH 5600;;;;
WH 4200;50;4;50;571.3015768
WH 4200;50;4;50;571.87015768
WH 4250;;;;
WH 4300;;;;
WH 4400;50;4;50;571.015768
WH 4500;50;4;50;576.58
WH 4700;50;4;25;576.86
WH 4700;50;2;100;576.8609142
WH 5000;100;2;50;591.5
WH 5020;100;2;25;591.5
WH 5020;50;4;50;591.46
WH 5600;100;1;100;576.84
WH 5800;100;2;25;576.8
WH 6000 - WH 8975;100;1;100;576.88
WH 6000;100;1;100;576.88
WH 6050;100;2;50;581.38
WH 6070;;;;
WH 6100 - WH 7030;;;;
WH 6100;100;2;50;579.3138
WH 6130;100;2;50;579.39138
WH 6180;100;2;50;579.52138
WH 6200;100;2;50;579.8138
WH 6380;100;2;50;579.5138
WH 6400;100;2;50;579.7138
WH 6420;100;2;50;588.138
WH 6440;100;2;50;581.38
WH 6450;100;2;50;587.138
WH 6460;100;2;50;581.38
WH 6470;100;2;50;585.138
WH 6490;100;2;50;581.38
WH 6500;100;2;50;583.138
WH 7030;100;2;50;584.138
WH 7200;100;2;50;591.38
WH 7300 - WH 8975;;;;
WH 7300;100;2;50;592.138
WH 7320;100;2;50;579.4138
WH 7380;100;2;50;593.4138
WH 7390;100;2;25;592.138
WH 7400;100;2;50;592.3138
WH 7600;50;4;25;592.6138
WH 7600;50;4;25;595.138
WH 7650;100;2;50;595.3138
WH 7800;100;2;50;595.7138
WH 8300;100;2;50;594.138
WH 8350;100;2;50;594.3138
WH 8400;100;2;50;594.4138
WH 8600;100;2;50;593.9138
WH 8700;100;2;50;596.138
WH 8710;100;2;50;596.138
WH 8730;100;2;50;597.138
WH 8780;100;2;50;597.8138
WH 8800;100;2;50;597.9138
WH 8850;100;2;50;598.138
WH 8900;100;2;50;599.138
WH 8905;100;2;50;599.8138
WH 8908;100;2;50;599.938
WH 8920;100;2;50;599.7138
WH 8925;100;2;50;599.77138
WH 8930;100;2;50;599.75138
WH 8940;100;2;50;599.63138
WH 8945;100;2;50;599.63138
WH 8960;100;2;50;599.66138
WH 8970;100;2;50;599.32138
WH 8975;100;2;50;599.35138
WH 9000 - WH 9480;100;1;100;560
WH 9000 - WH 9099;100;2;50;560
WH 9100 - WH 9199;100;1;100;561
WH 9200;100;2;50;560
WH 9210 - WH 9480;;;;
WH 9210;100;1;100;561.9
WH 9235;100;1;100;561.8
WH 9240;100;1;100;561.7
WH 9260;50;3;100;561.3
WH 9260;50;3;100;561.4
WH 9260;50;3;100;561.5
WH 9300;100;1;100;562
WH 9310;100;1;100;561.99
WH 9320;100;1;100;563.4
WH 9330;100;1;100;563.5
WH 9340;50;3;100;562.3
WH 9340;100;2;50;562
WH 9340;100;1;100;562.3-562.7
WH 9350;25;3;100;562.6
WH 9350;100;2;50;565
WH 9360;100;1;100;564
WH 9365;100;1;100;564.3
WH 9370;100;1;100;564.4
WH 9375;100;1;100;564.5
WH 9380;100;1;100;564.6
WH 9390;100;1;100;563.9
WH 9400;100;1;100;566
WH 9410;100;1;100;567
WH 9420;100;2;50;566
WH 9425;25;4;25;560.457
WH 9430;100;1;100;567.8
WH 9445;100;1;100;567.9
WH 9460;100;1;100;568
WH 9480;100;1;100;569
WI;100;1;100;577
WI 1000 - WI 1099;100;2;50;577
WI 1000 - WI 1099;50;3;100;577.03
WI 1000 - WI 1099;50;3;100;577.07
WI 1100 - WI 1199;100;2;25;577
WI 1200;100;2;25;577
WI 1500;100;1;100;577.01
WI 1500;50;3;100;577.0151
WI 1800 - WI 1839;100;1;100;577.26;Autökologie einzelner Taxa unterhalb der Klasse s. im taxonomischen
WI 1800;100;1;100;577.26;Teil (WL; WP-WS)
WI 1801 - WI 1804;;;;
WI 1802;100;2;50;581.7
WI 1803;100;2;50;591.7
WI 1805 - WI 1839;;;;
WI 1805;100;2;50;579.317
WI 1806;100;2;50;579.817
WI 1807;50;4;50;579.517
WI 1807;50;4;50;579.717
WI 1808;100;2;20;588.17
WI 1809;100;2;50;581.7
WI 1810;100;2;50;587.17
WI 1811;100;2;50;581.7
WI 1812;100;2;50;585.17
WI 1813;100;2;25;581.7
WI 1813;100;2;50;583.17
WI 1814;100;2;50;584.17
WI 1815;100;2;50;579.417
WI 1816;100;2;50;592.17
WI 1817;100;2;50;593.17
WI 1818;100;2;25;592.17
WI 1819;100;2;50;595.17
WI 1820;100;2;50;595.617
WI 1821;100;2;50;595.717
WI 1822;100;2;50;595.417
WI 1823;100;2;50;595.317
WI 1824;50;4;50;594.17
WI 1824;50;4;25;592.317
WI 1825;25;4;25;592.3817
WI 1825;25;4;50;593.917
WI 1825;50;4;50;593.817
WI 1826;100;2;50;596.17
WI 1827;100;2;50;597.17
WI 1828;100;2;50;597.817
WI 1829;100;2;50;597.917
WI 1830;100;2;50;598.17
WI 1831;100;2;50;599.17
WI 2000;100;1;100;577.8
WI 2010;100;1;100;581.78
WI 2025;100;1;100;591.78
WI 2050;100;2;25;577
WI 2100;100;1;100;577.88
WI 2200 - WI 2600;100;1;100;577.2
WI 2200;100;2;25;577.27
WI 2250;100;1;100;577.22
WI 2260;100;1;100;581.722
WI 2280;100;1;100;591.722
WI 2300;100;2;50;577.22
WI 2350;100;2;25;577.22
WI 2400;100;1;100;577.13
WI 2450;100;2;50;577.13
WI 2500;100;1;100;577.14
WI 2500;50;4;50;577.27
WI 2600;50;4;50;577.15
WI 2700;100;1;100;577.23
WI 2800;100;2;50;577.2309
WI 3000;100;1;100;578.4
WI 3005;100;1;100;581.4
WI 3010;100;1;100;591.4
WI 3060;100;2;50;577.82
WI 3070;100;1;100;577.584
WI 3080;100;1;100;581.7584
WI 3085;100;1;100;591.7584
WI 3087;100;1;100;592.17584
WI 3090;100;1;100;595.17584
WI 3093;100;1;100;597.17584
WI 3094;100;1;100;597.817584
WI 3095;100;1;100;596.17584
WI 3100;50;4;50;577.16
WI 3120;100;1;100;571.8642
WI 3130;100;2;25;571.8642
WI 3140;100;1;100;576.875
WI 3180;100;2;25;571.8642
WI 3200 - WI 4200;;;;
WI 3200;100;1;100;577.85
WI 3240;100;2;50;581.785
WI 3280;50;4;50;581.785
WI 3280;50;4;50;591.785
WI 3320;100;2;50;591.785
WI 3360;100;2;50;577.852
WI 3400;100;2;25;577.852
WI 3440;100;2;25;577.852
WI 3520;100;2;25;577.852
WI 3560;100;2;25;577.852
WI 3600;100;2;50;577.852
WI 3640;100;1;100;577.857
WI 3700;100;2;50;577.857
WI 3720;100;2;25;577.857
WI 3760;100;2;25;577.857
WI 3800;100;2;25;577.857
WI 3840 - WI 3959;100;2;50;571.999
WI 3840;100;2;25;571.999
WI 3880;100;2;25;571.999
WI 3920;100;2;25;571.999
WI 4000;100;1;100;632.2
WI 4010;100;2;50;632.2078
WI 4030;50;4;50;632.52
WI 4040;50;4;50;632.623
WI 4060;100;2;25;632.2
WI 4062 - WI 4067;;;;
WI 4062;100;2;25;632.7
WI 4065;100;2;25;632.7
WI 4067;100;2;25;632.7
WI 4070;100;2;25;632.7
WI 4100;100;1;100;581.7857
WI 4200;100;1;100;583.75017
WI 4400 - WI 4950;25;4;25;551.48
WI 4400 - WI 4950;50;4;50;577.6
WI 4400 - WI 4950;50;4;50;577.7
WI 4400 - WI 4950;50;4;50;578.76
WI 4400 - WI 4950;50;4;50;578.77
WI 4400;50;4;50;577.6
WI 4400;50;4;50;577.7
WI 4400;50;4;50;578.76
WI 4400;50;4;50;578.77
WI 4410;25;4;25;551.46
WI 4410;50;3;100;577.7
WI 4410;50;3;100;578.77
WI 4420;50;4;50;577.713
WI 4430;50;4;50;577.714
WI 4440;100;1;100;578.77
WI 4450;50;4;50;639.22
WI 4450;50;4;50;597.177
WI 4455;100;1;100;578.776
WI 4460;100;1;100;592.1776
WI 4470;100;1;100;579.81776
WI 4480;50;3;100;579.3177
WI 4480;50;3;100;579.5177
WI 4490;100;2;25;578.77
WI 4500;100;1;100;577.77
WI 4510;50;4;50;577.7713
WI 4520;50;4;50;577.7714
WI 4520;50;4;50;622.295
WI 4530;100;2;25;577.82
WI 4550;100;1;100;577.789
WI 4600;100;1;100;577.78
WI 4610;100;2;50;577.699
WI 4620;100;2;25;551.48
WI 4620;50;4;50;577.786
WI 4630;100;2;25;577.78
WI 4650;100;1;100;577.727
WI 4670;50;4;50;628.167
WI 4700;100;1;100;577.6
WI 4710;50;4;50;577.613
WI 4720;50;4;50;577.614
WI 4730;100;2;25;577.82
WI 4740;100;1;100;597.176
WI 4745;100;1;100;578.76
WI 4750;100;1;100;592.176
WI 4760;50;3;100;579.8176
WI 4760;50;3;100;581.76
WI 4770;50;3;100;579.3176
WI 4770;50;3;100;579.5176
WI 4780;100;2;25;577.6
WI 4800 - WI 4900;100;2;50;577.6
WI 4800;100;1;100;577.63
WI 4820;100;1;100;577.64
WI 4840;100;2;25;577.6
WI 4880;25;4;25;551.49
WI 4880;100;2;50;577.6
WI 4900;100;1;100;577.627
WI 4950;50;4;50;628.3
WI 5000 - WI 5100;;;;
WI 5000;100;1;100;578.757
WI 5020;100;2;50;578.757
WI 5085;100;2;25;578.757
WI 5100;100;2;25;578.757
WI 5150 - WI 5980;100;1;100;577.3-577.5
WI 5150 - WI 5980;50;3;100;577.3
WI 5150 - WI 5980;50;3;100;577.4
WI 5150 - WI 5980;50;3;100;577.5
WI 5150 - WI 5980;25;4;25;577.6
WI 5150 - WI 5980;50;4;50;578.73-578.75
WI 5150 - WI 5980;25;4;50;578.73
WI 5150 - WI 5980;25;3;50;578.74
WI 5150 - WI 5980;25;4;50;578.75
WI 5150 - WI 5980;25;4;25;578.76
WI 5150;100;1;100;577.54
WI 5150;100;1;100;578.754
WI 5160;100;1;100;577.48
WI 5160;50;4;50;578.748
WI 5170;50;4;50;577.69
WI 5170;25;4;25;578.769
WI 5180;100;1;100;577.68
WI 5180;50;4;50;578.768
WI 5200;100;2;50;577.34
WI 5200;50;4;25;578.734
WI 5210;100;2;50;581.734
WI 5230;100;2;50;591.734
WI 5250;50;4;50;577.34
WI 5250;50;4;50;577.38
WI 5250;25;4;25;578.734
WI 5250;25;4;25;578.738
WI 5260;50;4;50;581.734
WI 5260;50;4;50;581.738
WI 5280;50;4;50;591.734
WI 5280;50;4;50;591.738
WI 5300;100;1;100;577.30912
WI 5300;50;4;50;578.730912
WI 5304;100;2;50;634.96
WI 5310;100;2;50;577.30912
WI 5310;50;4;25;578.730912
WI 5320;100;2;50;581.730912
WI 5335;100;2;50;591.730912
WI 5350;100;2;50;577.30912
WI 5350;100;2;50;578.730912
WI 5360;100;2;50;581.730912
WI 5380;100;2;50;591.730912
WI 5400;50;4;50;577.586
WI 5400;50;3;100;577.687
WI 5400;25;4;25;578.7586
WI 5400;25;4;50;578.7687
WI 5410;50;4;50;581.7586
WI 5410;50;3;100;581.7687
WI 5430;50;4;50;591.7586
WI 5430;50;3;100;591.7687
WI 5450;100;1;100;577.51
WI 5450;50;3;100;577.583
WI 5450;50;4;50;577.68
WI 5450;50;4;50;578.751
WI 5450;25;4;50;578.7583
WI 5450;25;4;25;578.768
WI 5460;100;1;100;581.751
WI 5460;50;3;100;581.7583
WI 5460;50;4;50;581.768
WI 5480;100;1;100;591.751
WI 5480;50;3;100;591.7583
WI 5480;50;4;50;577.68
WI 5500;100;2;50;577.38
WI 5500;50;4;25;578.738
WI 5510;100;2;50;581.738
WI 5530;100;2;50;591.738
WI 5550;100;1;100;577.44
WI 5550;50;4;50;578.744
WI 5560;100;1;100;581.744
WI 5580;100;1;100;591.744
WI 5600;100;1;100;577.53
WI 5600;50;4;25;577.3
WI 5600;50;4;50;578.753
WI 5600;25;4;25;578.73
WI 5610;100;1;100;581.753
WI 5610;50;4;25;581.73
WI 5630;100;1;100;591.753
WI 5630;50;4;25;591.73
WI 5670;50;4;50;577.538
WI 5700;100;1;100;577.538
WI 5700;50;4;50;578.7538
WI 5710;100;1;100;581.7538
WI 5730;100;1;100;591.7538
WI 5750;25;4;50;577.37
WI 5750;100;1;100;577.586
WI 5750;25;4;25;578.737
WI 5750;50;4;50;578.7586
WI 5760;25;4;50;581.737
WI 5760;100;1;100;581.7586
WI 5780;25;4;50;591.737
WI 5780;100;1;100;591.7586
WI 5800;100;1;100;577.55
WI 5800;50;4;50;578.755
WI 5810;100;2;50;577.55
WI 5810;50;4;25;578.755
WI 5815;100;2;50;581.755
WI 5825;100;2;50;591.755
WI 5850;100;1;100;577.46
WI 5850;50;4;50;578.746
WI 5870;50;3;100;577.554
WI 5870;50;3;100;577.56
WI 5870;25;4;50;578.7554
WI 5870;25;4;50;578.756
WI 5875;50;3;100;591.7554
WI 5875;50;3;100;591.756
WI 5880;;;;
WI 5890;;;;
WI 5900;;;;
WI 5910;;;;
WI 5930;;;;
WI 5950;100;2;50;577.58
WI 5950;50;4;25;578.758
WI 5960;100;2;50;581.758
WI 5980;100;2;50;591.758
WI 6000;100;2;50;578.09
WI 6100;100;2;25;578.09
WI 6200;100;2;25;578.09
WI 6250 - WI 6275;50;4;50;581.7
WI 6250 - WI 6275;100;1;100;581.9
WI 6250;100;2;50;581.9
WI 6251;100;1;100;581.94
WI 6252;50;3;100;581.95
WI 6252;50;3;100;581.993-581.996
WI 6252;25;3;100;581.993
WI 6252;25;3;100;581.994
WI 6252;25;3;100;581.995
WI 6252;25;3;100;581.996
WI 6253;100;1;100;581.96
WI 6254;50;3;100;581.97
WI 6254;50;3;100;581.98
WI 6455;25;4;25;622.12
WI 6256 - WI 6258;100;1;100;577.18
WI 6256 - WI 6258;50;3;100;581.718
WI 6256 - WI 6258;50;3;100;591.718
WI 6256;100;2;50;577.18
WI 6257;100;2;50;577.18
WI 6258;100;2;50;577.18
WI 6260;100;2;50;581.714
WI 6265;100;2;25;581.714
WI 6270;100;2;25;581.714
WI 6271;100;2;25;581.714
WI 6273;100;2;25;581.714
WI 6275;100;2;25;581.714
WI 6280;100;1;100;591.9
WI 6300 - WI 6900;100;2;50;578.09
WI 6300;100;2;50;581.9
WI 6310;100;2;50;591.9
WI 6320;50;4;25;578.09
WI 6335;50;4;25;581.9
WI 6330;50;4;25;591.9
WI 6360;100;2;25;577.8
WI 6370;100;2;25;581.78
WI 6380;100;2;25;591.78
WI 6390;;;;
WI 6395;50;4;50;578.68
WI 6400;100;1;100;578.62
WI 6410;100;1;100;581.62
WI 6420;100;1;100;591.62
WI 6600;100;2;50;561
WI 6800;100;2;50;561.1193
WI 6900;100;2;50;560.1793
WI 7300;100;1;100;578.09
WI 7300;100;3;50;581.9
WI 7300;100;3;50;591.9
WI 7305;50;3;100;578.094
WI 7305;50;3;100;578.0957
WI 7305;50;4;50;581.94
WI 7305;50;4;50;581.957
WI 7305;50;4;50;591.94
WI 7305;50;4;50;591.957
WI 7308;100;2;25;581.9113
WI 7309;50;3;100;581.94
WI 7309;50;3;100;581.9573
WI 7310;100;1;100;578.094
WI 7310;100;3;50;581.94
WI 7310;100;3;50;591.94
WI 7315;100;1;100;578.0943
WI 7315;100;3;50;581.943
WI 7315;100;3;50;591.943
WI 7320;100;2;50;578.0943
WI 7320;50;4;50;581.943
WI 7320;50;4;50;591.943
WI 7325;100;2;50;578.0943
WI 7325;50;4;50;581.943
WI 7325;50;4;50;591.943
WI 7330;100;1;100;578.09435
WI 7330;100;3;50;581.9435
WI 7330;100;3;50;591.9435
WI 7335;100;1;100;578.0943512
WI 7335;100;3;50;581.943512
WI 7335;100;3;50;591.943512
WI 7340;50;4;50;578.094351212
WI 7340;50;4;50;581.94351212
WI 7340;50;4;50;591.94351212
WI 7340;50;4;25;578.09435129
WI 7340;50;4;25;581.9435129
WI 7340;50;4;25;591.9435129
WI 7355;100;1;100;578.0943515
WI 7355;100;3;50;581.943515
WI 7355;100;3;50;591.943515
WI 7360;100;1;100;578.094352
WI 7360;100;3;50;581.94352
WI 7360;100;3;50;591.94352
WI 7365;100;1;100;578.094359
WI 7365;100;3;50;581.94359
WI 7365;100;3;50;591.94359
WI 7370;50;4;50;578.0943591
WI 7370;50;4;50;581.943591
WI 7370;50;4;50;591.943591
WI 7370;50;4;25;578.0943593
WI 7370;50;4;25;581.943593
WI 7370;50;4;25;591.943593
WI 7385;50;4;50;578.0943595
WI 7385;50;4;50;581.943595
WI 7385;50;4;50;591.943595
WI 7385;50;4;50;578.0943597
WI 7385;50;4;50;581.943597
WI 7385;50;4;50;591.943597
WI 7410;100;2;25;578.0943
WI 7410;50;4;25;581.943
WI 7410;50;4;25;591.943
WI 7410;25;3;100;578.094355
WI 7410;25;4;50;581.94355
WI 7410;25;4;50;591.94355
WI 7410;25;3;100;578.094356
WI 7410;25;4;50;581.94356
WI 7410;25;4;50;591.94356
WI 7410;25;3;100;578.094341
WI 7410;25;4;50;581.94341
WI 7410;25;4;50;591.94341
WI 7410;25;3;100;578.094342
WI 7410;25;4;50;581.94342
WI 7410;25;4;50;591.94342
WI 7410;25;3;100;578.094343
WI 7410;25;4;50;581.94343
WI 7410;25;4;50;591.94343
WI 7415;50;4;50;578.0943595
WI 7415;50;4;50;581.943595
WI 7415;50;4;50;591.943595
WI 7415;25;4;50;578.0943597
WI 7415;25;4;50;581.943597
WI 7415;25;4;50;591.943597
WI 7415;50;4;50;578.0943565
WI 7415;50;4;50;581.943565
WI 7415;50;4;50;591.943565
WI 7415;25;4;50;578.0943412
WI 7415;25;4;50;581.943412
WI 7415;25;4;50;591.943412
WI 7420;25;4;50;578.09431827
WI 7420;25;4;50;581.9431827
WI 7420;25;4;50;591.9431827
WI 7420;25;4;50;578.09431828
WI 7420;25;4;50;581.9431828
WI 7420;25;4;50;591.9431828
WI 7420;25;4;50;578.09431842
WI 7420;25;4;50;581.9431842
WI 7420;25;4;50;591.9431842
WI 7420;25;4;50;578.09435973
WI 7420;25;4;50;581.9435973
WI 7420;25;4;50;591.9435973
WI 7420;25;4;50;578.09435974
WI 7420;25;4;50;581.9435974
WI 7420;25;4;50;591.9435974
WI 7425;50;3;100;578.094355
WI 7425;50;4;50;581.94355
WI 7425;50;4;50;591.94355
WI 7425;50;3;100;578.094356
WI 7425;50;4;50;581.94356
WI 7425;50;4;50;591.94356
WI 7430;100;1;100;578.0943561
WI 7430;50;3;100;581.943561
WI 7430;50;3;100;591.943561
WI 7435;50;4;50;578.094355
WI 7435;25;4;50;581.94355
WI 7435;25;4;50;591.94355
WI 7440;50;4;50;578.094355
WI 7440;25;4;50;581.94355
WI 7440;25;4;50;591.94355
WI 7450;100;1;100;578.094341
WI 7450;50;3;100;581.94341
WI 7450;50;3;100;591.94341
WI 7470;50;3;100;578.094342
WI 7470;50;4;50;581.94342
WI 7470;50;4;50;591.94342
WI 7470;50;3;100;578.094343
WI 7470;50;4;50;581.94343
WI 7470;50;4;50;591.94343
WI 7475;50;4;25;578.094341
WI 7475;50;4;25;581.94341
WI 7475;50;4;25;591.94341
WI 7475;50;4;50;578.094343
WI 7475;50;4;25;581.94343
WI 7475;50;4;25;591.94343
WI 7475;50;4;25;578.0943551
WI 7475;50;4;25;581.943551
WI 7475;50;4;25;591.943551
WI 7480;50;4;50;578.094343
WI 7480;50;4;25;581.94343
WI 7480;50;4;25;591.94343
WI 7485;50;4;50;578.094342
WI 7485;50;4;25;581.94342
WI 7485;50;4;25;591.94342
WI 7490;50;4;50;578.094343
WI 7490;50;4;25;581.94343
WI 7490;50;4;25;591.94343
WI 7495;50;4;50;578.094343
WI 7495;50;4;25;581.94343
WI 7495;50;4;25;591.94343
WI 7510;50;3;100;578.09433
WI 7510;50;4;50;581.9433
WI 7510;50;4;50;591.9433
WI 7510;50;3;100;578.094346
WI 7510;50;4;50;581.94346
WI 7510;50;4;50;591.94346
WI 7510;50;3;100;578.094347
WI 7510;50;4;50;581.94347
WI 7510;50;4;50;591.94347
WI 7515;50;3;100;578.094346
WI 7515;50;4;50;581.94346
WI 7515;50;4;50;591.94346
WI 7515;50;3;100;578.094347
WI 7515;50;4;50;581.94347
WI 7515;50;4;50;591.94347
WI 7520;50;4;50;578.09434626
WI 7520;50;4;50;581.9434626
WI 7520;50;4;50;591.9434626
WI 7520;50;4;50;578.09434643
WI 7520;50;4;50;581.9434643
WI 7520;50;4;50;591.9434643
WI 7545;100;2;50;578.094346
WI 7545;50;4;25;581.94346
WI 7545;50;4;25;591.94346
WI 7550;50;4;50;578.094346
WI 7550;50;4;25;581.94346
WI 7550;50;4;25;591.94346
WI 7560;25;4;50;578.094346
WI 7560;25;4;25;581.94346
WI 7560;25;4;25;591.94346
WI 7560;25;4;50;578.094347
WI 7560;25;4;25;581.94347
WI 7560;25;4;25;591.94347
WI 7565;100;2;50;578.0943473
WI 7565;50;4;50;581.943473
WI 7565;50;4;50;591.943473
WI 7570;50;4;50;578.09434624
WI 7570;50;4;25;581.9434624
WI 7570;50;4;25;591.9434624
WI 7575;100;2;50;578.09434622
WI 7575;50;4;50;581.9434622
WI 7575;50;4;50;591.9434622
WI 7610;100;1;100;578.09433
WI 7610;50;3;100;581.9433
WI 7610;50;3;100;591.9433
WI 7615;25;3;100;578.094331
WI 7615;25;4;50;581.94331
WI 7615;25;4;50;591.94331
WI 7615;25;3;100;578.094332
WI 7615;25;4;50;581.94332
WI 7615;25;4;50;591.94332
WI 7615;25;3;100;578.094333
WI 7615;25;4;50;581.94333
WI 7615;25;4;50;591.94333
WI 7615;25;3;100;578.094334
WI 7615;25;4;50;581.94334
WI 7615;25;4;50;591.94334
WI 7620;100;1;100;578.094333
WI 7620;50;3;100;581.94333
WI 7620;50;3;100;591.94333
WI 7622;100;2;50;578.094333
WI 7622;50;4;50;581.94333
WI 7622;50;4;50;591.94333
WI 7624;100;2;50;578.094332
WI 7624;50;4;50;581.94332
WI 7624;50;4;50;591.94332
WI 7626;100;2;25;578.09433
WI 7626;50;4;25;581.9433
WI 7626;50;4;25;591.9433
WI 7628;50;4;50;578.094331
WI 7628;50;4;25;581.94331
WI 7628;50;4;25;591.94331
WI 7632;50;4;50;578.094334
WI 7632;50;4;25;581.94334
