fromNotation;x;y;z;toNotation
VG 1000 - VG 1099;50;4;50;543.03
VG 2000 - VG 4990;100;2;25;543
VG 5000 - VG 9909;100;2;50;543
VG 5000;100;2;50;543
VG 5010;100;2;25;543.07
VG 5020;100;2;25;543.07
VG 5030;100;2;25;543.014
VG 5040;100;2;50;016.543
VG 5070;25;4;25;378.242
VG 5075;25;4;25;378.242
VG 5080;100;2;25;543
VG 5085;100;2;25;543
VG 5100;100;2;50;543.072
VG 5150;100;2;25;543.072
VG 5170;100;2;25;543.072
VG 5200;100;2;50;543.076
VG 5500;;;;
VG 6000;100;2;50;543
VG 6100;100;2;50;543
VG 6500;100;1;100;543.2
VG 6550;100;2;25;543.2
VG 6600;100;2;50;543.24
VG 6620;100;2;25;543.2
VG 6650;100;2;25;543.2
VG 6700;100;1;100;543.22
VG 6800;100;2;25;543.2
VG 6820;100;2;25;543.2
VG 6830;100;2;25;543.2
VG 6840;100;2;25;543.2
VG 6850;100;2;25;543.2
VG 6860;100;2;25;543.2
VG 6870;100;2;25;543.2
VG 6880;100;2;25;543.2
VG 6900;100;2;50;543.22
VG 7000;100;1;100;543.63
VG 7100;100;1;100;543.26
VG 7200;100;1;100;543.8
VG 7300;100;2;50;543.84
VG 7400;100;1;100;543.85
VG 7500;100;2;50;543.84
VG 7600;100;2;25;543.8
VG 7650;100;2;25;543.8
VG 7700;;;;
VG 7800;100;1;100;543.82
VG 7850;100;2;25;543.8
VG 8000;100;1;100;543.4
VG 8050;100;2;25;543.4
VG 8100;100;2;25;543.4
VG 8130;100;2;25;543.4
VG 8160;100;2;25;543.4
VG 8200;100;2;25;543.4
VG 8250;100;2;25;543.4
VG 8300;100;2;25;543.4
VG 8350;100;2;25;543.4
VG 8400;100;2;25;543.4
VG 8500;100;2;50;543.59
VG 8600;100;2;50;543.59
VG 8650;100;2;50;543.59
VG 8700;100;1;100;543.52
VG 8730;100;2;25;543.5
VG 8750;100;1;100;543.56
VG 8760;100;2;25;543.56
VG 8800;100;1;100;543.55
VG 8850;100;1;25;543.5
VG 8900;50;3;100;543.5
VG 8900;50;3;100;543.6
VG 8930;100;2;25;543.6
VG 8950;100;2;25;543.6
VG 8970;100;2;50;543.62
VG 9000;100;2;25;543.5
VG 9100;100;2;25;543.62
VG 9200;100;2;50;543.57
VG 9300;100;1;100;543.57
VG 9400;100;2;25;543.6
VG 9450;100;2;25;543.6
VG 9500;100;1;100;543.66
VG 9700;100;1;100;543.67
VG 9700;25;4;25;543.62
VG 9730;100;2;25;543.6
VG 9800;100;1;100;543.65
VG 9900;100;2;25;543.62
VG 9900;50;4;50;548.83
VH;100;1;100;546
VH 1000 - VH 1099;50;4;50;546.021
VH 1000 - VH 1099;50;4;50;546.03
VH 2000 - VH 4990;100;2;25;546
VH 5000 - VH 9759;100;2;50;546
VH 5000;100;2;50;546
VH 5010;100;2;25;546.07
VH 5020;100;2;25;546.07
VH 5030;100;2;25;546.014
VH 5040;100;2;50;016.546
VH 5070;25;4;25;378.242
VH 5075;25;4;25;378.242
VH 5080;100;2;25;546
VH 5085;100;2;25;546
VH 5100;100;2;50;546.072
VH 5200;100;2;50;546.076
VH 5500;50;4;50;541.39
VH 5600;50;4;50;541.35
VH 5640;50;4;50;541.388
VH 5660;50;4;25;542
VH 5700;50;4;50;541.2
VH 5800;50;4;25;541.22
VH 5800;50;4;50;541.223
VH 6000;50;4;25;541.39
VH 6000;50;4;50;541.394
VH 7900;100;2;25;546
VH 8000;100;2;50;546
VH 8000.0;100;1;100;546.75
VH 8001;100;1;100;546.751
VH 8002;100;1;100;546.752
VH 8003;100;1;100;546.753
VH 8004;100;1;100;546.754
VH 8005;100;1;100;546.755
VH 8006;100;1;100;546.756
VH 8007;100;1;100;546.2
VH 8007;50;3;100;546.21
VH 8008;100;1;100;546.721
VH 8009;100;1;100;546.711
VH 8009.0;100;1;100;546.73
VH 8010;100;1;100;546.731
VH 8011;100;1;100;546.732
VH 8012;100;1;100;546.733
VH 8013;100;1;100;546.734
VH 8014;100;1;100;546.735
VH 8015;100;1;100;546.723
VH 8016;100;1;100;546.724
VH 8017;100;1;100;546.726
VH 8018;100;1;100;546.728
VH 8019;100;1;100;546.671
VH 8020;100;1;100;546.681
VH 8021;100;1;100;546.683
VH 8022;100;1;100;546.712
VH 8023;100;1;100;546.715
VH 8024;100;1;100;546.716
VH 8025;100;1;100;546.718
VH 8026.0;100;1;100;546.38
VH 8026;100;1;100;546.381
VH 8027;100;1;100;546.382
VH 8028;100;1;100;546.383
VH 8029;50;4;50;546.71124
VH 8030;100;1;100;546.384
VH 8031;100;1;100;546.385
VH 8032;100;1;100;546.386
VH 8032.0;100;1;100;546.39
VH 8033;100;1;100;546.391
VH 8034;100;1;100;546.392
VH 8035;100;1;100;546.393
VH 8036;100;1;100;546.394
VH 8037;100;1;100;546.395
VH 8038;100;1;100;546.396
VH 8039;100;1;100;546.661
VH 8040;100;1;100;546.662
VH 8041;100;1;100;546.663
VH 8042;100;1;100;546.673
VH 8043;100;1;100;546.675
VH 8044;100;1;100;546.677
VH 8045;100;1;100;546.678
VH 8045.0;100;2;50;546.4
VH 8045.0;50;3;100;546.41
VH 8046;100;1;100;546.401
VH 8047;100;1;100;546.403
VH 8048;100;2;50;546.41
VH 8048;50;3;100;546.411
VH 8049;100;1;100;546.412
VH 8050;100;2;50;546.413
VH 8051;100;2;50;546.413
VH 8052;100;1;100;546.414
VH 8053;100;2;50;546.415
VH 8054;100;2;50;546.415
VH 8055;100;2;50;546.416
VH 8056;100;2;50;546.416
VH 8057;100;2;50;546.417
VH 8058;100;2;50;546.417
VH 8059;100;2;50;546.418
VH 8060;100;2;50;546.418
VH 8061;100;2;50;546.419
VH 8062;100;2;50;546.419
VH 8062.0;50;3;100;546.42
VH 8063;100;1;100;546.421
VH 8064;100;1;100;546.512
VH 8065;100;1;100;546.513
VH 8066;100;1;100;546.514
VH 8067;100;1;100;546.422
VH 8068;100;1;100;546.684
VH 8069;100;1;100;546.686
VH 8070;100;1;100;546.688
VH 8071;100;1;100;546.522
VH 8072;100;1;100;546.524
VH 8073;100;1;100;546.526
VH 8074;100;1;100;546.424
VH 8075;100;1;100;546.532
VH 8076;100;1;100;546.534
VH 8077;100;1;100;546.536
VH 8078;100;1;100;546.431
VH 8079;100;1;100;546.541
VH 8080;100;1;100;546.625
VH 8081;100;1;100;546.623
VH 8082;100;1;100;546.621
VH 8083;100;1;100;546.652
VH 8084;100;1;100;546.654
VH 8085;100;1;100;546.656
VH 8085.0;50;3;100;546.63
VH 8085.0;50;3;100;546.64
VH 8086;100;1;100;546.632
VH 8087;100;1;100;546.634
VH 8088;100;1;100;546.636
VH 8089;100;1;100;546.641
VH 8090;100;1;100;546.643
VH 8091;100;1;100;546.645
VH 8092;100;1;100;546.543
VH 8093;100;1;100;546.545
VH 8093.0;50;3;100;546.44
VH 8094;100;1;100;546.432
VH 8095;100;1;100;546.434
VH 8096;100;1;100;546.441
VH 8097;100;1;100;546.442
VH 8098;100;1;100;546.444
VH 8099;100;1;100;546.448
VH 8100;100;2;50;546.449
VH 8101;100;2;50;546.449
VH 8102;100;2;50;546.449
VH 9500;50;4;50;541.2254
VH 9500;25;4;25;677.02832
VH 9600;50;4;50;541.2242
VH 9600;50;4;50;546.3
VH 9700;100;1;100;547.05
VH 9750;50;4;50;572.51
VK;100;1;100;547
VK 1000 - VK 1099;50;4;50;547.0021
VK 1000 - VK 1099;50;4;50;547.003
VK 2000 - VK 4990;100;2;25;547
VK 5000 - VK 8809;100;2;50;547
VK 5000;100;2;50;547
VK 5010;100;2;25;547.007
VK 5020;100;2;25;547.007
VK 5030;100;2;25;547.0014
VK 5040;100;2;50;016.547
VK 5070;25;4;25;378.242
VK 5075;25;4;25;378.242
VK 5080;100;2;25;547
VK 5085;100;2;25;547.005
VK 5100;100;2;50;547.0072
VK 5200;100;2;50;547.0076
VK 5500;100;2;25;547.2
VK 5600;50;4;50;541.35
VK 5640;50;4;50;541.388
VK 5660;50;4;25;542
