fromNotation;toNotation
611.018961;WW 1464
611.018961;XG 1800
611.018961;WW 7000
611.01897;XG 1800
611.01897;WW 5700
611.01897;WW 1460 - WW 1500
611.01897;WW 1464
611.018977;YF 1700 - YF 1799
611.018977;WW 5000
611.018977;WW 1464
611.018977;WW 1460 - WW 1500
611.018977;XG 1800
611.01898;XG 1800
611.01898;WW 2200
611.01898;WW 1464
611.01898;WW 1460 - WW 1500
611.1;WW 7500
611.1;WW 7500
611.1;YB 7200 - YB 9999
 611.1 - 611.9;WW 1000-WW 1619
 611.1 - 611.9;WW 1000-WW 1459
611.11;WW 7500
611.11;WW 7500
611.11;WW 7700
611.11;YB 7200 - YB 9999
611.12;WW 7700
611.12;WW 7704
611.13;WW 7900
611.13;WW 7904
611.14;WW 7904
611.14;WW 7900
611.15;WW 8444
611.15;WW 8440
611.2;WW 9304
611.2;YB 5700
611.2;WW 9300
611.21;WW 9384
611.21;WW 9380
611.22;WW 9384
611.22;WW 9380
611.23;WW 9420
611.23;WW 9424
611.24;WW 9460
611.24;WW 9464
611.24;YB 6500
611.25;WW 9300
611.25;YB 7000 - YB 7099
611.25;WW 9304
611.26;YB 7000 - YB 7099
611.27;YB 7000 - YB 7099
611.3;WX 1000 - WX 3939
611.3;YC 4600 - YC 5899
611.3;WX 1000 - WX 3500
611.31;WX 1400
611.31;WX 1404
611.32;WW 9384
611.32;YB 5700
611.32;YN 4800 - YN 4899
611.32;WW 9380
611.33;WX 1604
611.33;WX 1600
611.34;YC 5300 - YC 5399
611.35;YC 5300 - YC 5399
611.36;WX 2000 - WX 2039
611.37;WX 1700 - WX 1739
611.38;YC 5400 - YC 5499
611.4;WW 6404
611.4;WW 6400
611.41;WW 5540
611.41;WW 5544
611.42;WW 9124
611.42;YC 1500 - YC 1599
611.42;YR 5600 - YR 5699
611.42;WW 9120
611.43;WW 6560
611.43;WW 9124
611.43;WW 9120
611.43;WW 6564
611.44;WW 6520
611.44;WW 6524
611.45;WW 6600
611.45;WW 6604
611.46;WW 9120
611.46;WW 9124
611.47;WW 6484
611.47;WW 6480
611.47;WW 6444
611.47;WW 6440
611.49;YM 3600 - YM 3699
611.49;YM 7500 - YM 7599
611.6;YK 8100 - YK 8199
611.61;YK 9300 - YK 9399
611.61;YR 8000 - YR 8099
611.62;YR 8000 - YR 8099
611.62;YK 9300 - YK 9399
611.63;YK 9400
611.63;YK 9500 - YK 9599
611.63;YK 9600 - YK 9699
611.64;YK 9700 - YK 9799
611.65;YM 4600 - YM 4699
611.65;YM 4500 - YM 4599
611.66;YM 4000 - YM 4099
611.66;YM 4100
611.67;YM 3800
611.7;WW 5500
611.7;WW 5504
611.7;YK 3100
611.71;WW 5544
611.71;WW 5540
611.711;WW 5624
611.711;WW 5620
611.712;WW 5624
611.712;WW 5620
611.713;YK 3050 - YK 3078
611.713;WW 5620
611.715;WW 5580
611.715;WW 5584
611.716;WW 5584
611.716;WW 5580
611.717;YK 3200
611.717;WW 5664
611.717;WW 5660
611.718;YK 3500
611.72;WW 5544
611.72;WW 5540
611.73;WW 6080
611.73;XG 7900 - XG 7928
611.73;WW 6084
611.73;WW 5700
611.73;YR 7500 - YR 7599
611.731;WW 5704
611.731;WW 5700
611.732;WW 5704
611.732;WW 5700
611.733;WW 5700
611.733;WW 5704
611.735;WW 5700
611.735;WW 5704
611.736;WW 5704
611.736;WW 5700
611.737;WW 5704
611.737;WW 5700
611.738;WW 5704
611.738;WW 5700
611.74;WW 5304
611.74;WW 5300
611.75;WW 5304
611.75;YR 7500 - YR 7599
611.75;WW 5300
611.75;YK 2100 - YK 2199
611.77;WW 5000
611.77;WW 5004
611.78;WW 5004
611.78;WW 5000
611.8;XI 5300
611.8;WW 2200
611.81;WW 2400
611.82;WW 3240
611.83;WW 2200
611.83;WW 3520
611.83;WW 3524
611.84;WW 1780
611.85;WW 1660
611.86;WW 1740
611.87;WW 1740
611.88;WW 1660
611.9;WW 5540 - WW 6200
611.91;WW 5584
611.91;WW 5580
611.92;WW 5584
611.92;WW 5580
611.93;WW 5580
611.93;WW 5584
611.94;WW 5580
611.94;WW 5584
611.95;WW 5620
611.95;WW 5624
611.96;WW 5624
611.96;WW 5620
611.97;WW 5660
611.97;WW 5664
