SM 620;100;2;50;510.711
sourcenotation;x;y;z;targetnotation
SM 630;100;2;25;510.712
SM 640;100;2;25;510.712
SM 670;100;2;25;371.90447
SM 670;100;2;25;372.7044
SM 690;100;2;25;372.21
SM 700 - SM 790;;;;
SM 700;100;2;25;510.71
SM 730;100;2;25;510.712
SM 740;100;2;25;510.712
SM 770;100;2;25;372.7
SM 790;100;2;25;372.21
SM 800 - SM 890;;;;
SM 800;100;2;25;510.71
SM 830;100;2;25;510.712
SM 840;100;2;25;510.712
SM 870;100;2;25;372.7
SM 890;100;2;25;372.21
SM 905 - SM 930;100;2;50;510.76
SM 905;100;2;25;510.76
SM 910;100;2;25;510.76
SM 920;100;2;25;510.76
SM 930;100;2;25;510.76
SM 940;100;2;25;510.79
SN;;;;
SN 100;;;;
SN 300;100;1;100;793.74
SN 400;;;;
SN 500 - SN 590;100;1;100;794.1
SN 500;100;2;50;794.1
SN 510;100;1;100;794.122
SN 515;100;1;100;794.123
SN 520;100;1;100;794.124
SN 530;100;2;50;794.12
SN 540;100;1;100;794.172
SN 550;100;2;50;794.109
SN 560;100;1;100;794.15
SN 570;100;1;100;794.157
SN 580;50;3;100;794.1092
SN 580;50;3;100;794.152
SN 580;50;3;100;794.159
SN 590;;;;
SN 600;50;3;100;516.204
SP;;;;
