fromNotation;toNotation
CX 4500;370
CX 5000;370
CX 5500;370
CX 6000;370
CX 7000 - 9500;
CX 7000;200
CX 7500;700
;800
;781.11
CX 9500;
CZ;
CZ 1000;610
CZ 1100;610
CZ 1200;300
CZ 1300;610
;612.8
;612.825
CZ 1310;
CZ 1320;153.2
CZ 1330;
CZ 1340;
CZ 1350;
CZ 1360;
CZ 1370;
CZ 1380;616.85
CZ 1390;
CZ 2000;
CZ 3000;
CZ 8000;156.2
;156.3
;156.4
;156.5
;156.9
