UB 2440;50;4;25;539.609
UB 2440;50;4;25;539.709
UB 2445;100;2;25;539.709
UB 2450;100;2;25;539.7209
UB 2450;100;2;25;539.7609
UB 2455;100;2;25;530.4109
UB 2460;25;4;25;548.09
UB 2460;25;4;25;549.09
UB 2460;25;4;25;620.1109
UB 2460;25;4;25;669.09
UB 2470;25;4;25;530.4209
UB 2470;25;4;25;530.4309
UB 2470;25;4;25;530.4409
UB 2475 - UB 2484;100;2;50;520.9
UB 2475;100;2;50;520.9
UB 2476;100;2;25;520.901
UB 2476;100;2;50;520.935
UB 2477;100;2;25;520.901
UB 2477;100;1;100;520.938
UB 2478;100;1;100;520.902
UB 2479;100;1;100;520.903
UB 2480;100;1;100;520.9031
UB 2481;100;2;25;520.9032
UB 2482;100;2;25;520.9033
UB 2483;100;2;25;520.9034
UB 2484;100;2;50;520.904
UB 2485;25;4;25;551.509
UB 2487;100;2;25;620.19209
UB 2490;50;4;25;530.07809
UB 2502 - UB 2799;100;2;25;530.092
UB 2800;100;2;25;530
UB 2810 - UB 3099;100;2;25;530
UB 3100 - UB 3399;100;2;25;530.0922
UB 3410 - UB 3699;;;;
UB 3710 - UB 3999;;;;
UB 4010;100;2;25;001.40684
UB 4020;;;;
UB 4049 - UB 4060;100;1;100;530.071
UB 4049;100;2;50;530.071
UB 4050;100;1;100;530.0711
UB 4052;100;2;50;530.071
UB 4053;100;2;50;530.0712
UB 4056;100;2;50;530.0712
UB 4060;100;2;25;530.071
UB 4070 - UB 4079;100;2;50;530.071
UB 4070;100;2;25;530.071
UB 4071;50;4;25;530.0711
UB 4071;50;4;25;530.0715
UB 4072 - UB 4079;100;2;25;530.071
UB 4072;100;2;25;530.0712
UB 4073;100;2;25;530.0712
UB 4074;100;2;25;530.0715
UB 4075;100;2;25;530.0712
UB 4076;;;;
UB 4077;;;;
UB 4079;;;;
UB 4080;;;;
UB 4085;100;2;25;530.0711
UB 4090 - UB 4097;100;2;50;530.071
UB 4090;100;2;25;530.0711
UB 4091;50;4;25;530.0711
UB 4091;50;4;25;530.0715
UB 4092;100;2;25;530.0712
UB 4093;100;2;25;530.0712
UB 4094;100;2;25;530.0715
UB 4095;100;2;25;530.0712
UB 4096;;;;
UB 4097;;;;
UB 4100 - UB 4150;100;2;50;530.028
UB 4100;50;4;50;530.0284
UB 4100;100;2;50;530.7
UB 4150;100;2;50;530.0289
UB 5000 - UB 5340;100;4;25;530
UB 5000;100;4;25;500
UB 5020;100;4;25;530
UB 5040;25;4;25;531
UB 5040;25;4;25;532
UB 5040;25;4;25;533
UB 5040;25;4;25;534
UB 5060;25;4;25;530.13
UB 5060;25;4;25;536
UB 5080;25;4;25;535
UB 5080;25;4;25;537
UB 5080;25;4;25;530.11
UB 5080;25;4;25;530.14
UB 5100;100;4;25;530.12
UB 5120;100;4;25;530.12
UB 5140;50;4;25;539.6
UB 5140;50;4;25;539.7
UB 5160;100;4;25;539.7
UB 5180;100;4;25;539.72
UB 5180;100;4;25;539.76
UB 5200;100;4;25;530.41
UB 5220;25;4;25;669
UB 5220;25;4;25;548
UB 5220;25;4;25;549
UB 5220;25;4;25;620.11
UB 5240;25;4;25;530.42
UB 5240;25;4;25;530.43
UB 5240;25;4;25;530.44
UB 5260;100;4;25;520
UB 5280;25;4;25;551.5
UB 5290;100;4;25;620.192
UB 5300;50;4;25;530.078
UB 5340;100;4;25;530
UB 6000;100;1;100;530.01
UB 6500;100;2;50;530.01
UB 7000;100;2;25;530.01
UB 7500;100;2;25;530.01
UB 8000;100;2;25;530.01
UB 8500;100;2;25;530.01
UB 9000;100;2;25;530.01
UC;50;4;50;530.078
UC 100 - UC 299;50;2;50;530.078
UC 100 - UC 199;50;2;25;530.078
UC 200 - UC 299;50;2;25;530.078
UC 300;50;4;50;530.076
UC 400;100;4;25;530.078
UC 500;100;2;25;530.03
UC 550;100;2;25;530.03
UC 600;100;1;100;530.0285
UD;50;4;25;016
UF;25;3;100;531
UF;25;3;100;532
UF;25;3;100;533
UF;25;3;100;534
UF 1000;100;2;50;531
UF 1020;50;4;25;531.076
UF 1030;100;2;50;531.03
UF 1050;100;2;50;531.076
UF 1070;100;2;50;531.021
UF 1090;100;2;25;531
UF 1100 - UF 1199.99;100;2;25;531
UF 1200;100;2;25;531
UF 1500;100;1;100;620.103-620.107
UF 1570;100;2;50;620.103
UF 1590;100;2;25;620.103
UF 1610;50;4;50;620.1124
UF 1800;100;1;100;620.1121-620.1126
UF 1900;100;1;100;531.112
UF 1950;100;1;100;531.113
UF 2000;50;4;50;531.38
UF 2000;50;4;50;530.14
UF 3000;100;1;100;531.382
UF 3100;100;1;100;531.383
UF 3150;100;1;100;620.1126
UF 3200;50;4;50;531.382
UF 3200;25;4;25;536.4
UF 3300;25;4;25;620.11295
UF 3500;100;1;100;531.1134
UF 4000;50;3;100;532
UF 4000;50;3;100;533
UF 4050;100;2;25;532.05
UF 4100;25;3;100;532.0525
UF 4100;25;3;100;532.515
UF 4100;25;3;100;533.215
UF 4200;100;4;25;532.051
UF 4300;25;3;100;532.0527
UF 4300;25;3;100;532.517
UF 4300;25;3;100;533.217
UF 4500;100;2;25;532.5
UF 4500;25;4;25;627.125
UF 4700;100;1;100;533.62
UF 4750;50;4;50;533.27
UF 4750;50;4;50;629.132323
UF 4800;100;1;100;533.2
UF 5000 - UF 6900;100;1;100;534
UF 5000;100;1;100;534
UF 5100;50;4;50;530.14
UF 5200;100;1;100;620.3
UF 6000;100;2;50;534
UF 6200;100;1;100;534.2
UF 6300;100;1;100;534.55
UF 6310;50;4;25;616.0758
UF 6400;25;4;25;531.1133
UF 6400;25;4;25;531.33
UF 6400;25;4;25;532.0593
UF 6400;25;4;25;532.593
UF 6400;25;4;25;533.293
UF 6700;;;;
UF 6800;25;4;25;620.21
UF 6800;50;4;50;152.15
UF 6900;50;4;50;534
UF 6900;100;1;100;620.2
UG;50;3;100;530.13
UG;50;3;100;536
UG 1000;100;2;50;536
UG 1000;50;3;100;536.7
UG 1020;50;2;25;536.076
UG 1030;100;2;50;536.03
UG 1050;100;2;25;536.076
UG 1070;100;2;50;536.021
UG 1090;100;2;25;536
UG 1100 - UG 1199.99;100;2;25;536
UG 1200;25;4;25;541.369
UG 1200;25;4;25;551.522
UG 1300;100;1;100;533.7
UG 1300;25;4;25;533.2
UG 2000;;;;
UG 2300;100;1;100;530.138
UG 2500;100;1;100;536.2
UG 2600;100;1;100;536.23
UG 2700;100;1;100;536.25
UG 2800;100;1;100;536.3
UG 2850;25;4;25;693.832
UG 2900;25;4;25;530.475
UG 3000;50;3;100;536.73
UG 3100;100;1;100;530.13
UG 3500;50;3;100;530.132
UG 3700;;;;
