sourcenotation;targetnotation
341.3; PR 2400 - PR 2425 
341.3; PR 2621 - PR 2635
341.3; MK 1500
341.3; ML
341.3; MK 1900
341.3026; PR 2100
341.33; PR 2102
341.33; PR 2131
341.33; MK 1500
341.35; PR 2131
341.35; MK 1500
341.37; PR 2207 
341.4; PR 2203
341.4; PR 2550 - PR 2570
341.42; PR 2203
341.42; PK 233
341.42; PS 2400 - PS 2440
341.44; PR 2204
341.44; PR 2203
341.442; PR 2204
341.442; ZI 6845
341.442; PR 2203
341.444; PR 2203
341.444; PR 2204
341.446; PR 2204
341.446; PR 2204
341.448; PR 2204
341.448; PR 2204
341.45; PR 2204
341.45; PR 2204
341.455; PR 2204
341.46; PR 2205
341.46; PR 2206
341.47; PR 2206
341.48; PR 2213
341.48; PK 280
341.48; PL 400 - PL 418
341.48026; PR 2213
341.48026; PS 4080 - PS 4160
341.483; PN 430
341.483; PK 280
341.483; PL 400 - PL 418
341.483; PR 2214
341.483; PR 2213
341.483; MD 4700
341.483; MD 4710
341.483; MD 4720
341.483; PR 2350 - PR 2375
341.4832; MD 4740
341.4832; BR 4100 - BR 4290
341.4832; PL 407
341.484; PN 430
341.484; PR 2214
341.484; MD 4720
341.484; PS 3872
341.4842; PS 3872
341.4844; PS 3940
341.4844; QL 530
341.4846; PP 8070
341.4846; PR 2352
341.485; PR 2350 - PR 2375  
341.485; MD 4700
341.485; PR 2213
341.485; PR 2215
341.485; PR 2220 - PR 2349
341.4852; PR 2352
341.4852; PR 2215 
341.4853; PR  2350 - PR 2375
341.4853; PR 2315 - PR 2249
341.48572; PR  2213
341.4858; MS 3200
341.4858; MD 4720
341.486; PS 3872
341.486; PR 2214
341.486; PN 430
341.488; PN 430
341.488; PR 2214
341.488; PH 2750 - PH 3980
341.488; PR 2211
341.5; PR 2208
341.5; PR 2550 - PR 2570
341.5; PR 2621 - PR 2635
341.5; MK 3000 - MK 3820
341.52; PR 2566
341.52; MK 3800
341.52; PR 2569
341.52; PR 2557
341.522; PR 2566
341.522; PU 1555 
341.5222; PR 2566
341.5222; PR 2180
341.5222; PR 2569
341.5222; PR 2567
341.523; PR 2400 - PR 2425
341.523; MK 7750
341.55; PR 2569
341.55; PR 2568
341.552; PR 2568
341.58; PR 2208
341.58; PR 2208
341.582; PR 2208
341.582; MK 3820
341.582; MK 7750
341.584; PR 2208
341.6; PR 2621 - PR 2635
341.6; NT 3190
341.6; MK 3100
341.62; PR 2601
341.62; PR 2051
341.62; PR 2622
341.62; PR 2554
341.63; MD 8920
341.63; PR 2622   
341.63; PR 2621 - PR 2635
341.64; PR 2632
341.64; MK 2350
341.65; PR 2627
341.65; MK 3400
341.66; PR 2556
341.66; PR 2557
341.67; PR 2622
341.67; PR 2213
341.67; MK 8800
341.68; MD 8700   
341.68; PR 2358
341.68; MZ 9000 - MZ 9050
341.68; MZ 8050
341.69; PR 2210
341.69; PR 2211
341.690268; PR 2211
341.690268; PR 2211
341.7; PR 2420
341.7; MK 4050
341.7; PR 2100 - PR 2131
341.7; MK 2250
341.72; MK 7670
341.72; MK 7750
341.72; MK 1800
341.72; PR 2556
341.722; PR 2621
341.722; MK 1650
341.73; MK 3500
341.73; PR 2550
341.73; PR 2554
341.733; MK 3600
341.733; PR 2556
341.733; MZ 6800
341.734; MZ 7850
341.734; MK 3600
341.734; PR 2556
341.735; MK 3000
341.735; MK 3400
341.738; MK 3100
341.738; PR 2556
341.75; PE
341.75; PS 3200
341.75; PU 1540
341.75; PR 2353
341.75; PT 420 - PT 425
341.75; PR 2353
341.7506; PS 3760
341.750614; PS 4270 
341.750614; PS 4200
341.750614; PS 4240 - PS 4260
341.751; PS 3280
341.751; PP 8000 - PP 8200
341.751; PP 8300 - PP 8999
341.751; PS 3520 
341.7511; PU 1545
341.75115; PS 3760
341.75115; QK 640
341.75115; PU 2100 - PU 9840
341.7512; PU 1545
341.7512; QK 400 - QK 490
341.7513; PU 1545
341.7513; QK 380
341.7513; QK 540
341.7513; QK 400 - QK 490
341.7513; PE 600 - PE 620
341.7514; PP 2500
341.7514; PD 3700 - PD 3720
341.752; QP 700 - QP 780
341.752; PP 4300 - PP 4309
341.752; MK 8500
341.7522; PU 1544
341.75232; PU 1544
341.75232; PE 550 - PE 570
341.75242; PU 1544
341.75242; PE 600 - PE 620
341.75244; QK 650
341.75244; PN 756
341.75244; PE 600 - PE 620
341.7526; QK 320
341.7526; QK 530
341.753; PU 1540
341.753; PU 1542
341.754; PR 2353
