sourcenotation;targetnotation
344.0328297; PU 1534
344.0328297; PD 7820 - PD 7860
344.0328297; PD 7300 - PD 8040
344.03288; PQ 6200 - PQ 6280
344.03288; PH 8600 
344.033; PS 3884
344.033; PN 426
344.033; PQ 2500 - PQ 2900
344.035; PH 5200 - PH 5270
344.03548; PH 5250
344.0356; PH 5250
344.035643; PH 5260
344.035643; PH 5250 
344.03565; PH 5280
344.04; PH 9020
344.041; PJ 2460 - PJ 2520
344.0411; PD 4500 - PD 4960           
344.0411; PJ 2460 - PJ 2520
344.0411; XL 1500 - XL 1599
344.0412; XL 1500 - XL 1599 
344.0412; PH 9020
344.04121; PD 4720
344.0412; XL 9200
344.0412; XL 4500 - PD 2520
344.04121; PD 4720      
344.0413; PI 4500 - PD 4960
344.04121; PD 4500 - PD 4960
344.04121; PJ 2980 - PJ 3100
344.04121; PJ 3080
344.0413; XC 5797      
344.0414; XL 9297     
344.0413; XL 9297
344.0413; XC 5900 - XC 5928
344.0414; PN 421
344.0415; PN 731
344.0414; PN 421
344.0415; PN 731
344.0416; PS 3920
344.0416; PN 732
344.0419; PN 423
344.0416; VR 2500
344.04192; PJ 3020
344.04192; PH 8740
344.04192; XL 4700
344.04194; YM 6100
344.04196; WG 1600
344.04196; XC 2800
344.04196; WG 7000
344.04196; PJ 2280
344.04196; PJ 2260 
344.04197; PD 8040
344.04196; XC 2800 
344.04197; PH 3850
344.04197; MS 6300
344.042; PD 6080
344.042; PN 770
344.042; PN 775
344.042; PU 1540   
344.0423; PN 426
344.0423; PJ 2920 
344.0423; PN 770
344.04232; PJ 2920
344.04232; PN 426
344.04232; PS 3884
344.04233; PJ 2860 - PJ 2920 
344.04233; PS 3884
344.04233; AR 29120
344.04235; PN 432- PN 470
344.04235; QR 460
344.0424; PN 808
344.043; PS 3906
344.043; PN 424 
344.043; PN 432 - PN 470
344.044; PH 5310
344.044; YH 8300 - YH 8399
344.044; PH 3360
344.0440269; PH 4500 - PH 5170
344.0440269; PH 9020
344.0446; MS 6470 
344.0446; DG 8500
344.0446; CW 6940
344.0446; YH 5927
344.04461; MS 6410
344.04463; MS 6410
344.045; PN 429
344.046; PN 792 - PN 798
344.046; AR 29000 - AR 39900
344.046; PR 2359
344.046; PS 3900 - PS 3910
344.0462; PN 806
344.0462; PS 3906
344.04622; PN 808
344.04622; AR 21340
344.04622; AR 21260
344.04622; AR 25740 
344.04626; PN 796
344.04626; PN 797
344.04626; AR 21650
344.0463; PN 801
344.04632; AR 21050 - AR 21380
344.04632; AR 14000 - AR 14200
344.04633; PN 808
344.046332; PN 806 - PN 809
344.046332; AR 21280
344.046334; AR 21220
344.046334; PN 806 - PN 809
344.046335; PN 806 - PN 809
344.046335; AR 21100
344.046336; AR 21000 - AR 21900 
344.046336; PN 806 - PN 809
344.04634; PN 809
344.04634; PR 803 - PN 805 
344.046342; AR 23400
344.046342; PN 803 - PN 805 
344.046343; PN 812 - PN 819
344.046343; AR 22400
344.04638; AR 24000 - AR 24900
344.04638; PN 801 
344.0464; PN 579 
344.0464; AR 16000 - AR 16900
344.0464; XE 3300 - XE 3399
344.0465; AR 17200
344.0465; VB 4150 - VB 4179
344.0465; QP 420 
344.047; QP 420
344.047; PN 802
344.047; PN 352 - PN 430
344.0472; PN 808
344.0476; PD 3180
344.0476; PD 6040
344.048; QU 200 
344.048; QX 300
344.048; MS 4150
344.049; PN 425
344.049; PN 804
344.049; PH 4330 
344.05; PN 352 - PN 430
344.05; PN 432 - PN 470
344.052; PN 380 - PN 397
344.052; PN 295
344.052; PS 3873
344.0531; AN 49600
344.0531; PE 740
344.0533; AP 29200
344.0533; PL 408
344.0533; PZ 3250
344.0533; PN 850
344.0534; PR 2359
344.0534; PR 2626
344.0534; QT 200
344.05348; PR 2626
344.0534936; PR 2626
344.0534958; PR 2626
344.0535; PN 455
344.0535; MZ 9500 - MZ 9650
344.0537; PN 407
344.0537; PN 453
344.05377; PN 453
344.05377; PN 407
344.054; PL 404
344.0541; PH 8520
344.0542; PD 4880
344.0544; PH 8820
344.0544; MS 2880
344.0545; PH 8520
344.0546; PI 4550
344.0546; MS 6440
344.0546; XL 4800 - XL 4899
344.0546; PH 3860
344.0547; MS 2880
344.0547; PR 2213
344.0547; MD 4700
344.06; PD 4580
344.06; PD 4760 - PD 4768
344.06; PN 562 - PN 615
344.063635; PD 4560 - PD 4580
344.0636351; PN 570
344.0672; PN 566 - PN 577
344.0672; PN 752
344.07; PN 862 - PN 889
344.07; PN 702 - PN 739
344.07; PL 410
344.071; PN 862 - PN 889
344.072; PN 889 
344.074; PN 928
344.074; PN 895
344.075; PN 905 - PN 928
344.075; AL 21400 - AL 22500
344.075; PS 3890
344.076; PN 905 - PN 928
344.076; AL 24000 - AL 25900
344.076; PN 869 - PN 886
344.0762; AK 30600
344.0762; QX 800 - QX 870
344.0762; PN 865
344.0763; AK 30600
344.0763; PN 862 - PN 865
344.0765; PN 869 - PN 886
344.0767; DN 3000 - DN 6109
344.0768; DK 8000
344.07682; DK 2000
344.07682; DK 8010 - DK 8019
344.07683; DK 8020 - DK 8029
344.07683; DK 8030 - DK 8039
344.07683; QX 860
344.07684; PN 905 - PN 928
344.07684; PN 930
344.07684; AL 32600
344.07684; DM
344.07684; QX 850 
344.07684; PS 3890
344.07685; DW 1000 - DW 1009
344.07685; PN 939
344.07685; QX 870
344.0769; QX 810
344.0769; DI 1000
344.0769; DY
344.077; DR 6200
344.077; DY
344.077; DP 1340 - DP 1349
344.077; DP 1400
344.078; DP
344.078; DN 1000 - DN 1009
344.078; PN 935
344.079; PN 862 - PN 889 
344.0791; DT
344.0791; PN 865
344.07911; DT 1800 - DT 7309
344.07912; DT 3000
344.079128; DT 1900 - DT 1909
344.07914; DT 1600 - DT 1609
344.0792; PN 862 - PN 889
344.0792; PN 892 - PN 939
344.0793; PN 869 - PN 886
344.0794; AL 47000 - AL 48450
344.07942; AL 47000 - AL 48450
344.07942; AL 47700
344.07942; PN 869 - PN 886
344.07942; PN 905 - PN 928
344.0795; AL 47000 - AL 47090
344.0795; PN 905 - PN 928
344.0795; PN 869 -  PN 886
344.0796; AL 48250
344.0796; PN 902 - PN 928
344.0796; PN 869 - PN 886
344.0798; AL 48200
344.0798; AL 48500 - AL 49400
344.08; AL 48250
344.08; AL 17900
344.08; DI 1000 - DI 1009
344.09; AL 20700
344.09; PN 849
344.09; PI 4000 - PI 4130
344.091; PI 4030
344.091; BR 5540
344.092; PN 852
344.092; AK 85600
344.093; AK 80000 - AK 89990
344.093; LH 29912 - LH 39910
344.094; AR 27400
344.094; LH 60300 - LH 60370
344.095; PL 408
344.095; AK 29100
344.095; PN 775
344.095; PN 892 - PN 939
344.0952; LH 84430
344.0952; PR 2206
344.0952; QC 344
344.0953; AK 29100
344.0954; PN 808
344.0955; PR 2359
344.0955; PI 4130
344.0957; PI 4130
344.0957; PN 790
344.096; BR 7500 - BR 7600
344.096; BR 8100 - BR 8400
344.096; PL 400 - PL 418 
344.097; PN 859
344.097; PI 4120 
344.097; PC 5350
344.099; PN 713
344.1; PI 4130
344.2; PS 3240 - PS 3300                                       
344.7301; PF 950 
344.7301133; PU 5310
344.7301133; PU 5322 
344.73012596; PU 5330
344.73014133; PU 5322
344.730159; PU 5327
344.73022; PU 5430
344.730226; PN 991
344.730226; QX 705 
344.73023; PQ 9000
344.73041; PU 5430
344.73041; PJ 3900
344.730411; PJ 3900
344.7304197; PJ 3900
344.73046; PI PH 3850
344.73046; PR 2359
344.7304622; AR 21000 - AR 21900
344.73046; AR 29360
344.73046; PN 806
344.73046; PN 792 - PN 798
344.73046342; PN 806         
344.73046342; AR 23000 - AR 23900
344.73046342; PN 792 - PN 798 
344.73046342; PS 3900                           
344.730465; AR 17200
344.73094; QP 420
344.730465; XE 7100 - XE 7199
344.94022; PU 9800                           
344.94022; PJ 4660  
345; PH 
345; PS 3960                 
345.01; PH 4800 - PH 4800  
345.02; PH 3190 
345.023; PH 3510
345.0231; PH 3540 - PH 3570          
345.0232; PI 4090
345.0232; PH 6100 - PH 7305
345.0232; PH 3600 - PH 3640
345.02322; PL 400 - PL 418
345.02322; PL 480
345.02323; PH 3610
345.02324; PH 3520
345.0233; PH 4100 -  PH 4120 
345.02332; AR 19920
345.02332; PH 8520 
345.02334; AP 98940          
345.02334; LE 3690
345.02334; PH 3980
345.02334; PH 8700 - PH 8940
345.02336; PP 2020 - PP 2029
345.02336; PH 8460
345.02336; PH 8470
345.02336; PH 8520
345.02336; PH 8700 - PH 8940
345.02338; PH 8840 - PH 8940
345.0234; QL 415
345.02338; PP 3350 - PP 3809
345.02338; PH 4120
345.02338; PP 3660
345.02338; PH 3930
345.0235; PL 400 - PL 418
345.0234; PL 417
345.0234; PH 5260
345.0234; MF 7600
345.0235; PR 2210
345.0235; PR 2208
345.0235; PR 2569
345.0235; PH 8200
345.0235; PR 2211
345.0235; PR 2213
345.0235; MK 1600
345.0236; PH 3540 - PH 3570
345.0237; PH 8720
345.0237; PH 8860
345.0237; PH 3890
345.0238; PR 2211
345.0242; PH 3790
345.0243; PH 6040 
345.0243; PR 2602
345.0243; PN 428 
345.0247; PH 4250 - PH 4270
345.0247; PN 630 - PN 670  
345.0247; PH 4350 - PH 4370
345.0247; PH 8920
345.025; PH 4340
345.0251; PH 6040
345.0252; PH 8720
345.0252; PR 2211
345.02522; PH 3840
345.02522; PH 3850
345.0252; PH 8740
345.02523; PH 3850
345.02522; PH 8740
345.02524; PH 3850
345.02525; PH 3840
345.02524; PH 8720
345.0253; PH 8720
345.02532; PH 8820
345.0253; PH 8940
345.02534; PH 8820
345.02536; PH 8800 - PH 8820
345.0254; PH 8820
345.02552; PH 8760
345.02555; PH 8760
345.025553; PH 8760
345.025554; PH 8740
345.0256; PH 8740
345.026; PH 8940
345.0258; PH 8860
345.0262; PH 8840
345.0263; PH 8920
345.0264; PH 3720   
345.0264; PH 8940
345.0265; PH 8760
345.0265; PH 8860
345.0266; PH 8840
345.0266; PR 2352
345.0268; PE 750 - PE 760
345.0268; PS 3380
345.0268; PZ 3400
345.027; PI 3580    
345.027; PH 8840 - PH 8940
345.0272; PN 713 
345.0272; PI 3580
345.0272; PH 8840 - PH 8940
345.0273; PH 8520
345.0274; PH 8800 - PH 8820
345.0277; PH 8520
345.028; PH 3980
345.028; PD 8020
345.0283; PH 8940
345.0285; PH 3860
345.0285; PH 8740
345.0285; XL 4700
345.0285; XL 4800
345.0285; PI 4550
345.0285; PH 3840
345.0287; PH 4330
345.0287; PN 804
345.0288; PH 4330
345.03; PH 8400 - PH 8400 
345.03; PH 3160
345.04; XL 1500 - XL 1599
345.04; PH 3800 - PH 3890
345.04; PI 4530 - PI 4560
345.04; PH 3130
345.04; PH 3070
345.05; PH 4500 - PH 5170
345.05; PH 6000 - PH 7305
345.05; PO 3550 - PO 3604
345.0504; PH 5090 - PH 5090
345.0504; PH 5150
345.05042; PH 4980 - PH 4990
345.05044; PH 4830
345.05044; PH 5080 - PH 5080
345.052; PH 4980 - PH 4990
345.052; PH 9000 - PH 9020
345.052; PH 5200 - PH 5320
345.0522; PH 4930
345.0527; PH 4910
345.0527; PH 4920
345.056; PH 5080 - PH 5080
345.056; PH 4850 - PH 4880
345.056; PH 3130
345.06; PH 4850 - PH 4880
345.062; PH 4880
345.062; PH 4880
345.062; PH 4370
345.064; PZ
345.064; ST 660
345.066; PH 4860
345.066019; PH 9020
345.066019; CW 8000
345.067; PH 6050
345.07; PH 9020
345.07; PH 4500 - PH 5170
345.07; PO 3575 - PO 3579
345.07; PO 4279
345.072; PH 4980 - PH 4990
345.075; PH 5010 - PH 5030
345.075; PH 5020
345.077; PH 50302 
345.077; PH 5170
345.077; PH 5400 - PH 5420
345.077; PH 8600
345.0772; PH 5030 
345.0773; PH 3200 - PH 3230
345.0773; PH 5200 - PH 5320
345.0773; PH 6135
345.08; PH 4400 - PH 4420
345.08; PO 3565 - PO 3569
345.08; PH 5300
345.081; PH 4420
345.081; PH 4800
345.087; PH 4420
345.1; PH 2770 (?)
345.2; PH 2770
345.2; PH 6130 - PH 6135
345.2; PS 3873  
345.411; PH 6160 - PH 6165
345.41101; PH 6160 - PH 6165
345.411012; PH 6160 - PH 6165
345.411014; PH 6160 - PH 6165
345.411016; PH 6160 - PH 6165
345.4110162; PH 6160 - PH 6165 
345.4110163; PH 6160 - PH 6165 
345.41108; PH 6160 - PH 6165
345.41108; PH 6164
345.42; PH 6160 - PH 6165    
345.4201; PH 6160 - PH 6165
345.42012; PH 6160 - PH 6165 
345.42014; PH 6160 - PH 6165
345.42016; PH 6160 - PH 6165
345.42018; PH 6160 - PH 6165
345.4202; PH 4520
345.4202; PH 8200   
345.4202; PH 4400 - PH 4420
345.73; PH 6400 - PH 6405
345.7302; PH 8470
345.7302; PH 6404 
345.730263; PH 6405
345.730263; PU 5430
345.730268; PU 5420
345.730268; PH 4320
345.730268; PH 6404
345.730268; PH 8900
345.7305; PH 6400 - PH 6435
345.7305; PU 5460
345.7305; PL 733  
345.730772; PH 6405
346; PD
346; PN 246
346; PS 3730
346; PT
346; PU
346.01; PD 7300 - PD 8040
346.012; PD 7300 - PD 8040
346.012; PD 6060
346.012; PD 3060
346.013; PI 3300
346.013; PI 3220
346.013; PD 3120
346.0134; MS 3200 
346.0134; PI 6500
346.0134; PI 3600
346.0135; PD 3060
346.0135; DR 6100                                                                           
346.0138; PD 3060
346.0138; CZ 3000
346.0138; YH 1527
346.015; PD 7300 - PD 8040
346.015; PG 468 
346.016; PD 7360 - PD 7620
346.016; PS 3750 
346.0163; PD 7770
346.0163; PD 7780
346.0166; MS 1930
346.0166; PD 7700 - PD 7760 
346.01662; PD 7580
346.01663; PD 7800
346.01663; PD 7480
346.01663; PD 7720
346.01663; PS 3750
346.01664; MS 1990
346.01664; PD 7540 - PD 7620
346.01665; PD 7400
346.01665; PD 7420
346.01668; PD 7640 - PD 7680
346.01668; PD 7700 - PD 7760
346.0168; PD 7770
346.0168; PD 7400 
346.017; PD 7860
346.017; PL 409
346.0171; PD 7820 - PD 7860
346.0172; PD 7880
346.0173; PD 7860
346.0175; PD 7840
346.0175; PD 7920
346.0178; PD 8020
346.0178089; PD 8020
346.018; PD 8040
346.02; PD 4000 - PD 4080 
346.022; PD 3460 - PD 3540
346.023; PN 562 - PN 615
346.023; PN 752
346.023; PD 4760 - PD 4768
346.023; PS 3878
346.023; PS 3580
346.024; PD 4680
346.024; PD 4768
346.024; PD 4660
346.025; PS 3730
346.025; PD 4900
346.025; PD 6760 - PD 6840
346.025; PD 4820
346.029; PD 4800
346.029; PD 6028
346.03; PD 6020 - PD 6180
346.031; PD 3780 - PD 3920
346.032; PD 3980
346.0322; PD 6160
346.0323; PD 6160
346.0323; PD 6040
346.033; PD 6040 
346.0334; PH 5050 - PH 5090
346.0334; PH 5150
346.034; PD 6060
346.036; PD 6200 - PD 7180
346.036; PD 3780 - PD 3920
346.038; PD 6080
346.04; PD 6200 - PD 7180
346.042; PD 6280 - PD 6320
346.043; PD 6220 - PD 6260
346.043; PD 6280 - PD 6320
346.0432; PD 6340 - PD 6840
346.0433; PD 6580 - PD 6588
346.0434; PD 4560 - PD 4580
346.0434; PD 4600
346.04344; PD 4560 - PD 4580
346.04344; PD 4600
346.04346; PD 4620
346.043462; PD 4540
346.04348; PD 8750
346.0435; PD 6660 - PD 6740
346.0436; PD 6420
346.04362; PD 6220
346.04362; PD 4320 - PD 4480
346.04362; PD 7100
346.04363; QT 382
346.04363; PD 4420
346.04364; PD 6800
346.0437; PD 4780
346.0437; PN 576
346.0437; QT 382
346.04371; PN 702 - PN 739
346.04373; PD 6480
346.04373; QQ 570
346.04377; PD 6660 - PD 6740
346.0438; PD 6360
346.044; PN 562 - PN 615
346.045; PN 571
346.045; PN 530
346.045; PN 562 - PN 615
346.045; PN 512 - PN 558
346.046; PN 567 - PN 572
346.04673153; PN 807
346.0467316; PN 807
346.0467316; PN 790
346.04673616; PN 797  
346.04675; PN 792 - PN 798
346.04675; PN 803 - PN 805
346.04675152; PN 805
346.04675153; PN 805
346.0467516; PN 803 - PN 805
346.046765; PN 830   
346.046782; PN 803 - PN 805
346.046782; AR 13760
346.046783; PN 803 - PN 805
346.046783; PN 806 - PN 809
346.0467845; PN 803 - PN 805 
346.04679; PN 842 - PN 847
346.0467915; PN 844
346.0467916; PN 846
346.04682; PN 846
346.046822; PN 846
346.046823; PN 846
346.0468232; PN 846
346.0468233; PN 846
346.04685; PN 846
346.046858; PN 782 - PN 847 
346.04691; PN 812 - PN 819
346.0469116; PN 812 - PN 819
346.046913; PN 806 - PN 809
346.046913; PN 812 - PN 819
346.0469162; PN 806 - PN 809
346.0469162; PN 812 - PN 819
346.0469163; PN 806 - PN 809
346.0469163; PN 812 - PN 819
346.046917; PN 806 - PN 809
346.046918; PN 812 - PN 819
346.046918; PN 806 - PN 809
346.04692; PN 801
346.04695; AR 13540
346.04695; PN 790 
346.0469516; PN 803 - PN 805
346.04695316; PN 790
346.0469534; PN 782 - PN 847
346.046954; PN 803 - PN 805
346.04695416; PN 803 - PN 805
346.0469549; PN 825
346.046956; PN 830
346.04695616; PN 803 - PN 805
346.0469569; PN 820
346.0469569; PN 830
346.04695816; PN 804
346.0469595; PN 820
346.047; PD 6860 - PD 7120
346.048; PE 695 - PE 745
346.048; PZ 3400
346.048; PZ 4600
346.048; PS 3800
346.0482; PE 740 - PE 745
346.0484; PE 730 - PE 735
346.0484; PE 720 - PE 725
346.0486; PE 710 - PE 715
346.0488; PE 730 - PE 735
346.0488072; PE 730 - PE 735
346.05; PD 8100 - PD 8380
346.052; PD 8120
346.054; PD 8160 - PD 8240
346.056; PD 8340 
346.057; PD 8340 
346.059; PD 3560
346.06; PE 365 - PE 485
346.06; PS 3780
346.06; PU 1542
346.06; PN 261(?) 
346.063; QP 800 - QP 890 
346.063; PP 5700
346.063; PE 357 - PE 359
346.0631; PP 5700
346.0631; PD 4740
346.064; PD 3140 - PD 3180
346.064; PD 3200
346.064; PN 260 - PN 264
346.065; PN 740 - PN 741
346.065; PE 365 - PE 485
346.065; PU 1540
346.0652; PU 1542
346.0652; PS 3780
346.066; PE 365 - PE 485
346.066; PE 380 
346.0662; PE 620
346.0662; PE 470
346.0664; PE 620
346.0664; QP 300 - QP 390
346.0664; PF 268
346.0664; PN 219
346.06642; PF 490
346.06642; MF 7340
346.06642; PE 397
346.06642; QV 584
346.06642; PN 219
346.06645; PE 430
346.06648; PP 5700
346.06648; PP 2240 - PP 2249
346.0666; PE 550 - PE 570
346.0666; PE 600 - PE 620
346.0666; PU 1544
346.0668; PE 390
346.0668; PE 397
346.0668; PS 3780
346.0668; PE 450
346.0668; PS 3280
346.067; PN 752
346.067; QR 420
346.067; PN 347  
346.068; QP 680
346.0682; PE 382 - PE 395
346.07; PE 338 - PE 360 
346.07; PD 4360
346.072; PS 3740
346.072; PD 4320 - PD 4480
346.072; PE 355
346.073; PD 4640
346.073; QK 540
346.073091734; QK 490
346.073091734; QK 500
346.073091734; PN 756
346.073091734; PE 600
346.073091734; PD 8800
346.074; PD 7040 - PD 7120
346.074; PD 6760 - PD 6840
346.074; PD 7040 - PD 7120
346.077; PD 4900
346.077; PD 3600 - PD 4160
346.077; QM 354
346.078; PG 550 - PG 580
346.078; PU 1560
346.078; QP 760
346.078; PH 3940
346.08; AR 28600
346.08; ZB 78000 - ZB 78099
346.082; PE 620 
346.082; PN 756
346.082; PS 3280
346.082; QK 010
346.08210285; PS 3280
346.08210285; QK 000
346.08210285; QK 305
346.08210285; ST 278
346.08212; QK 400 - QK 490
346.08215; QK 010
346.08215; PE 600 - PE 620
346.08215; QK 900 - QK 950
346.082152; MK 8400
346.082152; QM 333
346.0821532; QM 353
346.0821532; QK 330
346.0821702855; QK 320
346.0821752; PE 600 - PE 620
346.0822; PE 600 - PE 620
346.08232; PN 765
346.08232; PN 347
346.08232; QK 540
346.08232; PE 620
346.086; PN 765
346.086; PE 500 -  PE 530
346.086; QQ 600 - QQ 675
346.086; QK 540
346.086; PE 500 - PE 530
346.086; PQ 3640
346.086; PS 3820 
346.0861; PE 520
346.0860122; QQ 600
346.0860122; QQ 665
346.0860122; PE 530 
346.086092; QQ 640
346.086092; PE 530
346.086092; QQ 645
346.0861; PE 530
346.08632; QQ 655
346.08632; PE 530
346.086382; QQ 660
346.086382; PE 530
346.086384; QQ 650
346.086384; PE 530
346.086386; QQ 675
346.086386; PE 530
346.08642; QQ 650
346.0865; QQ 645
346.0865728; QQ 645
346.08683; QQ 675
346.086852; QQ 675
346.086854; QQ 675
346.08688; QQ 675
346.09; PE 620
346.092; QP 700 - QP 780
346.092; PE 620
346.0922; PE 620
346.0926; PE 600 - PE 620
346.096; QK 300
346.096; PE 550 - PE 570
346.1; ----- 
346.16704344; PW 9400
346.167077; PW 9400
346.2; PS 2400 - PS 3990
346.2; PU 1000 - PU 1560
346.3; PU 2100 - PU 1560
346.420150269; PU 4355
346.73013; PL 733
346.73013; MG 70968
346.73013; PU 5300
346.730134; PU 5322
346.730134; PU 5327
346.730166; PU 5370
346.73017; PU 5370
346.7302; PU 5330
346.7302; PI 3380
346.73023; QO 560
346.73023; PR 2602
346.7303; PU 5340
346.7303; PU 5400
346.730323; PU 5327
346.730323; MD 4780
346.73033; PH 6404
346.73033; PU 1532
346.73038; PU 5340
346.73038; PN 991
346.73038; PD 6080
346.73038; PU 1532
346.7304; PU 1533
346.73043; PU 1533
346.73043; QT 360 - QT 395
346.73043; PU 5350
346.73048; PU 5440
346.73048; PE 735
346.73048; PU 1547
346.730482; PE 740 _ PE 745
346.730486; PE 710 - PE 715
346.730486; PU 5440
346.730488; PU 5440
346.73052; PU 5380
346.73054; PU 5380
346.730652; PU 5440
346.73066; PU 5400
346.7306626; PU 5440
346.730666; PU 5410
346.7307; PU 5390
346.73073; PD 8800
346.73073; PU 1545
346.73073; PU 5420
346.73077; PD 4160
346.73077; PU 5460
346.73077; PU 5420 
346.73078; PU 5460
346.73082; PU 5420
346.73086; PU 5430
346.730922; PU 5410
346.94043209; PU 9800
347; PG
347; PS 3840
347.01; PG 450 - PG 475
347.012; PG 360 - PG 430
347.013; PG 360 - PG 430
347.014; PN 296
347.014; PC 6000 - PC 6030
347.014; PN 492
347.014; PG 360 - PG 430
347.016; PN 296
347.016; PG 430
347.017; PG 440 - PG 445 
347.02; PG 460
347.02; PW 7500
347.02; PG 360 - PG 430
347.03; PG 400
347.03; PC 3100
347.03; PH 5060
347.033; PH 5060 
347.035; PC 3100
347.035092; PC 5230
347.035092; PC 6000 - PC 6030
347.04; PU 1550
347.04; PC 3100
347.04; PH 4800
347.04; PI 3040
347.05; PG 450 - PG 475
347.0504; PG 450 - PG 475
347.05041; PW 6200
347.05041; PJ 2720 - PJ 2840
347.05041; PJ 3080
347.051; PH 4520
347.051; PG 450 - PG 475
347.051; PH 8200 
347.052; PD 3280
347.052; PG 460
347.053; PN 947
347.055; PN 947
347.055; PD 2620
347.055; PE 314
347.055; PF 280 - PF 285
347.055; PG 314
347.055; PQ 1550
347.06; PH 4850 - PH 4880
347.062; PH 4880
347.064; PH 4850 - PH 4880 
347.066; PH 4860 
347.066019; XL 8200 - XL 8299
347.066019; YH 8300 - YH 8399
347.067; PH 4870 
347.07; PH 4520
347.072; PH 4980 - PH 4990
347.075; PH 5010 - PH 5030
347.0752; PU 1550
347.0758; PU 1550
347.077; PH 5030
347.08; PH 5050 - PH 5070
347.09; PR 2557
347.09; PS 2960
347.09; PG 430                       
347.411; PU 4380 - PU 4385
347.411; PG 450 - PG 475
347.41101; PU 4380 - PU 4385 
347.41102; PU 4380  - PU 4385
347.41102; PU 4380  - PU 4385
347.41102; PU 4380 - PU 4385 
347.411021; PU 4380 - PU 4385 
347.411023; PU 4380 - PU 4385
347.411024; PU 4380 - PU 4385
347.41103; PU 4380 - PU 4385
347.411032; PU 4380 - PU 4385
347.411035; PU 4380 - PU 4385 
347.411039; PU 4380 - PU 4385
347.41104; PU 4380  - PU 4385
347.41105; PU 4380 - PU 4385
347.42; PU 4100 - PU 4390
347.42; HD 401
347.42; PL 715
347.4201; PU 4100 - PU 4390
347.42012; PU 4100 - PU 4390
347.4202; PU 4100 - PU 4390
347.4202; PU 4100 - PU 4390
347.4202; PU 4100 - PU 4390
347.42021; PU 4100 - PU 4390
347.42021; PL 715
347.42023; PU 4100 - PU 4390
347.42023; PL 715
347.42025; PU 4100 - PU 4390
347.42025; PL 715
347.42026; PU 4378
347.42026; PL 714
347.42026; PL 715
347.42027; PU 4378
347.42027; PL 714
347.42027; PL 715
347.42029; PU 4378
347.42029; PL 714
347.42029; PL 715
347.4203; PU 4378
347.42032; PU 4378
347.42035; PU 4378
347.42035; PL 715
347.42039; PU 4378
347.42039; PL 715
347.4204; PU 4378
347.4205; PU 4378
347.73; PU 5460
347.73; PU 5300
347.73; PL 730
347.73; PL 734
347.731; PU 5460
347.731; PL 730
347.731; PL 734
347.731; MG 70810
347.7312; PU PU 5460
347.7312; PL 730
347.7312; PL 734
347.7312; MG 70820
347.7314; MF 8100
347.7314; MG 70810
347.7314; PU 5460 
347.7314092; PI 5200 - PC 5230
347.7314092; MS 6850
347.732; PW 9300
347.732; PU 5460
347.732; PL 730
347.7322; PU 5460
347.7324; PU 5460
347.7326; PL 734
347.7326; PU 5460
347.7326; MG 70810
347.732609; NT 7300
347.732609; PL 728
347.732609; PL 734
347.732634; PC 5230
347.732634; PU 5210 ff.
347.732634; PL 734
347.7328; PU 5460
347.733; PL 730
347.733; MG 70810
347.733; PU 5230 ff.
347.734; MG 70810 
347.735; PG 450 - PG 475
347.735041; PG 363
347.735041; PH 3630
347.736; PH 4850 - PH 4880
347.736; PH 6400 - PH 6405
347.736; PU 5460
347.7367; PU 5460
347.73752; PU 5460
347.739; PU 5460
347.739; PG 450 - PG 475
347.74; PU 5300
347.74; PU 5460
348; PI 3040
348; PG 311
348; PG 330
348.01; PI 3090
348.01; PG 320
348.02; PG 330
348.02; MS 6900
348.02; PN 251
348.022; PG 330
348.022; --
348.023; PB 1050
348.024; ------
348.025;------
348.026; PA 1000
348.026; PB 1050
348.026; PD 1000
348.027; ------
348.028; PL 210
348.04; PL 210
348.04; PN 223
348.04; PN 942
348.04; PD 2080
348.041; PD 1000
348.041; PF 100
348.041; PP 1000
348.041; PO 1000
348.041; PG 100
348.041; PG 440
348.041; PH 2000 - PH 2099
348.041; PJ 0001
348.041; PM 1000
348.042; PN 313
348.043; PS 2920
348.044; BR 6500 - BR 6690
348.044; PG 360 - PG 430
348.044; PD 1000
348.044; PC 3100
348.045; PC 3100  
348.045; PD 4040
348.045; PN 231
348.046;  PL 210
348.046; PC 2000 - PC 2500
348.047; PC 2109 ff
348.048; PC 2000 - PC 2500
348.05; PC 4800
348.1; PS 3500
348.1; QY 000
348.2; PR 2400 - PR 2425
348.73; PL 733
348.73; PL 734
348.73; PU 5460
348.7304; PW 9300
348.7304; PU 5460
348.7304; PD 2800
348.731; PU 5300
348.731; PU 5305
348.732; PU 5300
348.732; PU 5460
348.7322; PU 5000
348.7322; PU 5202
348.7323; PU 5320
348.7324; PU 5203
348.7325; PU 5160 - PU 5200
348.7326; PU 5265
348.7327; PU 5275
348.7328; PU 5260
348.734; PU 5160 - PU 5200
348.7341; PU 5210 - PU 5251
348.7341; PU 5220 ff.
348.73413; PU 5210 ff.
348.73415; PU 5228 ff.
348.73415; PU 5230 ff.
348.7342; PU 5230 ff.
348.73422; PU 5251 ff.
348.73423; PU 5251 ff.
348.73424; PU 5251 ff.
348.73425; PU 5251 ff.
348.73426; PU 5251 ff.
348.73427; PU 5251 ff.
348.73428; PU 5251 ff.
348.7344; PU 5210 - PU 5251
348.7345; PU 5160 - PU 5200
348.7346; PU 5265
348.7347; PU 5275
