sourcenotation;x;y;z;targetnotation
TS 3800;100;2;50;563.4
TS 4000;100;2;50;563.4
TS 4200;100;1;100;563.5
TS 4400;100;1;100;563.55
TS 4600;100;2;25;563.55
TS 4800;100;2;25;563.55
TS 5000;100;2;25;563.55
TS 5200;100;2;25;563.55
TS 5400;100;1;100;563.58
TS 5600;100;2;25;563.55
TS 5800;100;2;25;563.55
TS 6000;100;1;100;563.6
TS 6200;100;2;50;563.6
TS 6400;100;2;50;563.6
TS 6600;100;2;25;563.6
TS 6800;100;2;25;563.6
TS 7000;100;2;25;563.6
TS 7200;100;2;25;563.6
TS 7400;100;1;100;564.67
TS 7600;100;1;100;564.68
TS 7800;100;2;25;564.68
TS 8000;50;4;50;562.6
TS 8000;50;4;50;565
TS 8200;100;2;25;564.68
TS 8400;100;2;25;564.68
TS 8600;100;2;25;564.68
TS 8800;100;2;25;564.68
TS 9000;100;2;25;564.68
TS 9200;100;2;25;564.68
TS 9400;100;2;25;564.68
TS 9600;100;1;100;562.3
TT 1000;100;1;100;564
TT 1500;100;1;100;564.4
TT 1600 - TT 2300;100;2;25;564.4
TT 3000;100;1;100;564.3
TT 3100;100;2;25;564.2
TT 3200;100;2;25;564.3
TT 3300;100;2;25;564.3
TT 3400;100;1;100;564.32
TT 3500;100;2;25;564.32
TT 3600;100;2;25;564.32
TT 3700;100;2;25;564.32
TT 3800;100;1;100;564.34
TT 3900;100;2;25;564.34
TT 4000;100;1;100;564.37
TT 4100;100;1;100;564.38
TT 4200;100;2;50;564.38
TT 4300;100;2;50;564.38
TT 5000;100;1;100;564.5
TT 5100;100;1;100;564.52
TT 5200;100;1;100;564.53
TT 5300 - TT 6100;100;2;25;564.53
TT 6200;50;3;100;564.56
TT 6200;50;3;100;564.58
TT 7000;100;1;100;562.7
TT 7100;100;1;100;565
TT 7200;100;1;100;565.4
TT 7300;100;2;50;565.49
TT 7400;100;2;50;565.4
TT 7500;100;2;50;565.49
TT 7600;50;3;100;565.39
TT 8000;100;1;100;565.39
TT 8100 - TT 8700;100;2;25;565.39
TT 8800;100;2;25;565
TT 8800;25;4;25;565.6
TT 9000;100;2;50;565.3
TT 9000;100;1;100;565.32-565.38
TT 9200;100;1;100;565.33
TT 9400;100;1;100;565.37
TT 9600;100;1;100;565.6
TT 9800;100;1;100;565.7
TU 1100;100;2;50;563.9
TU 1100;100;1;100;563.92-563.96
TU 1500;100;1;100;563.92
TU 2000;100;2;50;563.92
TU 2200;100;2;25;563.92
TU 2400;100;2;25;563.92
TU 2600;100;2;25;563.92
TU 2800;100;2;25;563.92
TU 3000;;;;
TU 4000;100;1;100;563.95
TU 4200;100;2;50;563.95
TU 4400;100;2;50;563.95
TU 4600;100;2;25;563.95
TU 4800;100;2;25;563.95
TU 5000;100;2;25;563.95
TU 5200;100;2;25;563.95
TU 5300;100;1;100;563.96
TU 5400;100;2;25;562
TU 5500;100;2;25;562
TU 6000;100;2;25;563.55
TU 6500;100;2;25;563.55
TU 6700 - TU 7500;100;2;25;563.55
TV 1000;100;1;100;566
TV 2000;50;3;100;567.2
TV 3700;50;3;100;567.2
TV 3900;50;3;100;567.2
TV 5000;100;1;100;567.3
TV 5200;100;2;50;567.3
TV 6200;100;2;50;567.3
TV 6500;100;2;50;567
TV 6500;100;2;50;567.4-567.7
TV 6700;100;2;50;567
TV 6700;100;2;50;567.4-567.7
TV 7500;100;2;25;567
TV 7700;100;2;50;567.39
TV 7900;100;2;50;567.39
TV 8000;100;1;100;567.8
TV 8200;100;2;50;567.8
TV 8400;100;2;50;567.8
TV 9500;25;4;25;567.91
TW 1000;100;1;100;567.9
TW 2000;100;1;100;567.92
TW 2500;100;2;50;567.92
TW 3000;100;1;100;567.937
TW 4000;25;4;25;567.91
TW 5000;100;1;100;567.94
TW 5500;100;2;50;567.94
TW 6000;100;2;50;567.91
TW 6200;100;1;100;567.98
TW 6400;100;1;100;567.918
TW 6500;100;2;50;567.91
TW 6500;50;3;100;567.912-567.915
TW 7000;100;2;50;567.93
TW 8000;100;1;100;568
TW 8200;100;1;100;568.22
TW 8400;100;2;50;568
TW 8500;100;2;50;568
TX 1000;100;1;100;569
TX 2100;100;2;25;569.29
TX 2200;100;2;25;569.29
TX 2300;100;2;25;569.29
TX 2400;100;2;25;569.29
TX 2500;100;2;25;569.2
TX 2600;100;2;25;569.2
TX 2700;100;2;25;569.2
TX 3000;100;1;100;569.7
TX 3500;100;2;50;569.5
TX 4000;100;1;100;569.63
TX 4500;100;2;25;569.62
TX 4600;100;2;25;569.62
TX 4700;100;2;25;569.62
TX 5000;100;2;25;569.62
TX 5100;100;2;25;569.31
TX 5200;100;2;25;569.62
TX 5300;100;2;25;569.62
TX 5400;100;2;25;569.62
TX 5500;100;2;25;569.62
TX 5600;100;1;100;569.67
TX 5700;100;2;25;569.67
TX 5800;100;2;25;569.67
TX 5900;100;2;25;569.67
TX 6000;100;2;25;569.67
TX 6100;100;2;25;569.67
TX 6200;100;2;25;569.62
TX 6300;100;1;100;569.68
TX 6400;100;2;50;569.5
TX 6500;100;2;50;569.5
TX 6600;100;1;100;569.66
TX 6700;100;1;100;569.668
TX 6800;100;1;100;569.665
TX 7000;100;2;25;569.31
TX 7100;100;2;25;569.31
TX 7200;100;2;25;569.31
TX 7500;100;2;25;569.31
TX 7600;100;1;100;569.32
TX 7700;50;3;100;569.35
TX 7700;50;3;100;569.36
TX 7700;50;3;100;569.37
TX 8000;100;2;50;569.33
TX 8500;100;2;50;569.33
TX 8600;100;1;100;569.4
TX 9000;100;1;100;569.8
TX 9500;100;2;50;569.8
TY - TZ;;;;
TY - TZ 8300;100;1;100;553
TY;100;2;50;553
TY 1000;100;2;50;553
TY 1100;50;4;50;553.1
TY 1200;50;4;50;552.1
TY 1300;50;4;50;552.3
TY 1400;50;4;50;552.2
TY 1500;100;1;100;553.16
TY 1600;50;4;50;553.19
TY 1700;;;;
TY 2000;100;1;100;553.13
TY 2000;50;4;25;551.3
TY 2100;;;;
TY 2200;;;;
TY 2300;;;;
TY 2400;;;;
TY 2500;;;;
TY 2600;;;;
TY 3000;;;;
TY 8000;50;4;50;553.19
TY 9000;100;1;100;553.46
TY 9025;100;1;100;553.3
TY 9050;100;1;100;553.4629
TY 9075;100;1;100;553.4643
TY 9100;100;1;100;553.48
TY 9125;100;1;100;553.4649
TY 9150;100;1;100;553.4646
TY 9200;100;2;50;553.4
TY 9225;100;1;100;553.43
TY 9250;50;3;100;553.44
TY 9250;50;3;100;553.452
TY 9275;100;1;100;553.453
TY 9300;100;1;100;553.492
TY 9325;100;1;100;553.4926
TY 9350;100;1;100;553.4929
TY 9375;100;1;100;553.4923
TY 9380;100;2;25;553.499
TY 9400;50;4;50;553.42
TY 9425;100;1;100;553.41
TY 9450;100;1;100;553.421
TY 9475;50;3;100;553.422
TY 9475;50;3;100;553.495
TY 9500;100;2;25;553.4
TY 9525;100;2;50;553.47
TY 9550;100;2;50;553.47
TY 9575;50;3;100;553.4623
TY 9575;50;4;50;553.465
TY 9575;50;4;25;553.499
TY 9600;100;2;50;553.465
TY 9625;100;2;50;553.47
TY 9650;100;1;100;553.454
TY 9700;100;1;100;553.493
TY 9725;100;1;100;553.4932
TY 9750;100;2;25;553.493
TY 9775;100;2;25;553.493
TZ 1000 - TZ 8300;100;2;50;553
TZ 1000;100;2;50;553
TZ 2000;;;;
TZ 2100;100;1;100;553.62
TZ 2200;100;2;25;553.6
TZ 2300;100;1;100;553.61
TZ 2400;100;2;25;553.61
TZ 2500;100;2;25;553.4926
TZ 3000;100;1;100;553.5
TZ 3100;25;4;25;552.26
TZ 3200;100;1;100;553.53
TZ 3300;100;2;50;553.51
TZ 3300;100;1;100;553.516
TZ 3400;100;1;100;553.54
TZ 3500;100;2;25;553.5
TZ 3600;100;1;100;553.52
TZ 4000;50;3;100;553.63
TZ 4000;50;3;100;553.64
TZ 4100;100;1;100;553.632
TZ 4200;100;1;100;553.636
TZ 4300;50;3;100;553.635
TZ 4400;100;2;25;553.63
TZ 4500;100;1;100;553.633
TZ 4600;100;2;50;553.64
TZ 4700;100;2;50;553.64
TZ 5000;;;;
TZ 5050;;;;
TZ 5100;;;;
TZ 5150;100;2;50;553.662
TZ 5200;;;;
TZ 5250;100;1;100;553.674
TZ 5300;100;1;100;553.672
TZ 5350;100;1;100;553.676
TZ 5400;;;;
TZ 5450;100;2;50;553.68
TZ 5550;;;;
TZ 5600;100;1;100;553.26
TZ 5650;25;4;25;553.65
TZ 5650;100;1;100;553.82
TZ 5700;;;;
TZ 5750;;;;
TZ 6000;100;1;100;553.668
TZ 7000;100;1;100;553.21-553.25
TZ 7100;100;1;100;553.21
TZ 7200;100;1;100;553.22
TZ 7200;25;4;25;553.23
TZ 7200;25;4;25;553.24
TZ 7300;100;1;100;553.24
TZ 7400;100;1;100;553.25
TZ 7500;100;1;100;553.28
TZ 7600;100;1;100;553.285
TZ 7700;100;1;100;553.282
TZ 7800;100;1;100;553.283
TZ 7900;50;3;100;553.27
TZ 7900;50;3;100;553.29
TZ 7900;25;3;100;553.879
TZ 8000;100;2;50;553.7
TZ 8100;100;1;100;553.79
TZ 8200;100;1;100;553.73
TZ 8300;50;4;50;551.23
TZ 9000 - TZ 9600;100;2;50;624.151
TZ 9000;100;2;50;624.151
TZ 9100;100;2;25;624.151
TZ 9200;100;2;50;624.15136
TZ 9300;100;2;50;624.151362
TZ 9400;;;;
TZ 9500;100;2;25;627
TZ 9600;50;4;25;627.81
TZ 9700;100;2;50;624.15132
