fromNotation;toNotation;type
10975-4;4115586-5;broad
19362-6;4002963-3;broad
12311-2;4152808-6;related
29940-0;4237563-0;exact
16427-5;4127768-5;narrow
16597-1;4317011-0;narrow
11071-1;4139005-2;exact
13988-1;4073141-8;related
13401-3;4120629-0;narrow
13401-3;4707841-8;narrow
19260-0;4522367-1;exact
29865-2;4448044-1;related
19552-1;4165121-2;broad
16768-0;4126111-2;narrow
13840-5;4117670-4;exact
15125-5;4173171-2;exact
13691-3;4004436-1;exact
29848-2;4062902-8;exact
13984-2;4132700-7;exact
13984-2;4000135-0;exact
29244-6;4602331-8;exact
11248-2;4157575-1;related
11248-2;4002812-4;related
19100-1;4273840-4;exact
19100-1;4129141-4;exact
14193-0;4179549-0;related
10097-2;4031980-5;exact
10353-3;4406772-0;narrow
18790-4;4132605-2;narrow
19813-6;4060306-4;narrow
19813-6;4018332-4;narrow
19813-6;4019907-1;narrow
19813-6;4162867-6;narrow
19813-6;4331571-9;narrow
15476-4;4113444-8;narrow
15476-4;4200173-0;narrow
15476-4;4120724-5;narrow
13481-0;1062572564;related
18810-3;4066431-4;narrow
18810-3;4190080-7;narrow
18810-3;4741959-3;narrow
16432-5;4211500-0;narrow
14273-2;4130660-0;exact
12770-5;4201794-4;related
12770-5;4120697-6;related
12770-5;4168908-2;related
12770-5;4120696-4;related
14933-0;4289043-3;related
14933-0;4194130-5;related
14933-0;4156261-6;related
11433-0;4073788-3;exact
19677-2;4120736-1;exact
19677-2;4474287-3;exact
11691-6;4057437-4;exact
13095-5;4467828-9;broad
16739-0;4193526-3;related
29634-0;4276573-0;exact
18000-3;4315403-7;narrow
18000-3;4121257-5;narrow
18000-3;7625336-3;narrow
18000-3;4376631-6;narrow
18000-3;4216130-7;narrow
18000-3;4294149-0;narrow
18000-3;4692657-4;narrow
18000-3;4011130-1;narrow
18000-3;4204752-3;narrow
18000-3;4225115-1;narrow
18000-3;4226455-8;narrow
18000-3;4215804-7;narrow
18000-3;4351684-1;narrow
18000-3;7625340-5;narrow
19758-2;4076334-1;exact
19275-1;4201791-9;exact
19805-5;4005541-3;exact
13967-2;4037166-9;exact
10377-3;4120891-2;exact
10006-3;4131339-2;related
10006-3;4508840-8;related
13777-0;4268532-1;related
13777-0;4438222-4;related
13777-0;4138463-5;related
12605-6;4057826-4;exact
19795-3;4137304-2;exact
11990-3;4193213-4;narrow
14105-2;4186268-5;narrow
19801-6;4275084-2;narrow
14436-0;4495338-0;related
10140-6;4026915-2;exact
10414-2;4066438-7;related
10414-2;4212287-9;related
16727-0;4004038-0;narrow
11180-3;4452733-0;narrow
11180-3;4120743-9;narrow
11180-3;4205007-8;narrow
11180-3;4112580-0;narrow
11180-3;4168993-8;narrow
11180-3;4156227-6;narrow
11180-3;4211385-4;narrow
11180-3;4158717-0;narrow
11180-3;4158971-3;narrow
11180-3;4036230-9;narrow
10376-5;4274175-0;related
24785-4;4129147-5;exact
18402-4;4074756-6;exact
15725-2;4483772-0;related
18392-2;4132281-2;exact
14106-0;7582964-2;related
14106-0;7534474-9;related
14106-0;4419476-6;related
14106-0;4246084-0;related
12930-2;4388731-4;exact
14015-3;4140123-2;exact
14015-3;4201944-8;exact
12644-3;4193802-1;related
12644-3;4384646-4;related
12644-3;4169079-5;related
10488-1;4173575-4;narrow
10488-1;4144269-6;narrow
16212-5;4137670-5;exact
18318-0;4141641-7;exact
18592-1;4143515-1;exact
18592-1;4179593-3;exact
28894-0;4075669-5;exact
19608-0;4074250-7;exact
12228-3;4125043-6;narrow
12228-3;4314333-7;narrow
12228-3;4163395-7;narrow
12228-3;4246638-6;narrow
12228-3;4167818-7;narrow
13824-3;4247914-9;related
13824-3;4344536-6;related
13824-3;4135086-8;related
13824-3;4144387-1;related
13824-3;4510053-6;related
13824-3;4179296-8;related
14796-5;4142083-4;exact
12049-3;4022149-0;exact
11769-2;4002627-9;narrow
11769-2;4194306-5;narrow
11769-2;4144425-5;narrow
10415-0;4128160-3;related
10956-1;4239351-6;related
10027-2;4236096-1;narrow
10027-2;4191347-4;narrow
10027-2;4125390-5;narrow
18118-1;4121590-4;exact
18118-1;7516446-2;exact
19740-0;4047538-4;exact
14100-5;4204383-9;exact
18721-2;4413520-8;exact
19761-6;4034869-6;exact
10876-6;4503315-8;related
16502-3;4065449-7;related
19660-5;4078881-7;narrow
19660-5;4295389-3;narrow
19660-5;4226679-8;narrow
19660-5;4176053-0;narrow
19660-5;4128254-1;narrow
19660-5;4308457-6;narrow
19660-5;4112848-5;narrow
13372-5;4025913-4;narrow
13372-5;4233285-0;narrow
13372-5;4132671-4;narrow
13372-5;4271975-6;narrow
13372-5;4179048-0;narrow
18960-5;4474648-9;related
10789-1;4385852-1;narrow
10789-1;1032091347;narrow
19626-5;4486719-0;narrow
19626-5;4379601-1;narrow
19626-5;4154483-3;narrow
29597-1;4325013-0;exact
10344-4;4180912-9;exact
10350-2;4125552-5;narrow
10498-5;4153316-1;exact
10498-5;4121389-0;exact
10498-5;4223712-9;exact
12246-1;4008802-9;exact
16436-4;4126263-3;exact
11066-1;4115461-7;related
19564-1;4233257-6;related
19564-1;7864460-4;related
19564-1;4022498-3;related
19564-1;4115618-3;related
15763-1;4061619-8;exact
12702-1;4435838-6;narrow
12702-1;4364681-5;narrow
12702-1;4213725-1;narrow
12702-1;4277099-3;narrow
12702-1;4120759-2;narrow
12702-1;4274901-3;narrow
12880-5;4006201-6;narrow
12880-5;4168084-4;narrow
14733-1;4126661-4;related
14733-1;4126660-2;related
16298-4;4040034-7;exact
16664-5;4077618-9;exact
18728-2;4146192-7;exact
12165-1;4314118-3;narrow
12165-1;7598952-9;narrow
12165-1;4135634-2;narrow
19263-1;4019902-2;broad
29727-0;4183472-0;exact
18178-4;4806898-6;narrow
15684-4;4379663-1;narrow
15684-4;4190046-7;narrow
12984-0;4139144-5;exact
13358-6;4043141-1;exact
30057-2;4133306-8;exact
13110-0;4387436-8;narrow
13110-0;4557274-4;narrow
13110-0;4396733-4;narrow
13110-0;4160539-1;narrow
16209-1;4076229-4;exact
16004-5;4034898-2;exact
15716-3;4201941-2;narrow
15716-3;4055743-1;narrow
15716-3;4129317-4;narrow
13141-3;4326751-8;exact
19151-5;4444724-3;related
15977-3;4052348-2;exact
19042-3;4175837-7;related
15468-3;4121731-7;narrow
13674-3;4146534-9;related
15888-2;4038953-4;exact
12981-6;4008059-6;narrow
18336-5;4003516-5;exact
16483-2;4138494-5;exact
19400-3;4250194-5;broad
12175-5;4334926-2;narrow
12175-5;4112623-3;narrow
12175-5;4131888-2;narrow
12175-5;4306559-4;narrow
16697-4;4162157-8;narrow
16697-4;4142059-7;narrow
11064-5;4184535-3;related
11064-5;4442914-9;related
19679-5;4137895-7;exact
14021-1;4240026-0;narrow
14021-1;4131237-5;narrow
18978-0;4200787-2;exact
13777-0;4114309-7;exact
16201-3;4066464-8;exact
11253-2;4122404-8;narrow
11253-2;4193868-9;narrow
11253-2;4198116-9;narrow
18550-3;4391592-9;exact
16354-6;4281175-2;narrow
16354-6;4173374-5;narrow
16354-6;4009016-4;narrow
16354-6;4034386-8;narrow
19043-1;4020616-6;exact
19043-1;4170264-5;exact
19539-0;4146080-7;narrow
18815-0;4132793-7;exact
12165-1;4588307-5;related
12165-1;4406426-3;related
13530-6;4306077-8;exact
13861-4;4066749-2;related
13861-4;4509392-1;related
13861-4;4131618-6;related
11916-1;4066508-2;exact
13357-1;4131892-4;related
10610-2;4135118-6;narrow
14600-6;4009865-5;narrow
15555-1;4475218-0;narrow
15555-1;4207850-7;narrow
15555-1;4123657-9;narrow
15555-1;4300607-3;narrow
15555-1;4263657-7;narrow
10606-0;4137393-5;narrow
19396-3;4129538-9;narrow
19164-3;4274322-9;exact
10966-5;4565395-1;narrow
10966-5;4402691-2;narrow
10966-5;4153498-0;narrow
10966-5;4078624-9;narrow
10966-5;4166686-0;narrow
13799-4;4027027-0;exact
18419-1;4140394-0;exact
18419-1;4177058-4;exact
11912-2;4215782-1;related
11912-2;4191595-1;related
11912-2;4134882-5;related
11912-2;4239568-9;related
12073-6;7859045-0;related
12073-6;4122392-5;related
14153-5;4265325-3;exact
13383-0;4133974-5;narrow
12621-1;4002752-1;exact
14366-2;4183574-8;narrow
14366-2;4144196-5;narrow
14854-3;4069934-1;exact
11638-3;4154423-7;narrow
10287-4;4120897-3;exact
10008-6;4125168-4;narrow
10008-6;4112480-7;narrow
10008-6;4269365-2;narrow
10008-6;4195393-9;narrow
10008-6;4417115-8;narrow
10008-6;4162254-6;narrow
10008-6;4191691-8;narrow
10008-6;4029565-5;narrow
10008-6;4153839-0;narrow
10008-6;4204663-4;narrow
10008-6;4206233-0;narrow
14906-3;4330421-7;related
19491-2;4129996-6;narrow
13985-0;4330710-3;narrow
13985-0;7634564-6;narrow
13985-0;4121066-9;narrow
13985-0;4138266-3;narrow
13985-0;7634567-1;narrow
13985-0;4054353-5;narrow
13985-0;4283455-7;narrow
13985-0;4694483-7;narrow
13985-0;4603799-8;narrow
14600-6;4197222-3;exact
15397-0;4172170-6;related
12733-4;4069794-0;exact
11788-5;4121624-6;exact
14184-1;4175694-0;exact
13064-2;4483025-7;narrow
12800-1;4237386-4;narrow
12800-1;4207166-5;narrow
12800-1;4482795-7;narrow
12800-1;4265284-4;narrow
12800-1;4124891-0;narrow
12800-1;4191285-8;narrow
12800-1;4606225-7;narrow
12800-1;4199378-0;narrow
13170-3;4016887-6;exact
13170-3;4154135-2;exact
13170-3;4154137-6;exact
12041-5;4165506-0;exact
12041-5;4069402-1;exact
12041-5;4274456-8;exact
16545-6;4055879-4;exact
15908-1;4125177-5;narrow
15908-1;4189401-7;narrow
15908-1;4189397-9;narrow
15908-1;4299462-7;narrow
15908-1;4019841-8;narrow
19350-6;4143229-0;exact
12265-4;4162896-2;related
12265-4;4189705-5;related
12265-4;4266153-5;related
12265-4;4874711-7;related
13354-0;4469364-3;narrow
13354-0;7643492-8;narrow
13354-0;4046472-6;narrow
13354-0;4210150-5;narrow
13354-0;4050755-5;narrow
13354-0;4220384-3;narrow
13354-0;4190470-9;narrow
13354-0;4177772-4;narrow
13354-0;4168184-8;narrow
13354-0;4056221-9;narrow
13354-0;4185771-9;narrow
15920-4;4272720-0;narrow
15920-4;4627895-3;narrow
16638-6;4034922-6;exact
29550-6;4047362-4;broad
12026-1;4072130-9;exact
12026-1;4998396-9;exact
29221-4;4140901-2;exact
18645-6;4342007-2;broad
16366-6;4075906-4;exact
14895-3;4138558-5;exact
10271-5;4138968-2;exact
12649-0;4436712-0;narrow
12649-0;4312250-4;narrow
10282-0;4311230-4;narrow
13998-5;7651003-7;narrow
13998-5;4144806-6;narrow
15675-5;4056366-2;exact
16226-1;4006092-5;related
16759-1;4424421-6;narrow
14035-4;4170242-6;related
26022-4;4198093-1;narrow
26022-4;4072915-1;narrow
26022-4;4201774-9;narrow
24781-5;4515875-7;exact
20409-3;4139162-7;broad
11313-3;4117634-0;related
11313-3;4157268-3;related
11313-3;4369764-1;related
15082-4;4161483-5;exact
10374-2;4164999-0;exact
15624-1;4058811-7;related
12203-5;4163283-7;related
19658-6;4431852-2;exact
12587-3;4115369-8;related
14997-2;4239945-2;exact
14554-1;4014266-8;narrow
10801-2;4214102-3;narrow
10801-2;4121226-5;narrow
10801-2;4015698-9;narrow
10801-2;4015696-5;narrow
10801-2;4249456-4;narrow
10801-2;4015692-8;narrow
10801-2;4214936-8;narrow
11638-3;4183197-4;exact
19212-4;4182666-8;related
29827-3;4036587-6;exact
18956-3;4195442-7;narrow
10964-2;4249323-7;related
12903-5;4066505-7;exact
19181-3;4172430-6;related
12280-1;4276973-5;narrow
12280-1;4219415-5;narrow
12280-1;4631465-9;narrow
12280-1;4141737-9;narrow
12280-1;4021547-7;narrow
12280-1;4417143-2;narrow
12280-1;4381647-2;narrow
12280-1;4189710-9;narrow
12280-1;4189703-1;narrow
12280-1;4125483-1;narrow
12280-1;4120474-8;narrow
18772-6;4759836-0;narrow
18772-6;1051858372;narrow
11235-4;4002737-5;exact
11235-4;4005982-0;exact
10314-6;4163275-8;narrow
11574-3;4066755-8;related
12766-3;4037589-4;exact
15062-3;4451047-0;exact
29052-1;4125229-9;related
19689-2;4182661-9;exact
12703-6;4040126-1;related
12703-6;4129148-7;related
12703-6;4120760-9;related
12703-6;4223393-8;related
12703-6;4248058-9;related
12703-6;4501292-1;related
12703-6;4501290-8;related
10024-1;4063065-1;exact
29649-1;4113337-7;exact
18427-2;4172664-9;broad
18427-2;4133005-5;broad
16430-2;4129503-1;exact
14931-4;4138379-5;related
14931-4;4114379-6;related
12786-4;4135134-4;exact
12051-2;4123423-6;exact
14513-1;7546571-1;related
14513-1;4427766-0;related
12072-1;7571585-5;exact
12072-1;4061963-1;exact
16184-5;4063696-3;exact
11223-4;4617594-5;exact
11262-1;4239371-1;related
11262-1;4498172-7;related
11262-1;4120744-0;related
12913-2;4133768-2;narrow
12913-2;4443423-6;narrow
12913-2;7677278-0;narrow
12913-2;4180499-5;narrow
12913-2;4156162-4;narrow
12913-2;4114623-2;narrow
12241-4;4113501-5;related
10243-3;4161833-6;related
10243-3;4262087-9;related
10243-3;4114021-7;related
14217-5;4786812-0;related
12285-5;4566178-9;exact
16445-3;4443916-7;narrow
16445-3;4117257-7;narrow
11160-2;4027208-4;exact
11765-3;4133628-8;exact
28237-1;4803997-4;exact
12088-0;4078609-2;exact
18073-4;4499867-3;related
18073-4;4192116-1;related
14603-0;4427432-4;narrow
18872-2;4222923-6;related
11813-4;4070814-7;exact
29732-0;4124487-4;exact
29732-0;4123790-0;exact
18822-3;4337462-1;exact
15376-1;4201186-3;narrow
15376-1;4139153-6;narrow
15376-1;4350059-6;narrow
15376-1;4127141-5;narrow
15376-1;4202470-5;narrow
15376-1;4245169-3;narrow
15376-1;4125908-7;narrow
15376-1;4189755-9;narrow
12760-1;4076362-6;exact
15982-3;4219220-1;related
12620-3;4058047-7;exact
18870-6;4053538-1;exact
10376-5;4200448-2;exact
13601-2;4379334-4;exact
13601-2;4192149-5;exact
16332-2;4062803-6;narrow
16332-2;4182674-7;narrow
29805-6;4214870-4;related
16460-0;4178671-3;exact
16460-0;4169950-6;exact
19154-6;7665645-7;related
19154-6;4267800-6;related
29971-3;4071876-1;broad
11677-0;4138862-8;exact
16136-2;4162086-0;narrow
16136-2;4173903-6;narrow
16136-2;4122914-9;narrow
16136-2;4501268-4;narrow
13294-6;4034928-7;exact
16454-2;4116489-1;exact
16454-2;4164679-4;exact
11653-0;4189713-4;narrow
11653-0;4132454-7;narrow
11653-0;4273321-2;narrow
19340-2;4136634-7;exact
16016-5;4062787-1;exact
15467-5;4225781-5;exact
10899-1;4160652-8;exact
14953-1;4073048-7;exact
13180-0;4651910-5;narrow
13180-0;4744075-2;narrow
13180-0;4494346-5;narrow
13180-0;7541266-4;narrow
13180-0;4033970-1;narrow
13180-0;4483033-6;narrow
13180-0;4166351-2;narrow
13180-0;4037222-4;narrow
13180-0;4247379-2;narrow
12844-2;4168909-4;narrow
12844-2;4193382-5;narrow
12844-2;4038221-7;narrow
12844-2;4133681-1;narrow
12844-2;4133682-3;narrow
12844-2;4134093-0;narrow
19459-5;4034026-0;related
14456-1;4275777-0;exact
15722-1;4055903-8;exact
30054-1;4226404-2;exact
19748-5;4171838-0;narrow
19748-5;4160079-4;narrow
19748-5;4166522-3;narrow
19124-1;4036886-5;exact
13153-3;4168874-0;narrow
11818-1;4159069-7;exact
19796-1;4170682-1;narrow
18519-4;4341335-3;related
20906-3;4501319-6;exact
13331-5;4163984-4;related
14354-2;4127798-3;exact
16391-0;4018520-5;exact
13315-3;4210162-1;exact
19222-1;4139090-8;exact
19643-5;4187207-1;exact
19643-5;4446288-8;exact
14180-2;4020285-9;related
15868-1;4131972-2;exact
18324-5;4138225-0;exact
14123-0;4526710-8;related
14123-0;4320793-5;related
19416-2;4221678-3;exact
10718-3;4143436-5;exact
10327-4;4047354-5;exact
14822-2;4129849-4;exact
13202-2;7562837-5;narrow
13202-2;4197813-4;narrow
12196-4;4186645-9;narrow
19315-1;4199281-7;narrow
19315-1;4238208-7;narrow
13340-4;4140339-3;broad
11479-4;4132736-6;related
11479-4;4214167-9;related
12617-6;4002767-3;exact
11640-2;4183227-9;narrow
18361-6;4449975-9;related
19068-6;4442471-1;exact
12027-6;4113859-4;exact
14065-2;4163030-0;exact
15480-6;4423574-4;related
18198-5;4341334-1;related
19341-0;4304841-9;narrow
19341-0;4139073-8;narrow
19341-0;4455169-1;narrow
19341-0;4256390-2;narrow
18688-2;4204791-2;exact
16245-4;4000243-3;exact
11653-0;4156517-4;exact
18409-4;4392674-5;narrow
29642-1;4456648-7;exact
24624-0;4603006-2;exact
18013-1;4124787-5;related
18013-1;4012181-1;related
13096-3;4217005-9;exact
11276-4;7630121-7;narrow
11276-4;4141636-3;narrow
11276-4;4166634-3;narrow
11276-4;4482864-0;narrow
11276-4;4034217-7;narrow
11276-4;7546982-0;narrow
11276-4;7521244-4;narrow
11276-4;4411314-6;narrow
11276-4;7664108-9;narrow
11276-4;4019065-1;narrow
11276-4;7628514-5;narrow
11572-0;4364728-5;narrow
11572-0;4071219-9;narrow
11572-0;4312759-9;narrow
13673-5;4059667-9;exact
11457-0;4215386-4;exact
19562-5;4121432-8;related
18173-0;4361756-6;exact
10734-5;4015756-8;exact
15605-5;7546673-9;narrow
15605-5;4269037-7;narrow
15605-5;7562931-8;narrow
15605-5;4386332-2;narrow
29987-2;4513644-0;exact
19674-1;4146709-7;narrow
19674-1;7708454-8;narrow
12758-2;4002804-5;narrow
12758-2;4208377-1;narrow
12758-2;4175796-8;narrow
12758-2;4126388-1;narrow
12758-2;4175806-7;narrow
12758-2;4336764-1;narrow
12758-2;4122093-6;narrow
12758-2;4215433-9;narrow
12758-2;4132516-3;narrow
12758-2;4246602-7;narrow
12758-2;4136843-5;narrow
12758-2;4120919-9;narrow
10326-6;4333374-6;narrow
10326-6;4175804-3;narrow
10326-6;4175480-3;narrow
13330-0;4236161-8;exact
16036-6;4053469-8;exact
16277-5;4046531-7;exact
16362-0;4165057-8;exact
30051-0;4153662-9;related
11051-0;4134037-1;exact
10913-5;4125570-7;broad
16405-1;4026486-5;exact
10897-5;4126619-5;narrow
10897-5;4113700-0;narrow
10897-5;4242252-8;narrow
10897-5;4187971-5;narrow
10897-5;4227349-3;narrow
14170-5;4140577-8;narrow
14170-5;4603748-2;narrow
14170-5;4129766-0;narrow
11599-1;4162068-9;narrow
11599-1;4177421-8;narrow
11599-1;4208865-3;narrow
11599-1;4208851-3;narrow
11599-1;4121866-8;narrow
11599-1;4154427-4;narrow
11599-1;4183229-2;narrow
11599-1;4143533-3;narrow
11599-1;4209299-1;narrow
19209-0;4027491-3;exact
15698-0;4553965-0;related
15698-0;4055252-4;related
18522-1;4229881-7;exact
14001-0;7541296-2;exact
14001-0;4002865-3;exact
14001-0;4874302-1;exact
14001-0;7565519-6;exact
14001-0;4161681-9;exact
19027-6;4238345-6;narrow
12848-1;4184629-1;narrow
19854-6;4188433-4;narrow
19854-6;4049302-7;narrow
19854-6;7542539-7;narrow
19394-0;4137882-9;exact
12774-4;4137412-5;narrow
12774-4;4168948-3;narrow
12774-4;4461741-0;narrow
12774-4;4122894-7;narrow
12774-4;4144858-3;narrow
12774-4;4200056-7;narrow
12774-4;4168937-9;narrow
12774-4;4134942-8;narrow
12774-4;4198123-6;narrow
12774-4;4200055-5;narrow
12774-4;4165039-6;narrow
12774-4;4215388-8;narrow
12774-4;4161287-5;narrow
12774-4;4168940-9;narrow
12774-4;4346294-7;narrow
12774-4;4151419-1;narrow
16193-4;4352710-3;related
10261-1;4288439-1;related
18207-2;4189682-8;exact
14906-3;4234299-5;narrow
18705-0;4182639-5;broad
12022-2;4136251-2;related
13635-6;4187230-7;exact
13197-4;4513423-6;narrow
13197-4;4403718-1;narrow
13197-4;4002323-0;narrow
13197-4;4055640-2;narrow
13197-4;4187954-5;narrow
18577-4;4076473-4;exact
19547-1;4120485-2;narrow
18521-3;4184593-6;exact
13014-3;4163583-8;exact
19750-4;4115604-3;exact
19747-0;4000626-8;exact
18343-1;4318429-7;related
15971-1;4160329-1;narrow
14118-0;4343162-8;related
14118-0;4146054-6;related
14118-0;4595932-8;related
14118-0;4275683-2;related
13776-2;4134687-7;exact
19226-0;4115594-4;narrow
19683-0;4663360-1;narrow
19124-1;4134173-9;narrow
12719-5;4154634-9;exact
10593-4;4219239-0;narrow
29864-4;4191095-3;exact
16619-3;4062024-4;exact
19498-2;4129526-2;exact
12181-3;4020591-5;exact
27813-3;7515603-9;exact
12171-6;4203966-6;exact
15722-1;4077606-2;narrow
15722-1;4202181-9;narrow
15722-1;4374101-0;narrow
15722-1;4055759-5;narrow
19975-1;4220631-5;exact
29943-1;4496586-2;exact
15720-5;4077587-2;exact
16395-6;4059534-1;exact
19292-1;4124883-1;narrow
11436-1;4193948-7;exact
15733-3;4189299-9;exact
13655-0;4016825-6;exact
28978-1;7613972-4;exact
13828-2;4063180-1;related
13828-2;4273590-7;related
13828-2;4187999-5;related
13828-2;4262310-8;related
13828-2;7578231-5;related
13828-2;4135086-8;related
13828-2;4188004-3;related
13828-2;4162060-4;related
13828-2;4063206-4;related
11362-4;4069341-7;exact
14955-4;4441256-3;narrow
11449-6;4128445-8;exact
16384-4;4165334-8;related
11302-1;4071497-4;exact
30034-0;4004646-1;exact
15869-6;4019535-1;exact
18758-0;4034823-4;broad
19744-6;4449808-1;narrow
29444-5;4187925-9;exact
10494-6;4055746-7;broad
18085-4;4212226-0;exact
15117-4;4115642-0;related
19192-5;4521597-2;narrow
19192-5;4164624-1;narrow
12232-5;4000932-4;exact
12232-5;4171138-5;exact
12020-6;4158415-6;narrow
12020-6;4191864-2;narrow
10808-2;4254823-8;narrow
11627-1;4123543-5;exact
10236-0;4121333-6;exact
16311-3;4134790-0;exact
18552-6;7659857-3;narrow
13341-2;4191991-9;narrow
13341-2;7573257-9;narrow
13341-2;4047154-8;narrow
18190-0;4358855-4;related
10426-2;4195665-5;related
10699-2;4200390-8;narrow
10699-2;4191859-9;narrow
10619-5;4162065-3;exact
14567-6;4065596-9;exact
19664-4;7635855-0;exact
19664-4;4195388-5;exact
12228-3;4035908-6;exact
19535-1;7679509-3;exact
16535-2;4114113-1;related
16535-2;4028863-8;related
18785-4;4235035-9;narrow
18785-4;4391582-6;narrow
18785-4;4194020-9;narrow
10942-5;4170480-0;narrow
15716-3;4077572-0;exact
14055-5;4319308-0;related
14055-5;4353347-4;related
11060-6;4055785-6;exact
11309-1;4026139-6;related
11716-2;4026944-9;exact
29624-3;7509005-3;exact
10614-1;4027337-4;exact
14049-0;4001735-7;narrow
12088-0;4174810-4;related
11578-2;4144130-8;exact
15102-3;4204093-0;exact
12356-1;4006235-1;exact
16268-6;4124941-0;exact
16336-1;4063353-6;exact
14933-0;4392697-6;exact
16209-1;4046563-9;related
19581-1;4056995-0;exact
11902-5;4217838-1;exact
10048-1;4121955-7;narrow
18378-3;4064811-4;exact
16594-0;4017985-0;exact
18074-2;4126464-2;related
14150-4;4305560-6;related
14150-4;4721740-6;related
14150-4;4196936-4;related
29102-5;4326464-5;exact
19296-0;4163036-1;narrow
29990-6;4121207-1;broad
19720-6;4065004-2;exact
18380-2;4057020-4;narrow
29786-5;4732699-2;broad
13385-3;4343459-9;related
13385-3;7541447-8;related
13763-4;4248062-0;narrow
13763-4;4190706-1;narrow
10002-4;4164774-9;related
11782-3;4133918-6;related
11782-3;4183808-7;related
11782-3;4123985-4;related
11782-3;4294243-3;related
10049-6;4250489-2;narrow
10049-6;4124502-7;narrow
19338-3;4123620-8;narrow
19338-3;4649359-1;narrow
19754-3;4138354-0;exact
15105-4;4224391-9;narrow
15105-4;4427423-3;narrow
14181-0;4130174-2;related
14181-0;4187183-2;related
14181-0;4187189-3;related
14181-0;4627372-4;related
19860-4;4063690-2;narrow
19860-4;4073091-8;narrow
14037-0;4348520-0;narrow
14037-0;4132669-6;narrow
14728-1;4026655-2;narrow
14728-1;4001848-9;narrow
12218-6;4136230-5;exact
11414-4;4368756-8;exact
10297-1;4166446-2;exact
10822-1;4259212-4;related
10822-1;4240901-9;related
12585-0;4018776-7;exact
12585-0;4200179-1;exact
12224-4;4114044-8;exact
12224-4;4162244-3;exact
12224-4;4137114-8;exact
14831-1;4352518-0;exact
19044-6;4187713-5;exact
10774-0;4042669-5;exact
13152-5;4183062-3;narrow
13152-5;4043057-1;narrow
13152-5;4260099-6;narrow
13152-5;7592517-5;narrow
13152-5;4489555-0;narrow
13152-5;4189460-1;narrow
12401-1;4127073-3;exact
13145-2;4153524-8;narrow
13145-2;4167251-3;narrow
13145-2;4154401-8;narrow
13145-2;4602499-2;narrow
13145-2;4190016-9;narrow
13145-2;4442786-4;narrow
13145-2;4186395-1;narrow
13145-2;4064881-3;narrow
13145-2;4168991-4;narrow
13145-2;4548570-7;narrow
13145-2;4347096-8;narrow
13145-2;4299337-4;narrow
13145-2;4473138-3;narrow
13145-2;4482862-7;narrow
13145-2;4212481-5;narrow
13145-2;4183702-2;narrow
13145-2;4471625-4;narrow
13145-2;7594093-0;narrow
13145-2;4706971-5;narrow
13145-2;4198018-9;narrow
15889-0;7620692-0;narrow
10113-2;4190152-6;narrow
10113-2;4185880-3;narrow
13381-4;4165099-2;narrow
13523-3;4129465-8;exact
11004-2;4066470-3;narrow
11004-2;4174803-7;narrow
11004-2;4161505-0;narrow
29959-0;7577300-4;exact
13983-4;4837576-7;narrow
13983-4;7593630-6;narrow
13983-4;4138252-3;narrow
13983-4;4220845-2;narrow
13983-4;4397461-2;narrow
13983-4;7535203-5;narrow
18775-0;4066583-5;related
18775-0;4190109-5;related
14341-4;4047843-9;exact
29907-5;4192219-0;related
29907-5;4139581-5;related
12912-4;4025763-0;exact
16510-4;7633552-5;narrow
14640-1;4031648-8;narrow
14640-1;4158067-9;narrow
14640-1;4178736-5;narrow
14640-1;4057516-0;narrow
10008-6;4027556-5;exact
18684-3;7628785-3;narrow
18684-3;4267530-3;narrow
14634-3;4064784-5;exact
15480-6;4050133-4;exact
13533-0;4022859-9;exact
12725-3;4713256-5;narrow
12725-3;4679032-9;narrow
12725-3;4154150-9;narrow
29970-5;4066472-7;exact
11327-6;4168069-8;related
11327-6;4168065-0;related
11327-6;4453818-2;related
16666-1;4001223-2;exact
14098-1;4065287-7;exact
13082-0;4328976-9;related
12915-5;4063323-8;narrow
12915-5;4026808-1;narrow
15654-6;4125698-0;exact
30055-6;4000320-6;exact
18760-6;4114372-3;exact
18783-1;4079184-1;exact
10905-4;4037647-3;exact
10210-4;4135346-8;exact
15901-1;4058271-1;exact
12195-6;4078596-8;related
12946-1;4169917-8;narrow
11686-6;4203134-5;exact
28488-4;4010178-2;exact
15713-2;4012472-1;exact
18379-1;4064811-4;related
18379-1;4138608-5;related
13715-1;4261795-9;related
13715-1;4122774-8;related
13715-1;4287480-4;related
13715-1;4277086-5;related
16550-6;4145207-0;narrow
16550-6;4056784-9;narrow
13464-0;4023249-9;exact
19204-3;4232912-7;exact
13381-4;4311268-7;related
11910-6;4127454-4;narrow
16563-4;4055916-6;exact
11111-1;4079190-7;exact
11111-1;4132530-8;exact
11742-1;4194651-0;exact
15861-1;4197971-0;related
12244-5;4187980-6;related
12244-5;4233251-5;related
12244-5;4125987-7;related
12244-5;4029567-9;related
12244-5;4247918-6;related
12244-5;4125998-1;related
29997-6;4004363-0;exact
29856-3;4063635-5;exact
16554-5;4139191-3;related
19345-6;4154009-8;narrow
19345-6;4332235-9;narrow
10928-6;4114519-7;narrow
10928-6;4125820-4;narrow
19253-4;4031369-4;narrow
19253-4;4195141-4;narrow
19253-4;4292931-3;narrow
19253-4;4112497-2;narrow
19253-4;4388633-4;narrow
