fromNotation;toNotation
QH 450;31.12
QH 450;53.71
QH 451;31.12
QH 452;31.8
QH 460;53.72
QH 461;83.65
QH 462;85.03
QH 463;85.32
QH 465;85.35
QH 470;54.76
QH 470;85.06
QH 471;31.8
QH 471;70.03
QH 472;85.62
QH 499;85.99
QH 500;83.03
QH 700;54.72
QH 710;53.71
QH 720 - QH 740;30.1
QH 720;30.1
QH 721;50.23
QH 730;54.1
QH 740;81.51
QI;83.12
QI 000;83.12
QI 100;83.01
QI 200 - QI 400;83.14
QI 200;83.14
QI 250;31.8
QI 250;83.12
QI 300;83.12
QI 400;85.3
QI 500 - QI 550;83.3
QI 500;83.3
QI 520;83.1
QI 530;83.03
QI 540;83.14
QI 550;83.03
QK;83.5
QK;83.7
QK 000;83.7
QK 010;83.5
QK 100;15.09
QK 200 - QK 240;83.5
QK 200 - QK 240;83.44
QK 200;83.5
QK 210;83.5
QK 210;15.09
QK 220;83.5
QK 220;83.44
QK 230;83.44
QK 240;83.44
QK 300 - QK 380;83.7
QK 300;83.7
QK 305 - QK 380;83.7
QK 305;83.44
QK 310;83.7
QK 320;83.7
QK 325;83.7
QK 330;83.7
QK 330;85.25
QK 340;83.7
QK 340;85.06
QK 350;83.7
QK 350;85.1
QK 370;83.7
QK 370;85.4
QK 380;83.7
QK 400 - QK 490;83.7
QK 400;83.7
QK 410;15.09
QK 480;83.7
QK 490;83.7
QK 490;83.5
QK 500 - QK 570;83.5
QK 500;83.5
QK 510;86.25
QK 520;83.5
QK 530;86.25
QK 540;86.25
QK 550;83.7
QK 560;83.7
QK 560;85.3
QK 570;86.25
QK 600 - QK 660;83.5
QK 600;83.5
QK 620;83.5
QK 622;85.3
QK 626;83.5
QK 628;83.03
QK 630;83.5
QK 640;83.5
QK 650;83.5
QK 651;83.5
QK 660;85.3
QK 700 - QK 710;83.5
QK 700;83.5
QK 710;83.01
QK 800 - QK 820;85.3
QK 800;85.3
QK 810;85.3
QK 820;83.5
QK 900 - QK 950;83.5
QK 900;83.5
QK 910;83.01
QK 920;83.5
QK 950;83.7
QK 950;83.5
QL;83.52
QL;85.27
QL 000;83.52
QL 010;83.52
QL 020;83.52
QL 020;88.13
QL 030;83.52
QL 040;83.52
QL 050;83.52
QL 100;15.09
QL 200 - QL 300;86.72
QL 200;86.72
QL 201;83.52
QL 218;86.72
QL 218;83.52
QL 220;86.72
QL 220;83.52
QL 221;86.72
QL 221;83.52
QL 223;86.72
QL 223;83.52
QL 225;86.72
QL 225;83.52
QL 241;86.72
QL 241;83.52
QL 245;86.72
QL 245;83.52
QL 248;86.72
QL 248;83.52
QL 250;86.72
QL 250;83.52
QL 262;86.72
QL 262;83.52
QL 270;86.72
QL 270;83.52
QL 300;83.52
QL 400 - QL 710;86.73
QL 400 - QL 710;83.52
QL 400;86.73
QL 410;85.27
QL 415;86.38
QL 418 - QL 470;83.52
QL 418;83.52
QL 420;83.52
QL 421;83.52
QL 423;83.52
QL 425;83.52
QL 441;83.52
QL 445;83.52
QL 448;83.52
QL 450;83.52
QL 462;83.52
QL 470;83.52
QL 500 - QL 550;86.73
QL 500;86.73
QL 510;85.27
QL 520;86.73
QL 530;86.73
QL 540;86.73
QL 550;86.73
QL 600 - QL 645;86.73
QL 600 - QL 645;83.52
QL 600;83.52
QL 610 - QL 620;86.73
QL 610;86.73
QL 611;86.73
QL 612;86.73
QL 620;86.73
QL 630 - QL 633;86.73
QL 630;86.73
QL 631;86.73
QL 632;86.73
QL 633;86.73
QL 640 - QL 645;86.73
QL 640;86.73
QL 641;86.73
QL 642;86.73
QL 643;86.73
QL 644;86.73
QL 645;86.73
QL 700 - QL 710;83.52
QL 700 - QL 710;83.13
QL 700 - QL 710;83.3
QL 700;83.52
QL 710;83.01
QL 800 - QL 840;85.27
QL 800;85.27
QL 810;85.27
QL 820;86.73
QL 830;85.27
QL 830;86.73
QL 840;85.27
QM;83.44
QM 000;83.44
QM 100;15.09
QM 200 - QM 250;83.4
QM 200;83.4
QM 220;83.11
QM 230;83.4
QM 240;83.48
QM 250;83.4
QM 300 - QM 520;83.44
QM 300;83.4
QM 330 - QM 340;83.5
QM 330;83.5
QM 331;83.44
QM 332;83.5
QM 332;83.44
QM 333;83.44
QM 333;83.5
QM 333;89.73
QM 334;83.44
QM 340;83.44
QM 350 - QM 355;83.44
QM 350;83.44
QM 350;83.5
QM 352;83.5
QM 353;83.46
QM 354;83.5
QM 355;85.3
QM 400 - QM 435;83.4
QM 400 - QM 435;83.3
QM 400;83.3
QM 410;83.01
QM 420;89.73
QM 430;89.73
QM 435;83.4
QM 500 - QM 520;89.91
QM 500;89.91
QM 510;15.09
QM 520;89.93
QN;83.33
QN 000;83.33
QN 100;15.09
QN 200;83.33
QN 300 - QN 320;83.33
QN 300;83.33
QN 320;85.4
QN 320;83.14
QO;89.8
QO;15.09
QO 000;89.76
QO a;89.8
QO 100;15.09
QO 100;89.76
QO 200;89.8
QO 300;89.87
QO 350;89.77
QO 400;89.8
QO 450;89.89
QO 510 - QO 620;89.8
QO 510 - QO 620;15.09
QO 700;89.77
QP;85
QP 000;85
QP 010;1.1
QP 100 - QP 150;85.03
QP 100;85.03
QP 110;85.03
QP 120;85
QP 140;85
QP 150;85
QP 150;85.06
QP 200 - QP 240;85.03
QP 200;85.03
QP 210 - QP 215;85.15
QP 210;85.15
QP 215;85.15
QP 215;50.06
QP 220;85.09
QP 221;50.07
QP 225;50.2
QP 230;85.3
QP 240;86.62
QP 300 - QP 390;85.06
QP 300;85.06
QP 305;85.06
QP 310;85.06
QP 320;85.06
QP 321;85.38
QP 322;85.06
QP 323;85.02
QP 325;2.4
QP 327;85.03
QP 330;85.27
QP 340 - QP 345;85.09
QP 340;85.09
QP 341;85.06
QP 342;85.05
QP 343;85.06
QP 344;53.76
QP 344;85.2
QP 345;6.74
QP 345;6.35
QP 345;53.71
QP 350;85.2
QP 360;85.06
QP 361;85.1
QP 370 - QP 373;81.91
QP 370 - QP 373;81.92
QP 370;81.7
QP 371;81.91
QP 373;54.76
QP 380;1.3
QP 390;85.06
QP 410 - QP 420;85.52
QP 410;85.5
QP 413;85.52
QP 415;85.52
QP 416;83.14
QP 420;85.52
QP 440 - QP 450;86.27
QP 440;86.27
QP 441;86.27
QP 442;86.27
QP 443;86.27
QP 444;86.27
QP 445;86.27
QP 447;86.27
QP 450;83.32
QP 450;85.06
QP 500 - QP 550;85.35
QP 500 - QP 550;85.32
QP 500;85.32
QP 505;85.32
QP 510;85.35
QP 530;85.32
QP 540 - QP 550;85.35
QP 540;85.35
QP 542;52.7
QP 543;52.7
QP 544;85.35
QP 544;50.16
QP 550;85.32
QP 600 - QP 690;85.4
QP 600;85.4
QP 610 - QP 611;85.4
QP 610;85.4
QP 611;85.4
QP 612;85.4
QP 620;85.4
QP 621;85.4
QP 622;85.4
QP 624;85.15
QP 630 - QP 690;85.4
QP 630 - QP 690;85.06
QP 630;85.4
QP 631;83.05
QP 631;85.4
QP 631;77.93
QP 632;85.4
QP 633;85.4
QP 634;5.31
QP 637;85.06
QP 650;85.4
QP 680;85.4
QP 690;85.4
QP 700 - QP 780;85.3
QP 700;85.3
QP 710;85.3
QP 715;70.03
QP 715;31.8
QP 720;85.3
QP 730;85.1
QP 740;85.3
QP 750 - QP 760;85.3
QP 750;85.3
QP 752;85.3
QP 755;85.3
QP 760;85.3
QP 770;85.3
QP 780;85.3
QP 800 - QP 890;85.25
QP 800 - QP 890;83.12
QP 800;85.25
QP 800;83.12
QP 810;85.25
QP 820 - QP 829;85.25
QP 820;85.25
QP 821;85.25
QP 822;85.25
QP 823;85.25
QP 824;85.25
QP 825;85.27
QP 826;85.25
QP 827;85.25
QP 828;85.25
QP 829;85.25
QP 830 - QP 840;85.25
QP 830;85.25
QP 832;85.25
QP 833;85.25
QP 834;85.25
QP 836;85
QP 836;85.25
QP 840;85.25
QP 851 - QP 890;85.25
QP 851;85.25
QP 852;85.25
QP 870;88.1
QP 870;85.27
QP 880;85.25
QP 890;85.3
QQ;85.99
QQ 000;85.99
QQ 200;85.99
QQ 200;85.06
QQ 250;83.68
QQ 300;83.67
QQ 400 - QQ 460;83.71
QQ 400 - QQ 460;85.4
QQ 400;83.71
QQ 400;85.4
QQ 430;83.71
QQ 430;85.99
QQ 440;83.71
QQ 440;85.99
QQ 460;83.4
QQ 460;85.99
