fromNotation;sourcepreflabel;toNotation;targetpreflabel
025.54;Lektüreberatung für Einzelpersonen und Gruppen;AN 76400;Auskunft, Information
025.54;Lektüreberatung für Einzelpersonen und Gruppen;AN 96200;Auskunft und Beratung
025.56;Benutzerorientierung und Benutzerschulung;AN 77500;Bibliotheksbenutzer, Benutzerforschung, Benutzeranalyse
025.58;Bibliotheksnutzungsstudien;AN 76000;Bibliotheksbenutzung: Allgemeines 
255.874;Öffentliche Bibliotheken Nutzungsstudien;AN 76000;Bibliotheksbenutzung: Allgemeines
255.877;Wissenschaftliche Bibliotheken Nutzungsstudien;AN 76000;Bibliotheksbenutzung: Allgemeines
255.878;Schulbibliotheken Nutzungsstudien;AN 76000;Bibliotheksbenutzung: Allgemeines
025.6;Leihverkehr;AN 76700;Leihverkehr, Fernleihe
025.62;Fernleihe;AN 76700;Leihverkehr, Fernleihe
025.7;Technische Buchbearbeitung;AN 73000;Datenverarbeitung: Allgemeines
025.8;Bestandspflege und Bestandserhaltung;AN 72300;Bestandssicherung
025.8;Bestandspflege und Bestandserhaltung;AN 72400;Buchaussonderung, Behandlung veralteter Bestände
025.81;Bestandsaufstellung und Zugang zu den Beständen;AN 72000;Buchaufstellung: Allgemeines
025.82;Sicherung gegen Diebstahl und andere Risiken;AN 72300;Bestandssicherung
025.84;Erhaltung;AN 72300;Bestandssicherung
026-027;Einzelne Arten von Einrichtungen;AN 67000 - 69900;Bibliotheksarten
026;Fachgebiets- und themenspezifische Bibliotheken, Archive, Informationszentren;AN 68200;Fachbibliotheken
260.006;Organisationen;AN 68200;Fachbibliotheken
260.006;Organisationen;AN 70000;Bibliotheksverwaltung: Allgemeines
026.00068;Management;AN 68200;Fachbibliotheken
026.00068;Management;AN 70000;Bibliotheksverwaltung: Allgemeines
026.001-026.999;Einzelne Themen und Fachgebiete;AN 68200;Fachbibliotheken
026.09;Rarabibliotheken;AN 68800;Sonstige
026.33;Wirtschaftswissenschaftliche Fachbibliotheken;AN 68200;Fachbibliotheken
026.34;Juristische Fachbibliotheken;AN 68200;Fachbibliotheken
026.5;Naturwissenschaften Bibliotheken;AN 68500;Naturwissenschaften
026.55;Geowissenschaftliche Fachbibliotheken;AN 68500;Naturwissenschaften
026.6;Technische Fachbibliotheken;AN 68700;Technische Wissenschaften
026.61;Medizinische Fachbibliotheken;AN 68600;Medizin und angewandte Wissenschaften
026.63;Agrarwissenschaftliche Fachbibliotheken;AN 68700;Technische Wissenschaften
026.7;Kunstbibliotheken;AN 68800;Sonstige
026.78;Musikbibliotheken;AN 68800;Sonstige
026.954;Südasien-Fachbibliotheken;AN 82000;Ausländische Bibliotheken
026.954;Südasien-Fachbibliotheken;AN 68800;Sonstige
026.973;USA. National Archives and Records Administration;AN 82000;Ausländische Bibliotheken  
026.973;USA. National Archives and Records Administration;AN 68800;Sonstige
027;Allgemeinbibliotheken, Archive, Informationszentren;AN 67000;Bibliotheksarten: Allgemeines
027.006;Organisationen;AN 67000;Bibliotheksarten: Allgemeines
027.006;Organisationen;AN 70000;Bibliotheksverwaltung: Allgemeines
027.0068;Management;AN 67000;Bibliotheksarten: Allgemeines
027.0068;Management;AN 70000;Bibliotheksverwaltung: Allgemeines
027.009;Historische und personenbezogene Behandlung;AN 67000;Bibliotheksarten: Allgemeines
027.009;Historische und personenbezogene Behandlung;AN 80000;Bibliothekswesen in einzelnen Ländern und einzelne Bibliotheken
027.01-027.09;Geografische Behandlung;AN 67000;Bibliotheksarten: Allgemeines
027.01-027.09;Geografische Behandlung;AN 80000;Bibliothekswesen in einzelnen Ländern und einzelne Bibliotheken
027.1;Privat- und Familienbibliotheken;AN 69750;Privatbibliotheken
027.109;Historische und personenbezogene Behandlung;AN 69750;Privatbibliotheken
027.11-027.19;Geografische Behandlung;AN 69750;Privatbibliotheken
027.2;Bibliotheken auf Mitgliedschaftsbasis;AN 67100;Bibliotheksarten: nach Unterhaltsträger oder Eigentümer
027.209;Historische und personenbezogene Behandlung;AN 67100;Bibliotheksarten: nach Unterhaltsträger oder Eigentümer
027.209;Historische und personenbezogene Behandlung;AN 80000;Bibliothekswesen in einzelnen Ländern und einzelne Bibliotheken
027.21-027.29;Geografische Behandlung;AN 67100;Bibliotheksarten: nach Unterhaltsträger oder Eigentümer
027.21-027.29;Geografische Behandlung;AN 80000;Bibliothekswesen in einzelnen Ländern und einzelne Bibliotheken
027.3;Kommerzielle Bibliotheken;AN 67200;Bibliotheksarten: nach dem Grad der Zugänglichkeit
027.3;Kommerzielle Bibliotheken;AN 67300;Bibliotheksarten: nach der Art der Benutzung
027.309;Historische und personenbezogene Behandlung;AN 67200;Bibliotheksarten: nach dem Grad der Zugänglichkeit
027.309;Historische und personenbezogene Behandlung;AN 67300;Bibliotheksarten: nach der Art der Benutzung 
027.309;Historische und personenbezogene Behandlung;AN 80000;Bibliothekswesen in einzelnen Ländern und einzelne Bibliotheken
027.31-027.39;Geografische Behandlung;AN 67200;Bibliotheksarten: nach dem Grad der Zugänglichkeit
027.31-027.39;Geografische Behandlung;AN 67300;Bibliotheksarten: nach der Art der Benutzung
027.31-027.39;Geografische Behandlung;AN 80000;Bibliothekswesen in einzelnen Ländern und einzelne Bibliotheken
027.4;Öffentliche Bibliotheken;AN 69300;öffentliche Bibliotheken, Volksbüchereien, Public Library
027.4093-027.4099;Behandlung nach einzelnen Kontinenten, Ländern, Ortschaften;AN 69300;öffentliche Bibliotheken 
027.4093-027.4099;Behandlung nach einzelnen Kontinenten, Ländern, Ortschaften;AN 80000;Bibliothekswesen in einzelnen Ländern und einzelne Bibliotheken
027.473091734;Öffentliche Bibliotheken USA ländliche Gebiete;AN 69300;öffentliche Bibliotheken
027.473091734;Öffentliche Bibliotheken USA ländliche Gebiete;AN 80000;Bibliothekswesen in einzelnen Ländern und einzelne Bibliotheken
027.5;Behördenbibliotheken;AN 69200;Behördenbibliotheken
027.5093-027.5099;Behandlung nach einzelnen Kontinenten, Ländern, Ortschaften;AN 69200;Behördenbibliotheken
027.5093-027.5099;Behandlung nach einzelnen Kontinenten, Ländern, Ortschaften;AN 80000 - 89900;Bibliothekswesen in einzelnen Ländern und einzelne Bibliotheken
027.53-027.59;Einzelne Einrichtungen;AN 69200;Behördenbibliotheken
027.53-027.59;Einzelne Einrichtungen;AN 80000 - 89900;Bibliothekswesen in einzelnen Ländern und einzelne Bibliotheken
027.573;USA Library of Congress;AN 82000;Ausländische Bibliotheken
027.573;USA Library of Congress;AN 69200;Behördenbibliotheken
027.625;Kinderbibliotheken;AN 69550;Kinderbibliothek
276.251;Geschichtenerzählen;AN 69550;Kinderbibliothek
027.65;Behördenbibliotheken für spezielle Personengruppen;AN 69200;Behördenbibliotheken
027.652;Parlamentarische Informationseinrichtungen;AN 69200;Behördenbibliotheken
027.66;Bibliotheken von sozialen Einrichtungen;AN 67100;Bibliotheksarten: nach Unterhaltsträger oder Eigentümer
027.662;Krankenhausbibliotheken;AN 69800;Gefängnisbibliotheken, Krankenhausbibliotheken u.ä.
027.663;Bibliotheken für behinderte Personen;AN 69800;Gefängnisbibliotheken, Krankenhausbibliotheken u.ä.
027.663;Bibliotheken für behinderte Personen;AN 67400;nach der Art der Benutzung
027.665;Gefängnisbibliotheken;AN 69800;Gefängnisbibliotheken, Krankenhausbibliotheken u.ä.
027.67;Bibliotheken von religiösen Organisationen;AN 69000;Kirchliche Bibliotheken 
027.67;Bibliotheken von religiösen Organisationen;AN 69600;Kirchliche öffentliche Büchereien
027.68;Bibliotheken von gemeinnützigen Organisationen;AN 67100;nach Unterhaltsträger oder Eigentümer
027.69;Bibliotheken von Wirtschaftsorganisationen und von Organisationen in Industrie und Handwerk;AN 69700;Werkbibliotheken, Industriebibliotheken
027.7-027.8;Bibliotheken von Bildungseinrichtungen;AN 67800;Hochschulbibliotheken
027.7;Hochschul- und Universitätsbibliotheken;AN 67800;Hochschulbibliotheken
