fromNotation;sourcepreflabel;toNotation;targetpreflabel
025.02;Technische Buchbearbeitung, technische Dienste;AN 95800;Technische Verfahren und Hilfsmittel
025.04;Informationsspeicherung- und Information-Retrieval-Systeme;AN 96900;Informations- und Dokumentationssystem nach Art
025.06;Fachgebiets- und themenspezifische Informationsspeicherung- und Information-Retrieval-Systeme;AN 96900;Informations- und Dokumentationssystem nach Art
025.060012;Wissenschaftliche Websites;AN 96900;Informations- und Dokumentationssystem nach Art 
025.060013;Geisteswissenschaften;AN 96900;Informations- und Dokumentationssystem nach Art 
250.615;Psychologie;AN 96900;Informations- und Dokumentationssystem nach Art 
025.063;Sozialwissenschaften;AN 96900;Informations- und Dokumentationssystem nach Art 
025.063067;Computersex-Informationssysteme;AN 96900;Informations- und Dokumentationssystem nach Art 
025.06324;Wahlen-Informationssysteme;AN 96900;Informations- und Dokumentationssystem nach Art 
250.633;Wirtschaft-Informationssysteme;AN 96900;Informations- und Dokumentationssystem nach Art
250.634;Recht-Informationssysteme;AN 96900;Informations- und Dokumentationssystem nach Art 
025.06364;Strafrechtliche Informationssysteme;AN 96900;Informations- und Dokumentationssystem nach Art
025.065;Naturwissenschaften-Informationssysteme;AN 96900;Informations- und Dokumentationssystem nach Art 
025.06526;Mathematische Geografie-Informationssysteme;AN 96900;Informations- und Dokumentationssystem nach Art 
250.654;Chemie-Informationssysteme;AN 96900;Informations- und Dokumentationssystem nach Art 
250.655;Geowissenschaften-Informationssysteme;AN 96900;Informations- und Dokumentationssystem nach Art
250.661;Medizinwissenschaft-Informationssysteme;AN 96900;Informations- und Dokumentationssystem nach Art 
025.0661073;Krankenpflege-Medizin-Informationssysteme;AN 96900;Informations- und Dokumentationssystem nach Art 
025.1;Verwaltung;AN 70000;Bibliotheksverwaltung: Allgemeines 
025.11;Finanzen;AN 70600;Bibliothekshaushalt, Etat
025.12;Vervielfältigung als Dienstleistung (Reprografie);AP 98600;Reproduktionstechnik
025.17;Verwaltung von Sonderbeständen;AN 78950;Sonderbestände: Einzelne Publikationsformen
025.17;Verwaltung von Sonderbeständen;AN 74800;Katalogisierung von Sonderbeständen (Medien)
