sourcenotation;targetnotation
306.28;89.52
306.28;88.17
306.345;89.14
335;89.14
335.02;89.19
335.1;89.19
335.12;89.19
335.14;89.19
335.15;89.19
335.2;89.19
335.22;89.19
335.23;89.19
335.4;89.14
335.401;8.45
335.4092;89.15
335.41;89.14
335.411;8.45
335.4112;8.45
335.4112;89.14
335.4119;8.45
335.4119;89.14
335.412;8.45
335.412;89.14
335.42;8.45
335.42;89.14
335.422;8.45
335.422;89.15
335.423;8.45
335.423;89.14
335.43;8.45
335.43;89.15
335.43092;8.45
335.43092;89.15
335.430947;8.45
335.430947;89.15
335.433;8.45
335.433;89.15
335.434;8.45
335.434;89.15
335.4344;8.45
335.4344;89.15
335.4345;8.45
335.4345;89.15
335.4347;8.45
335.4347;89.15
335.437;8.45
335.437;89.15
335.5;89.14
335.6;89.21
335.7;89.14
335.8;89.19
335.82;89.19
335.83;89.2
335.83092;89.2
341.026;89.71
341.0261;89.72
341.0262;89.72
341.0263;89.72
341.0264;89.72
341.0265;89.71
341.0266;89.71
341.0267;89.71
341.0268;89.71
341.2;89.71
341.22;89.72
341.23;89.72
341.23013;89.72
341.231;89.72
341.232;89.72
341.2322;89.72
341.2323;89.72
341.233;89.72
341.242;89.73
341.2422;89.73
341.2424;89.73
341.2424;89.51
341.2427;89.73
341.243;89.72
341.245;89.72
341.246;89.72
341.247;89.72
341.2473;89.72
341.2477;89.72
341.249;89.72
341.26;89.31
341.27;89.31
341.28;89.31
341.29;89.31
341.3;89.7
341.3;89.9
341.33;89.9
341.35;89.9
341.37;89.71
341.4;89.74
341.42;89.74
341.44;89.74
341.442;89.74
341.444;89.74
341.446;89.74
341.448;89.74
341.45;89.74
341.46;89.74
341.47;89.74
341.48;89.74
341.481;89.42
341.481;89.74
341.48101;89.42
341.48101;89.74
341.482;89.42
341.482;89.74
341.484;89.42
341.484;89.74
341.4842;89.42
341.4842;89.74
341.4844;89.42
341.4844;89.74
341.4846;89.42
341.4846;89.74
341.486;89.42
341.486;89.74
341.488;89.42
341.488;89.74
341.5;89.75
341.5;89.9
341.52;89.76
341.52;89.9
341.522;89.76
341.522;89.9
341.523;89.76
341.523;89.9
341.55;89.76
341.55;89.9
341.552;89.76
341.552;89.9
341.552;89.72
341.58;89.76
341.58;89.9
341.582;89.76
341.582;89.9
341.584;89.76
341.584;89.83
341.584;89.9
341.6;89.76
341.6;89.9
341.62;89.76
341.62;89.83
341.62;89.9
341.63;89.76
341.63;89.83
341.63;89.9
341.64;89.76
341.64;89.9
341.65;89.76
341.65;89.83
341.65;89.9
341.66;89.76
341.66;89.83
341.66;89.9
341.66026;89.76
341.66026;89.83
341.66026;89.9
341.67;89.76
341.67;89.83
341.67;89.9
341.68;89.58
341.68;89.76
341.69;89.76
341.69;89.83
341.7;89.71
341.7;89.9
341.72;89.71
341.72;89.9
341.722;89.71
341.722;89.9
341.725;89.71
341.725;89.9
341.725;89.81
341.728;89.71
341.728;89.9
341.728;89.81
341.73;89.71
341.73;89.76
341.73;89.9
341.733;89.71
341.733;89.76
341.733;89.77
341.733;89.9
341.734;89.71
341.734;89.76
341.734;89.77
341.734;89.9
341.735;89.71
341.735;89.76
341.735;89.77
341.735;89.9
341.738;89.71
341.738;89.76
