fromNotation;toNotation
252;RA
253;RA
254;RA
264;RA
265;RA
268;RA
269;RA
254;RB
269;RB
264;RC
264.2;RD
251;RE
252;RE
268;RF
253;RG
259;RG
266022;RH
254.3;RH
261.52;RH
269.2;RH
266;RJ
261832;RK
259.086947;RK
259.086949;RK
259.419892;RK
259.4196998;RK
253.02854678;RK
259.41969792;RK
259.44;RK
262.92;SB
262.93;SB
262.94;SB
262983;SC
262.9848;SC
262984;SD
262985;SD
262986;SD
262987;SD
262.9804;SD
262981;SE
900;TA
908;TA
950;TA
951;TA
952;TA
953;TA
954;TA
955;TA
956;TA
957;TA
958;TA
959;TA
960;TA
960;TA
961;TA
962;TA
963;TA
964;TA
965;TA
966;TA
967;TA
968;TA
969;TA
970;TA
980;TA
990;TA
993;TA
994;TA
995;TA
996;TA
997;TA
998;TA
909.04 ;TA
938;TB
937.07 ;TB
931;TC
932;TC
933;TC
934;TC
935;TC
936;TC
939;TC
930.1 ;TC
930.3 ;TC
930.4 ;TC
930.5 ;TC
939.2;TC
939.3;TC
939.4;TC
939.5;TC
939.6;TC
939.7;TC
939.8;TC
937.08;TD
937.09;TD
909.07;TE
909.1;TF
909.2;TG
909.3;TG
909.4;TH
909.5;TH
909.6 ;TJ
909.7 ;TJ
909.81;TJ
909.82;TK
909.83;TK
101;VA
102;VA
107;VA
110;VA
140;VA
160;VA
120;VB
121;VB
122;VB
123;VB
124;VB
126;VB
128;VB
170;VB
340;XA
300;ZA
360;ZB
361;ZB
362;ZB
363;ZB
366;ZB
367;ZB
369;ZB
391;ZB
392;ZB
393;ZB
394;ZB
399;ZB
398.3 ;ZB
398.4 ;ZB
320;ZC
321;ZC
322;ZC
323;ZC
324;ZC
325;ZC
326;ZC
327;ZC
350;ZC
150;ZD
370;ZF
371;ZF
372;ZF
373;ZF
374;ZF
375;ZF
379;ZF
